Treatment,Sample ID,Genet,Temperature (ºC),Temperature (K),Measurement 1,Measurement 2,Measurement 3,Mean FV/FM
acute,B1W,B,25.4,298.55,0.563,0.546,0.535,0.548
acute,C2B,C,25.4,298.55,0.545,0.573,0.595,0.571
acute,E23,E,25.4,298.55,0.563,0.547,0.58,0.563
acute,F34,F,25.4,298.55,0.535,0.56,0.584,0.56
acute,H35,H,25.4,298.55,0.464,0.521,0.463,0.483
acute,J35,J,25.4,298.55,0.546,0.568,0.548,0.554
acute,B5,B,27.8,300.95,0.507,0.508,0.517,0.511
acute,C17,C,27.8,300.95,0.522,0.534,0.533,0.53
acute,E7,E,27.8,300.95,0.542,0.526,0.553,0.54
acute,F1O,F,27.8,300.95,0.515,0.579,0.588,0.561
acute,H5,H,27.8,300.95,0.47,0.509,0.521,0.5
acute,B13,B,30.4,303.55,0.469,0.469,0.47,0.469
acute,C4,C,30.4,303.55,0.434,0.477,0.476,0.462
acute,E13,E,30.4,303.55,0.455,0.526,0.535,0.505
acute,F33,F,30.4,303.55,0.516,0.547,0.506,0.523
acute,H12,H,30.4,303.55,0.525,0.529,0.442,0.499
acute,J36,J,30.4,303.55,0.567,0.559,0.533,0.553
acute,B33,B,32.9,306.05,0.464,0.476,0.391,0.444
acute,C2,C,32.9,306.05,0.448,0.399,0.481,0.443
acute,E14,E,32.9,306.05,0.339,0.406,0.454,0.4
acute,F35,F,32.9,306.05,0.468,0.498,0.481,0.482
acute,H14,H,32.9,306.05,0.439,0.468,0.484,0.464
acute,J32,J,32.9,306.05,0.466,0.452,0.5,0.473
acute,B26,B,34.4,307.55,0.032,0.11,0.115,0.086
acute,C5,C,34.4,307.55,0.338,0.194,0.207,0.246
acute,E19,E,34.4,307.55,0.257,0.176,0.299,0.244
acute,F27,F,34.4,307.55,0.203,0.107,0.319,0.21
acute,H16,H,34.4,307.55,0.105,0.004,,0.055
acute,J34,J,34.4,307.55,0.31,0.248,0.282,0.28
ramp,B35,B,25.4,298.57,0.532,0.543,0.596,0.557
ramp,C7,C,25.4,298.57,0.556,0.604,0.587,0.582
ramp,D29,D,25.4,298.57,0.583,0.573,0.556,0.571
ramp,E3,E,25.4,298.57,0.602,0.595,0.598,0.598
ramp,F1Y,F,25.4,298.57,0.592,0.589,0.566,0.582
ramp,H2,H,25.4,298.57,0.562,0.586,0.544,0.564
ramp,J7,J,25.4,298.57,0.572,0.562,0.569,0.568
ramp,B35,B,28,301.12,0.569,0.587,0.554,0.57
ramp,C7,C,28,301.12,0.566,0.575,0.589,0.577
ramp,D29,D,28,301.12,0.53,0.571,0.595,0.565
ramp,E3,E,28,301.12,0.548,0.566,0.574,0.563
ramp,F1Y,F,28,301.12,0.592,0.589,0.567,0.583
ramp,H2,H,28,301.12,0.563,0.561,0.546,0.557
ramp,J7,J,28,301.12,0.579,0.606,0.571,0.585
ramp,B35,B,30.6,303.71,0.526,0.485,0.509,0.507
ramp,C7,C,30.6,303.71,0.553,0.551,0.577,0.56
ramp,D29,D,30.6,303.71,0.509,0.511,0.518,0.513
ramp,E3,E,30.6,303.71,0.543,0.54,0.56,0.548
ramp,F1Y,F,30.6,303.71,0.532,0.551,0.569,0.551
ramp,H2,H,30.6,303.71,0.513,0.554,0.523,0.53
ramp,J7,J,30.6,303.71,0.516,0.477,0.508,0.5
ramp,B35,B,33.1,306.27,0.49,0.461,0.51,0.487
ramp,C7,C,33.1,306.27,0.537,0.544,0.508,0.53
ramp,D29,D,33.1,306.27,0.515,0.524,0.473,0.504
ramp,E3,E,33.1,306.27,0.491,0.502,0.518,0.504
ramp,F1Y,F,33.1,306.27,0.538,0.541,0.526,0.535
ramp,H2,H,33.1,306.27,0.467,0.501,0.51,0.493
ramp,J7,J,33.1,306.27,0.467,0.467,0.534,0.489
ramp,B35,B,35.7,308.83,0.498,0.504,0.445,0.482
ramp,C7,C,35.7,308.83,0.458,0.494,0.51,0.487
ramp,D29,D,35.7,308.83,0.44,0.448,0.446,0.445
ramp,E3,E,35.7,308.83,0.463,0.496,0.49,0.483
ramp,F1Y,F,35.7,308.83,0.484,0.503,0.453,0.48
ramp,H2,H,35.7,308.83,0.407,0.462,0.371,0.413
ramp,J7,J,35.7,308.83,0.416,0.371,0.429,0.405
