24.03.17/10:46 AM SW ver:OXY10v3_33
Header Ch-1
Description: Q1025C-B1W-P
IDENTIFICATION
PHIboard number   : v1231473
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 98479
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 005400
100.00%a.s.phase 2: 27.68 at 020.0°C amp 007300
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;10:46:27 AM;0.00;103.060;26.470;21213.000;25.000
24.03.17;10:46:36 AM;0.18;103.490;26.430;21123.000;25.000
24.03.17;10:46:51 AM;0.43;104.220;26.360;21116.000;25.000
24.03.17;10:47:06 AM;0.68;104.250;26.350;20995.000;25.000
24.03.17;10:47:21 AM;0.93;105.280;26.250;21080.000;25.000
24.03.17;10:47:36 AM;1.18;104.940;26.290;20981.000;25.000
24.03.17;10:47:51 AM;1.43;104.370;26.340;21035.000;25.000
24.03.17;10:48:06 AM;1.68;104.190;26.360;20976.000;25.000
24.03.17;10:48:21 AM;1.93;104.790;26.300;20895.000;25.000
24.03.17;10:48:36 AM;2.18;105.290;26.250;20889.000;25.000
24.03.17;10:48:51 AM;2.43;106.500;26.130;20872.000;25.000
24.03.17;10:49:06 AM;2.68;104.900;26.290;20940.000;25.000
24.03.17;10:49:21 AM;2.93;106.240;26.160;20915.000;25.000
24.03.17;10:49:36 AM;3.18;105.470;26.230;20856.000;25.000
24.03.17;10:49:51 AM;3.43;105.620;26.220;20841.000;25.000
24.03.17;10:50:06 AM;3.68;106.500;26.130;20812.000;25.000
24.03.17;10:50:21 AM;3.93;105.910;26.190;20788.000;25.000
24.03.17;10:50:36 AM;4.18;105.790;26.200;20812.000;25.000
24.03.17;10:50:51 AM;4.43;106.990;26.090;20703.000;25.000
24.03.17;10:51:06 AM;4.68;107.680;26.020;20744.000;25.000
24.03.17;10:51:21 AM;4.93;106.560;26.130;20725.000;25.000
24.03.17;10:51:36 AM;5.18;108.270;25.960;20683.000;25.000
24.03.17;10:51:51 AM;5.43;107.120;26.070;20744.000;25.000
24.03.17;10:52:06 AM;5.68;107.030;26.080;20619.000;25.000
24.03.17;10:52:21 AM;5.93;109.640;25.830;20597.000;25.000
24.03.17;10:52:36 AM;6.18;108.320;25.960;20526.000;25.000
24.03.17;10:52:51 AM;6.43;108.140;25.980;20558.000;25.000
24.03.17;10:53:06 AM;6.68;108.460;25.950;20538.000;25.000
24.03.17;10:53:21 AM;6.93;109.230;25.870;20611.000;25.000
24.03.17;10:53:36 AM;7.18;108.090;25.980;20545.000;25.000
24.03.17;10:53:51 AM;7.43;108.740;25.920;20546.000;25.000
24.03.17;10:54:06 AM;7.68;108.780;25.910;20540.000;25.000
24.03.17;10:54:21 AM;7.93;109.430;25.850;20503.000;25.000
24.03.17;10:54:36 AM;8.18;109.050;25.890;20496.000;25.000
24.03.17;10:54:51 AM;8.43;109.070;25.890;20480.000;25.000
24.03.17;10:55:06 AM;8.68;110.640;25.740;20402.000;25.000
24.03.17;10:55:21 AM;8.93;111.520;25.660;20345.000;25.000
24.03.17;10:55:36 AM;9.18;108.890;25.900;20407.000;25.000
24.03.17;10:55:51 AM;9.43;109.390;25.860;20395.000;25.000
24.03.17;10:56:06 AM;9.68;110.110;25.790;20378.000;25.000
24.03.17;10:56:21 AM;9.93;110.970;25.710;20390.000;25.000
24.03.17;10:56:36 AM;10.18;110.650;25.740;20254.000;25.000
24.03.17;10:56:51 AM;10.43;109.250;25.870;20329.000;25.000
24.03.17;10:57:06 AM;10.68;110.930;25.710;20258.000;25.000
24.03.17;10:57:21 AM;10.93;110.720;25.730;20271.000;25.000
24.03.17;10:57:36 AM;11.18;111.660;25.650;20274.000;25.000
24.03.17;10:57:51 AM;11.43;113.090;25.520;20202.000;25.000
