24.03.17/10:46 AM SW ver:OXY10v3_33
Header Ch-2
Description: Q1025C-C2B-P
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 95444
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;10:46:29 AM;0.00;104.620;26.320;27124.000;25.000
24.03.17;10:46:37 AM;0.15;105.200;26.260;27011.000;25.000
24.03.17;10:46:52 AM;0.40;105.180;26.260;27010.000;25.000
24.03.17;10:47:07 AM;0.65;105.830;26.200;26945.000;25.000
24.03.17;10:47:22 AM;0.90;105.710;26.210;26901.000;25.000
24.03.17;10:47:37 AM;1.15;106.220;26.160;26935.000;25.000
24.03.17;10:47:52 AM;1.40;105.630;26.220;26970.000;25.000
24.03.17;10:48:07 AM;1.65;106.110;26.170;26796.000;25.000
24.03.17;10:48:22 AM;1.90;107.030;26.080;26855.000;25.000
24.03.17;10:48:37 AM;2.15;107.280;26.060;26894.000;25.000
24.03.17;10:48:52 AM;2.40;106.800;26.100;26817.000;25.000
24.03.17;10:49:07 AM;2.65;107.200;26.070;26737.000;25.000
24.03.17;10:49:22 AM;2.90;106.740;26.110;26653.000;25.000
24.03.17;10:49:37 AM;3.15;107.310;26.050;26696.000;25.000
24.03.17;10:49:52 AM;3.40;106.730;26.110;26644.000;25.000
24.03.17;10:50:07 AM;3.65;107.370;26.050;26625.000;25.000
24.03.17;10:50:22 AM;3.90;107.830;26.010;26523.000;25.000
24.03.17;10:50:37 AM;4.15;107.600;26.030;26500.000;25.000
24.03.17;10:50:52 AM;4.40;108.110;25.980;26634.000;25.000
24.03.17;10:51:07 AM;4.65;109.850;25.810;26463.000;25.000
24.03.17;10:51:22 AM;4.90;108.680;25.920;26503.000;25.000
24.03.17;10:51:37 AM;5.15;108.310;25.960;26572.000;25.000
24.03.17;10:51:52 AM;5.40;108.980;25.900;26449.000;25.000
24.03.17;10:52:07 AM;5.65;108.690;25.920;26478.000;25.000
24.03.17;10:52:22 AM;5.90;109.560;25.840;26415.000;25.000
24.03.17;10:52:37 AM;6.15;108.810;25.910;26390.000;25.000
24.03.17;10:52:52 AM;6.40;109.130;25.880;26378.000;25.000
24.03.17;10:53:07 AM;6.65;110.620;25.740;26337.000;25.000
24.03.17;10:53:22 AM;6.90;110.240;25.780;26351.000;25.000
24.03.17;10:53:37 AM;7.15;110.310;25.770;26343.000;25.000
24.03.17;10:53:52 AM;7.40;109.920;25.810;26254.000;25.000
24.03.17;10:54:07 AM;7.65;110.280;25.770;26282.000;25.000
24.03.17;10:54:22 AM;7.90;110.870;25.720;26277.000;25.000
24.03.17;10:54:37 AM;8.15;111.320;25.680;26265.000;25.000
24.03.17;10:54:52 AM;8.40;111.830;25.630;26266.000;25.000
24.03.17;10:55:07 AM;8.65;113.260;25.500;26144.000;25.000
24.03.17;10:55:22 AM;8.90;111.690;25.640;26089.000;25.000
24.03.17;10:55:37 AM;9.15;111.320;25.680;26097.000;25.000
24.03.17;10:55:52 AM;9.40;111.370;25.670;26133.000;25.000
24.03.17;10:56:07 AM;9.65;112.250;25.590;26040.000;25.000
24.03.17;10:56:22 AM;9.90;113.200;25.510;26081.000;25.000
24.03.17;10:56:37 AM;10.15;112.790;25.540;25953.000;25.000
24.03.17;10:56:52 AM;10.40;111.530;25.660;25918.000;25.000
24.03.17;10:57:07 AM;10.65;112.460;25.570;25971.000;25.000
24.03.17;10:57:22 AM;10.90;112.790;25.540;26019.000;25.000
24.03.17;10:57:37 AM;11.15;113.630;25.470;26001.000;25.000
24.03.17;10:57:52 AM;11.40;113.110;25.520;26008.000;25.000
24.03.17;10:58:07 AM;11.65;113.330;25.500;25797.000;25.000
24.03.17;10:58:22 AM;11.90;113.450;25.490;25913.000;25.000
24.03.17;10:58:37 AM;12.15;113.300;25.500;25838.000;25.000
24.03.17;10:58:52 AM;12.40;113.330;25.500;25864.000;25.000
24.03.17;10:59:07 AM;12.65;113.790;25.450;25774.000;25.000
24.03.17;10:59:22 AM;12.90;113.790;25.450;25787.000;25.000
24.03.17;10:59:37 AM;13.15;114.340;25.410;25785.000;25.000
24.03.17;10:59:52 AM;13.40;115.440;25.310;25687.000;25.000
24.03.17;11:00:07 AM;13.65;113.880;25.450;25683.000;25.000
24.03.17;11:00:22 AM;13.90;114.040;25.430;25748.000;25.000
24.03.17;11:00:37 AM;14.15;116.190;25.240;25567.000;25.000
