24.03.17/10:46 AM SW ver:OXY10v3_33
Header Ch-3
Description: Q1025C-E23-P
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 98816
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;10:46:30 AM;0.00;101.460;26.640;30826.000;25.000
24.03.17;10:46:37 AM;0.13;102.100;26.570;30912.000;25.000
24.03.17;10:46:52 AM;0.38;101.160;26.670;30934.000;25.000
24.03.17;10:47:07 AM;0.63;100.810;26.700;30964.000;25.000
24.03.17;10:47:22 AM;0.88;100.250;26.760;30933.000;25.000
24.03.17;10:47:37 AM;1.13;101.520;26.630;30920.000;25.000
24.03.17;10:47:52 AM;1.38;101.040;26.680;30951.000;25.000
24.03.17;10:48:07 AM;1.63;101.600;26.620;31001.000;25.000
24.03.17;10:48:22 AM;1.88;101.400;26.640;30937.000;25.000
24.03.17;10:48:37 AM;2.13;100.680;26.720;30925.000;25.000
24.03.17;10:48:52 AM;2.38;100.230;26.760;30837.000;25.000
24.03.17;10:49:07 AM;2.63;102.420;26.540;30832.000;25.000
24.03.17;10:49:22 AM;2.88;100.910;26.690;30855.000;25.000
24.03.17;10:49:37 AM;3.13;101.380;26.650;30833.000;25.000
24.03.17;10:49:52 AM;3.38;100.820;26.700;30926.000;25.000
24.03.17;10:50:07 AM;3.63;101.420;26.640;30743.000;25.000
24.03.17;10:50:22 AM;3.88;101.830;26.600;30779.000;25.000
24.03.17;10:50:37 AM;4.13;101.450;26.640;30752.000;25.000
24.03.17;10:50:52 AM;4.38;100.790;26.710;30815.000;25.000
24.03.17;10:51:07 AM;4.63;101.950;26.590;30837.000;25.000
24.03.17;10:51:22 AM;4.88;101.180;26.670;30806.000;25.000
24.03.17;10:51:37 AM;5.13;102.630;26.520;30733.000;25.000
24.03.17;10:51:52 AM;5.38;101.060;26.680;30845.000;25.000
24.03.17;10:52:07 AM;5.63;101.710;26.610;30742.000;25.000
24.03.17;10:52:22 AM;5.88;101.680;26.610;30756.000;25.000
24.03.17;10:52:37 AM;6.13;102.320;26.550;30708.000;25.000
24.03.17;10:52:52 AM;6.38;101.470;26.640;30822.000;25.000
24.03.17;10:53:07 AM;6.63;101.940;26.590;31032.000;25.000
24.03.17;10:53:22 AM;6.88;102.340;26.550;30988.000;25.000
24.03.17;10:53:37 AM;7.13;102.410;26.540;30900.000;25.000
24.03.17;10:53:52 AM;7.38;100.950;26.690;31042.000;25.000
24.03.17;10:54:07 AM;7.63;101.630;26.620;30980.000;25.000
24.03.17;10:54:22 AM;7.88;101.490;26.630;31095.000;25.000
24.03.17;10:54:37 AM;8.13;100.360;26.750;31013.000;25.000
24.03.17;10:54:52 AM;8.38;101.300;26.650;31043.000;25.000
24.03.17;10:55:07 AM;8.63;103.070;26.470;30920.000;25.000
24.03.17;10:55:22 AM;8.88;101.550;26.630;30952.000;25.000
24.03.17;10:55:37 AM;9.13;101.820;26.600;31076.000;25.000
24.03.17;10:55:52 AM;9.38;102.110;26.570;30949.000;25.000
24.03.17;10:56:07 AM;9.63;101.810;26.600;31069.000;25.000
24.03.17;10:56:22 AM;9.88;102.170;26.560;30966.000;25.000
24.03.17;10:56:37 AM;10.13;100.820;26.700;31030.000;25.000
24.03.17;10:56:52 AM;10.38;101.060;26.680;30956.000;25.000
24.03.17;10:57:07 AM;10.63;101.400;26.640;31017.000;25.000
24.03.17;10:57:22 AM;10.88;102.460;26.530;30904.000;25.000
24.03.17;10:57:37 AM;11.13;101.800;26.600;31068.000;25.000
24.03.17;10:57:52 AM;11.38;101.950;26.590;30957.000;25.000
