24.03.17/10:46 AM SW ver:OXY10v3_33
Header Ch-4
Description: Q1025C-F34-P
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 94969
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;10:46:31 AM;0.00;99.450;26.850;29565.000;25.000
24.03.17;10:46:38 AM;0.12;99.620;26.830;29515.000;25.000
24.03.17;10:46:53 AM;0.37;100.440;26.740;29423.000;25.000
24.03.17;10:47:08 AM;0.62;99.970;26.790;29435.000;25.000
24.03.17;10:47:23 AM;0.87;99.450;26.850;29400.000;25.000
24.03.17;10:47:38 AM;1.12;100.760;26.710;29277.000;25.000
24.03.17;10:47:53 AM;1.37;100.410;26.750;29284.000;25.000
24.03.17;10:48:08 AM;1.62;100.140;26.770;29416.000;25.000
24.03.17;10:48:23 AM;1.87;100.480;26.740;29391.000;25.000
24.03.17;10:48:38 AM;2.12;98.990;26.900;29387.000;25.000
24.03.17;10:48:53 AM;2.37;99.700;26.820;29340.000;25.000
24.03.17;10:49:08 AM;2.62;99.730;26.820;29356.000;25.000
24.03.17;10:49:23 AM;2.87;102.360;26.540;29265.000;25.000
24.03.17;10:49:38 AM;3.12;99.810;26.810;29307.000;25.000
24.03.17;10:49:53 AM;3.37;101.890;26.590;29199.000;25.000
24.03.17;10:50:08 AM;3.62;100.510;26.740;29375.000;25.000
24.03.17;10:50:23 AM;3.87;100.990;26.690;29207.000;25.000
24.03.17;10:50:38 AM;4.12;100.210;26.770;29277.000;25.000
24.03.17;10:50:53 AM;4.37;99.890;26.800;29266.000;25.000
24.03.17;10:51:08 AM;4.62;99.680;26.820;29267.000;25.000
24.03.17;10:51:23 AM;4.87;101.170;26.670;29290.000;25.000
24.03.17;10:51:38 AM;5.12;100.820;26.700;29212.000;25.000
24.03.17;10:51:53 AM;5.37;101.300;26.650;29117.000;25.000
24.03.17;10:52:08 AM;5.62;101.900;26.590;29129.000;25.000
24.03.17;10:52:23 AM;5.87;102.230;26.560;29070.000;25.000
24.03.17;10:52:38 AM;6.12;101.400;26.640;29167.000;25.000
24.03.17;10:52:53 AM;6.37;102.940;26.490;29052.000;25.000
24.03.17;10:53:08 AM;6.62;101.770;26.600;29164.000;25.000
24.03.17;10:53:23 AM;6.87;100.550;26.730;29168.000;25.000
24.03.17;10:53:38 AM;7.12;102.930;26.490;29174.000;25.000
24.03.17;10:53:53 AM;7.37;101.400;26.640;29271.000;25.000
24.03.17;10:54:08 AM;7.62;101.550;26.630;29295.000;25.000
24.03.17;10:54:23 AM;7.87;100.990;26.690;29291.000;25.000
24.03.17;10:54:38 AM;8.12;102.490;26.530;29269.000;25.000
24.03.17;10:54:53 AM;8.37;101.400;26.640;29284.000;25.000
24.03.17;10:55:08 AM;8.62;101.340;26.650;29220.000;25.000
24.03.17;10:55:23 AM;8.87;101.690;26.610;29179.000;25.000
24.03.17;10:55:38 AM;9.12;99.690;26.820;29272.000;25.000
24.03.17;10:55:53 AM;9.37;101.400;26.640;29286.000;25.000
24.03.17;10:56:08 AM;9.62;101.330;26.650;29199.000;25.000
24.03.17;10:56:23 AM;9.87;100.380;26.750;29313.000;25.000
24.03.17;10:56:38 AM;10.12;100.610;26.720;29113.000;25.000
24.03.17;10:56:53 AM;10.37;100.310;26.760;29251.000;25.000
24.03.17;10:57:08 AM;10.62;102.150;26.570;29164.000;25.000
24.03.17;10:57:23 AM;10.87;101.470;26.640;29212.000;25.000
24.03.17;10:57:38 AM;11.12;100.680;26.720;29124.000;25.000
24.03.17;10:57:53 AM;11.37;102.600;26.520;29232.000;25.000
24.03.17;10:58:08 AM;11.62;100.130;26.770;29231.000;25.000
24.03.17;10:58:23 AM;11.87;101.850;26.600;29185.000;25.000
24.03.17;10:58:38 AM;12.12;100.510;26.740;29117.000;25.000
24.03.17;10:58:53 AM;12.37;101.170;26.670;29142.000;25.000
24.03.17;10:59:08 AM;12.62;101.180;26.670;29136.000;25.000
24.03.17;10:59:23 AM;12.87;101.400;26.640;29197.000;25.000
24.03.17;10:59:38 AM;13.12;102.150;26.570;29154.000;25.000
24.03.17;10:59:53 AM;13.37;103.550;26.420;29035.000;25.000
24.03.17;11:00:08 AM;13.62;101.480;26.630;29004.000;25.000
24.03.17;11:00:23 AM;13.87;102.150;26.570;29102.000;25.000
24.03.17;11:00:38 AM;14.12;102.480;26.530;28934.000;25.000
24.03.17;11:00:53 AM;14.37;101.920;26.590;29087.000;25.000
24.03.17;11:01:08 AM;14.62;102.700;26.510;29050.000;25.000
24.03.17;11:01:23 AM;14.87;102.160;26.570;28909.000;25.000
24.03.17;11:01:38 AM;15.12;103.810;26.400;28978.000;25.000
24.03.17;11:01:53 AM;15.37;101.970;26.580;29057.000;25.000
24.03.17;11:02:08 AM;15.62;102.170;26.560;29060.000;25.000
24.03.17;11:02:23 AM;15.87;102.160;26.570;29019.000;25.000
24.03.17;11:02:38 AM;16.12;101.580;26.620;29050.000;25.000
24.03.17;11:02:53 AM;16.37;103.500;26.430;28894.000;25.000
24.03.17;11:03:08 AM;16.62;102.080;26.570;29029.000;25.000
24.03.17;11:03:23 AM;16.87;103.300;26.450;28869.000;25.000
24.03.17;11:03:38 AM;17.12;102.620;26.520;28989.000;25.000
24.03.17;11:03:53 AM;17.37;101.100;26.670;28951.000;25.000
24.03.17;11:04:08 AM;17.62;103.610;26.420;28962.000;25.000
24.03.17;11:04:23 AM;17.87;104.390;26.340;28865.000;25.000
24.03.17;11:04:38 AM;18.12;102.850;26.490;28931.000;25.000
24.03.17;11:04:53 AM;18.37;103.160;26.460;28944.000;25.000
24.03.17;11:05:08 AM;18.62;103.730;26.410;28871.000;25.000
24.03.17;11:05:23 AM;18.87;103.200;26.460;28868.000;25.000
