24.03.17/10:46 AM SW ver:OXY10v3_33
Header Ch-5
Description: Q1025C-H36-P
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 98921
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;10:46:33 AM;0.00;100.150;26.770;39398.000;25.000
24.03.17;10:46:39 AM;0.11;99.870;26.800;39503.000;25.000
24.03.17;10:46:53 AM;0.36;101.020;26.680;39280.000;25.000
24.03.17;10:47:09 AM;0.61;101.340;26.650;39377.000;25.000
24.03.17;10:47:24 AM;0.86;101.430;26.640;39286.000;25.000
24.03.17;10:47:39 AM;1.11;100.840;26.700;39304.000;25.000
24.03.17;10:47:54 AM;1.36;101.390;26.640;39326.000;25.000
24.03.17;10:48:09 AM;1.61;101.590;26.620;39381.000;25.000
24.03.17;10:48:24 AM;1.86;102.930;26.490;39208.000;25.000
24.03.17;10:48:39 AM;2.11;101.210;26.660;39308.000;25.000
24.03.17;10:48:54 AM;2.36;102.170;26.560;39215.000;25.000
24.03.17;10:49:09 AM;2.61;102.130;26.570;39115.000;25.000
24.03.17;10:49:24 AM;2.87;102.050;26.580;39218.000;25.000
24.03.17;10:49:39 AM;3.11;103.040;26.480;39078.000;25.000
24.03.17;10:49:54 AM;3.36;102.760;26.500;39087.000;25.000
24.03.17;10:50:09 AM;3.61;103.290;26.450;39101.000;25.000
24.03.17;10:50:24 AM;3.86;102.640;26.520;39055.000;25.000
24.03.17;10:50:39 AM;4.11;102.240;26.560;39025.000;25.000
24.03.17;10:50:54 AM;4.36;101.870;26.590;39117.000;25.000
