24.03.17/10:46 AM SW ver:OXY10v3_33
Header Ch-6
Description: Q1025C-J35-P
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 97889
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;10:46:34 AM;0.00;103.380;26.440;27152.000;25.000
24.03.17;10:46:40 AM;0.11;103.380;26.440;27113.000;25.000
24.03.17;10:46:55 AM;0.35;102.930;26.490;27095.000;25.000
24.03.17;10:47:10 AM;0.61;102.850;26.490;26989.000;25.000
24.03.17;10:47:24 AM;0.85;102.920;26.490;27015.000;25.000
24.03.17;10:47:40 AM;1.10;103.250;26.450;26987.000;25.000
24.03.17;10:47:54 AM;1.35;104.070;26.370;26829.000;25.000
24.03.17;10:48:09 AM;1.60;102.200;26.560;27016.000;25.000
24.03.17;10:48:25 AM;1.85;102.230;26.560;27015.000;25.000
24.03.17;10:48:39 AM;2.10;101.960;26.590;26992.000;25.000
24.03.17;10:48:54 AM;2.35;102.080;26.570;27024.000;25.000
24.03.17;10:49:10 AM;2.60;103.020;26.480;26989.000;25.000
24.03.17;10:49:25 AM;2.85;101.620;26.620;26943.000;25.000
24.03.17;10:49:40 AM;3.11;105.040;26.280;26961.000;25.000
24.03.17;10:49:54 AM;3.35;102.890;26.490;27033.000;25.000
24.03.17;10:50:10 AM;3.60;103.250;26.450;26855.000;25.000
24.03.17;10:50:24 AM;3.85;104.450;26.330;26916.000;25.000
24.03.17;10:50:40 AM;4.10;104.190;26.360;26847.000;25.000
24.03.17;10:50:55 AM;4.35;103.960;26.380;26823.000;25.000
24.03.17;10:51:10 AM;4.61;102.370;26.540;26949.000;25.000
24.03.17;10:51:25 AM;4.85;104.130;26.370;26822.000;25.000
24.03.17;10:51:40 AM;5.10;105.450;26.240;26756.000;25.000
24.03.17;10:51:54 AM;5.35;104.720;26.310;26824.000;25.000
24.03.17;10:52:10 AM;5.61;103.770;26.400;26822.000;25.000
24.03.17;10:52:24 AM;5.85;103.840;26.400;26753.000;25.000
24.03.17;10:52:40 AM;6.11;104.390;26.340;26719.000;25.000
24.03.17;10:52:55 AM;6.36;104.810;26.300;26648.000;25.000
24.03.17;10:53:09 AM;6.60;104.320;26.350;26820.000;25.000
24.03.17;10:53:25 AM;6.86;102.510;26.530;26831.000;25.000
24.03.17;10:53:39 AM;7.10;103.600;26.420;26912.000;25.000
24.03.17;10:53:55 AM;7.36;104.050;26.370;26961.000;25.000
24.03.17;10:54:09 AM;7.60;103.670;26.410;26964.000;25.000
24.03.17;10:54:25 AM;7.86;103.070;26.470;26979.000;25.000
24.03.17;10:54:39 AM;8.10;103.600;26.420;26940.000;25.000
24.03.17;10:54:54 AM;8.35;103.410;26.440;26870.000;25.000
24.03.17;10:55:10 AM;8.61;102.480;26.530;26954.000;25.000
24.03.17;10:55:24 AM;8.85;102.410;26.540;26956.000;25.000
24.03.17;10:55:39 AM;9.10;105.240;26.260;9266.000;25.000
24.03.17;10:55:54 AM;9.35;104.070;26.370;8855.000;25.000
24.03.17;10:56:09 AM;9.60;104.370;26.340;8535.000;25.000
24.03.17;10:56:25 AM;9.86;104.250;26.350;8066.000;25.000
24.03.17;10:56:39 AM;10.10;105.750;26.210;7657.000;25.000
24.03.17;10:56:54 AM;10.35;103.190;26.460;7383.000;25.000
24.03.17;10:57:09 AM;10.60;106.650;26.120;7183.000;25.000
24.03.17;10:57:25 AM;10.86;108.150;25.970;7036.000;25.000
24.03.17;10:57:40 AM;11.11;105.540;26.230;6946.000;25.000
24.03.17;10:57:54 AM;11.35;106.820;26.100;6757.000;25.000
24.03.17;10:58:09 AM;11.60;108.820;25.910;6579.000;25.000
24.03.17;10:58:24 AM;11.85;106.830;26.100;6535.000;25.000
24.03.17;10:58:39 AM;12.10;108.710;25.920;6449.000;25.000
24.03.17;10:58:55 AM;12.36;104.600;26.320;6283.000;25.000
24.03.17;10:59:09 AM;12.60;109.020;25.890;6183.000;25.000
24.03.17;10:59:25 AM;12.86;105.480;26.230;6056.000;25.000
24.03.17;10:59:39 AM;13.10;106.400;26.140;5986.000;25.000
24.03.17;10:59:54 AM;13.35;107.840;26.000;5855.000;25.000
24.03.17;11:00:09 AM;13.60;109.230;25.870;5755.000;25.000
24.03.17;11:00:24 AM;13.85;107.770;26.010;5712.000;25.000
24.03.17;11:00:39 AM;14.10;109.240;25.870;5645.000;25.000
24.03.17;11:00:54 AM;14.35;108.950;25.900;5581.000;25.000
24.03.17;11:01:10 AM;14.61;112.700;25.550;5542.000;25.000
24.03.17;11:01:24 AM;14.85;107.550;26.030;5497.000;25.000
24.03.17;11:01:39 AM;15.10;107.420;26.040;5410.000;25.000
24.03.17;11:01:55 AM;15.36;109.280;25.870;5319.000;25.000
24.03.17;11:02:09 AM;15.60;111.190;25.690;5287.000;25.000
24.03.17;11:02:25 AM;15.86;109.800;25.820;5288.000;25.000
24.03.17;11:02:39 AM;16.10;109.600;25.840;5189.000;25.000
24.03.17;11:02:54 AM;16.35;109.420;25.850;5119.000;25.000
24.03.17;11:03:09 AM;16.60;109.270;25.870;5050.000;25.000
24.03.17;11:03:24 AM;16.85;111.190;25.690;4991.000;25.000
24.03.17;11:03:39 AM;17.10;109.590;25.840;4952.000;25.000
24.03.17;11:03:55 AM;17.36;113.010;25.520;4931.000;25.000
24.03.17;11:04:09 AM;17.60;111.510;25.660;4912.000;25.000
24.03.17;11:04:25 AM;17.86;111.770;25.640;4859.000;25.000
24.03.17;11:04:39 AM;18.10;111.960;25.620;4821.000;25.000
24.03.17;11:04:54 AM;18.35;110.840;25.720;4775.000;25.000
24.03.17;11:05:09 AM;18.60;113.640;25.470;4730.000;25.000
24.03.17;11:05:24 AM;18.85;113.630;25.470;4665.000;25.000
24.03.17;11:05:40 AM;19.10;110.500;25.750;4653.000;25.000
24.03.17;11:05:54 AM;19.35;112.960;25.530;4608.000;25.000
24.03.17;11:06:10 AM;19.61;118.290;25.060;4570.000;25.000
24.03.17;11:06:24 AM;19.85;111.420;25.670;4548.000;25.000
24.03.17;11:06:39 AM;20.10;112.660;25.560;4490.000;25.000
24.03.17;11:06:55 AM;20.35;108.380;25.950;4481.000;25.000
24.03.17;11:07:09 AM;20.60;118.590;25.040;4430.000;25.000
24.03.17;11:07:24 AM;20.85;109.820;25.820;4389.000;25.000
24.03.17;11:07:39 AM;21.10;117.390;25.140;4390.000;25.000
24.03.17;11:07:55 AM;21.36;112.890;25.540;4336.000;25.000
24.03.17;11:08:09 AM;21.60;112.380;25.580;4314.000;25.000
24.03.17;11:08:24 AM;21.85;111.640;25.650;4304.000;25.000
24.03.17;11:08:40 AM;22.11;115.590;25.300;4260.000;25.000
24.03.17;11:08:55 AM;22.36;113.910;25.440;4276.000;25.000
24.03.17;11:09:09 AM;22.60;113.540;25.480;4275.000;25.000
