24.03.17/10:46 AM SW ver:OXY10v3_33
Header Ch-8
Description: Q1025C-DRIFT-P
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 95528
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;10:46:35 AM;0.00;98.460;26.950;29311.000;25.000
24.03.17;10:46:39 AM;0.07;97.610;27.040;29304.000;25.000
24.03.17;10:46:54 AM;0.32;97.750;27.030;29339.000;25.000
24.03.17;10:47:09 AM;0.57;97.990;27.000;29205.000;25.000
24.03.17;10:47:25 AM;0.83;98.730;26.920;29109.000;25.000
24.03.17;10:47:39 AM;1.07;98.800;26.920;29085.000;25.000
24.03.17;10:47:55 AM;1.33;99.330;26.860;29060.000;25.000
24.03.17;10:48:10 AM;1.58;98.850;26.910;29096.000;25.000
24.03.17;10:48:24 AM;1.82;98.220;26.980;29042.000;25.000
24.03.17;10:48:40 AM;2.08;98.340;26.960;29113.000;25.000
24.03.17;10:48:55 AM;2.33;99.630;26.830;29011.000;25.000
24.03.17;10:49:08 AM;2.56;99.850;26.800;29022.000;25.000
24.03.17;10:49:23 AM;2.81;98.900;26.900;29007.000;25.000
24.03.17;10:49:39 AM;3.07;98.920;26.900;29020.000;25.000
24.03.17;10:49:55 AM;3.33;99.490;26.840;28940.000;25.000
24.03.17;10:50:08 AM;3.56;98.880;26.910;29032.000;25.000
24.03.17;10:50:25 AM;3.83;98.930;26.900;29067.000;25.000
24.03.17;10:50:39 AM;4.07;97.910;27.010;29171.000;25.000
24.03.17;10:50:54 AM;4.32;99.320;26.860;28986.000;25.000
24.03.17;10:51:09 AM;4.57;98.720;26.920;29058.000;25.000
24.03.17;10:51:24 AM;4.81;99.150;26.880;28966.000;25.000
24.03.17;10:51:39 AM;5.07;98.860;26.910;29031.000;25.000
24.03.17;10:51:55 AM;5.33;99.760;26.810;29103.000;25.000
24.03.17;10:52:08 AM;5.56;98.760;26.920;29141.000;25.000
24.03.17;10:52:25 AM;5.83;99.530;26.840;29068.000;25.000
