24.03.17/9:31 AM SW ver:OXY10v3_33
Header Ch-1
Description: Q1025C-B1W
IDENTIFICATION
PHIboard number   : v1231473
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 98479
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 005400
100.00%a.s.phase 2: 27.68 at 020.0°C amp 007300
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;9:31:40 AM;0.00;101.300;26.650;21356.000;25.000
24.03.17;9:31:41 AM;0.02;100.850;26.700;21380.000;25.000
24.03.17;9:31:42 AM;0.03;101.490;26.630;21373.000;25.000
24.03.17;9:31:43 AM;0.05;101.530;26.630;21371.000;25.000
24.03.17;9:31:49 AM;0.16;101.140;26.670;21375.000;25.000
24.03.17;9:32:04 AM;0.41;101.100;26.670;21394.000;25.000
24.03.17;9:32:19 AM;0.66;101.160;26.670;21369.000;25.000
24.03.17;9:32:34 AM;0.91;101.200;26.660;21385.000;25.000
24.03.17;9:32:49 AM;1.16;100.800;26.710;21366.000;25.000
24.03.17;9:33:04 AM;1.41;100.950;26.690;21381.000;25.000
24.03.17;9:33:19 AM;1.66;101.210;26.660;21350.000;25.000
24.03.17;9:33:34 AM;1.91;101.450;26.640;21356.000;25.000
24.03.17;9:33:49 AM;2.16;101.340;26.650;21349.000;25.000
24.03.17;9:34:04 AM;2.41;101.690;26.610;21352.000;25.000
24.03.17;9:34:19 AM;2.66;101.600;26.620;21350.000;25.000
24.03.17;9:34:34 AM;2.91;101.160;26.670;21350.000;25.000
24.03.17;9:34:49 AM;3.16;100.660;26.720;21347.000;25.000
24.03.17;9:35:04 AM;3.41;100.870;26.700;21343.000;25.000
24.03.17;9:35:19 AM;3.66;101.100;26.670;21336.000;25.000
24.03.17;9:35:34 AM;3.91;100.510;26.740;21362.000;25.000
24.03.17;9:35:49 AM;4.16;101.330;26.650;21301.000;25.000
24.03.17;9:36:04 AM;4.41;101.530;26.630;21331.000;25.000
24.03.17;9:36:19 AM;4.66;100.770;26.710;21311.000;25.000
24.03.17;9:36:34 AM;4.91;100.460;26.740;21379.000;25.000
24.03.17;9:36:49 AM;5.16;100.850;26.700;21387.000;25.000
24.03.17;9:37:04 AM;5.41;101.180;26.670;21365.000;25.000
24.03.17;9:37:19 AM;5.66;100.800;26.710;21387.000;25.000
24.03.17;9:37:34 AM;5.91;100.680;26.720;21383.000;25.000
24.03.17;9:37:49 AM;6.16;101.710;26.610;21398.000;25.000
24.03.17;9:38:04 AM;6.41;101.140;26.670;21424.000;25.000
24.03.17;9:38:19 AM;6.66;100.420;26.740;21428.000;25.000
24.03.17;9:38:34 AM;6.91;100.050;26.780;21452.000;25.000
24.03.17;9:38:49 AM;7.16;99.960;26.790;21459.000;25.000
24.03.17;9:39:04 AM;7.41;100.050;26.780;21484.000;25.000
24.03.17;9:39:19 AM;7.66;100.340;26.750;21528.000;25.000
24.03.17;9:39:34 AM;7.91;99.390;26.850;21500.000;25.000
24.03.17;9:39:49 AM;8.16;100.000;26.790;21529.000;25.000
24.03.17;9:40:04 AM;8.41;99.440;26.850;21557.000;25.000
24.03.17;9:40:19 AM;8.66;99.170;26.880;21570.000;25.000
24.03.17;9:40:34 AM;8.91;99.180;26.880;21579.000;25.000
24.03.17;9:40:49 AM;9.16;99.170;26.880;21594.000;25.000
24.03.17;9:41:04 AM;9.41;98.760;26.920;21613.000;25.000
24.03.17;9:41:19 AM;9.66;99.060;26.890;21597.000;25.000
24.03.17;9:41:34 AM;9.91;99.040;26.890;21656.000;25.000
24.03.17;9:41:49 AM;10.16;98.360;26.960;21653.000;25.000
24.03.17;9:42:04 AM;10.41;98.150;26.980;21659.000;25.000
