24.03.17/9:31 AM SW ver:OXY10v3_33
Header Ch-2
Description: Q1025C-C2B
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 95444
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;9:31:40 AM;0.00;100.280;26.760;27914.000;25.000
24.03.17;9:31:41 AM;0.02;100.840;26.700;27935.000;25.000
24.03.17;9:31:42 AM;0.03;100.470;26.740;27931.000;25.000
24.03.17;9:31:43 AM;0.05;100.980;26.690;27931.000;25.000
24.03.17;9:31:50 AM;0.17;100.550;26.730;27949.000;25.000
24.03.17;9:32:05 AM;0.41;100.680;26.720;27943.000;25.000
24.03.17;9:32:20 AM;0.66;100.500;26.740;27899.000;25.000
24.03.17;9:32:35 AM;0.91;100.670;26.720;27921.000;25.000
24.03.17;9:32:50 AM;1.16;100.570;26.730;27916.000;25.000
24.03.17;9:33:05 AM;1.41;100.620;26.720;27902.000;25.000
24.03.17;9:33:20 AM;1.66;100.550;26.730;27929.000;25.000
24.03.17;9:33:35 AM;1.91;100.390;26.750;27915.000;25.000
24.03.17;9:33:50 AM;2.16;100.990;26.690;27885.000;25.000
24.03.17;9:34:05 AM;2.41;100.360;26.750;27913.000;25.000
24.03.17;9:34:20 AM;2.66;100.740;26.710;27881.000;25.000
24.03.17;9:34:35 AM;2.91;100.710;26.710;27902.000;25.000
24.03.17;9:34:50 AM;3.16;101.050;26.680;27889.000;25.000
24.03.17;9:35:05 AM;3.41;100.310;26.760;27872.000;25.000
24.03.17;9:35:20 AM;3.66;100.820;26.700;27884.000;25.000
24.03.17;9:35:35 AM;3.91;101.200;26.660;27890.000;25.000
24.03.17;9:35:50 AM;4.16;100.480;26.740;27904.000;25.000
24.03.17;9:36:05 AM;4.41;101.210;26.660;27870.000;25.000
24.03.17;9:36:20 AM;4.66;100.560;26.730;27880.000;25.000
24.03.17;9:36:35 AM;4.91;100.980;26.690;27914.000;25.000
24.03.17;9:36:50 AM;5.16;100.650;26.720;27877.000;25.000
24.03.17;9:37:05 AM;5.41;100.620;26.720;27866.000;25.000
24.03.17;9:37:20 AM;5.66;101.030;26.680;27814.000;25.000
24.03.17;9:37:35 AM;5.91;100.430;26.740;27829.000;25.000
24.03.17;9:37:50 AM;6.16;100.460;26.740;27837.000;25.000
24.03.17;9:38:05 AM;6.41;101.060;26.680;27822.000;25.000
24.03.17;9:38:20 AM;6.66;100.330;26.750;27844.000;25.000
24.03.17;9:38:35 AM;6.91;100.260;26.760;27841.000;25.000
24.03.17;9:38:50 AM;7.16;99.960;26.790;27857.000;25.000
