24.03.17/9:31 AM SW ver:OXY10v3_33
Header Ch-3
Description: Q1025C-E23
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 98816
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;9:31:44 AM;0.00;99.840;26.810;31389.000;25.000
24.03.17;9:31:45 AM;0.02;99.720;26.820;31377.000;25.000
24.03.17;9:31:46 AM;0.04;99.640;26.830;31345.000;25.000
24.03.17;9:31:47 AM;0.05;100.140;26.770;31367.000;25.000
24.03.17;9:31:51 AM;0.12;99.460;26.850;31359.000;25.000
24.03.17;9:32:06 AM;0.37;100.080;26.780;31371.000;25.000
24.03.17;9:32:21 AM;0.62;100.100;26.780;31379.000;25.000
24.03.17;9:32:36 AM;0.87;99.960;26.790;31345.000;25.000
24.03.17;9:32:51 AM;1.12;99.310;26.860;31341.000;25.000
24.03.17;9:33:06 AM;1.37;99.320;26.860;31349.000;25.000
24.03.17;9:33:21 AM;1.62;99.530;26.840;31352.000;25.000
24.03.17;9:33:36 AM;1.87;100.040;26.780;31333.000;25.000
24.03.17;9:33:51 AM;2.12;99.990;26.790;31309.000;25.000
24.03.17;9:34:06 AM;2.37;99.520;26.840;31305.000;25.000
24.03.17;9:34:21 AM;2.62;99.480;26.840;31333.000;25.000
24.03.17;9:34:36 AM;2.87;99.560;26.830;31320.000;25.000
24.03.17;9:34:51 AM;3.12;100.400;26.750;31331.000;25.000
24.03.17;9:35:06 AM;3.37;100.240;26.760;31322.000;25.000
24.03.17;9:35:21 AM;3.62;100.010;26.790;31307.000;25.000
24.03.17;9:35:36 AM;3.87;99.920;26.800;31316.000;25.000
24.03.17;9:35:51 AM;4.12;99.470;26.840;31299.000;25.000
