24.03.17/9:31 AM SW ver:OXY10v3_33
Header Ch-4
Description: Q1025C-F34
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 94969
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;9:31:44 AM;0.00;100.020;26.790;29450.000;25.000
24.03.17;9:31:46 AM;0.02;99.580;26.830;29471.000;25.000
24.03.17;9:31:47 AM;0.03;99.270;26.870;29474.000;25.000
24.03.17;9:31:48 AM;0.06;99.540;26.840;29483.000;25.000
24.03.17;9:31:52 AM;0.12;99.500;26.840;29489.000;25.000
24.03.17;9:32:06 AM;0.37;99.560;26.830;29496.000;25.000
24.03.17;9:32:21 AM;0.62;99.410;26.850;29485.000;25.000
24.03.17;9:32:36 AM;0.87;99.880;26.800;29467.000;25.000
24.03.17;9:32:51 AM;1.12;99.430;26.850;29496.000;25.000
24.03.17;9:33:06 AM;1.37;99.800;26.810;29475.000;25.000
24.03.17;9:33:21 AM;1.62;100.210;26.770;29471.000;25.000
24.03.17;9:33:36 AM;1.87;99.890;26.800;29485.000;25.000
24.03.17;9:33:51 AM;2.12;99.660;26.820;29472.000;25.000
24.03.17;9:34:06 AM;2.37;100.100;26.780;29501.000;25.000
24.03.17;9:34:22 AM;2.62;99.850;26.800;29495.000;25.000
24.03.17;9:34:37 AM;2.87;99.810;26.810;29487.000;25.000
24.03.17;9:34:51 AM;3.12;100.110;26.780;29465.000;25.000
24.03.17;9:35:06 AM;3.37;99.770;26.810;29486.000;25.000
24.03.17;9:35:21 AM;3.62;99.870;26.800;29474.000;25.000
24.03.17;9:35:36 AM;3.87;99.990;26.790;29497.000;25.000
24.03.17;9:35:51 AM;4.12;99.510;26.840;29482.000;25.000
24.03.17;9:36:06 AM;4.37;99.830;26.810;29508.000;25.000
24.03.17;9:36:21 AM;4.62;99.740;26.820;29497.000;25.000
24.03.17;9:36:36 AM;4.87;99.990;26.790;29480.000;25.000
24.03.17;9:36:52 AM;5.12;99.180;26.870;29529.000;25.000
24.03.17;9:37:06 AM;5.37;99.290;26.860;29507.000;25.000
24.03.17;9:37:21 AM;5.62;99.970;26.790;29520.000;25.000
24.03.17;9:37:36 AM;5.87;99.350;26.860;29499.000;25.000
24.03.17;9:37:52 AM;6.12;99.340;26.860;29512.000;25.000
24.03.17;9:38:07 AM;6.37;99.700;26.820;29486.000;25.000
24.03.17;9:38:21 AM;6.62;99.110;26.880;29479.000;25.000
24.03.17;9:38:36 AM;6.87;99.550;26.840;29509.000;25.000
24.03.17;9:38:51 AM;7.12;99.630;26.830;29534.000;25.000
24.03.17;9:39:06 AM;7.37;99.940;26.790;29443.000;25.000
24.03.17;9:39:22 AM;7.62;99.720;26.820;29538.000;25.000
24.03.17;9:39:36 AM;7.87;99.450;26.850;29521.000;25.000
24.03.17;9:39:51 AM;8.12;99.100;26.880;29548.000;25.000
24.03.17;9:40:06 AM;8.37;98.800;26.920;29564.000;25.000
24.03.17;9:40:21 AM;8.62;99.300;26.860;29586.000;25.000
24.03.17;9:40:36 AM;8.87;99.490;26.840;29574.000;25.000
24.03.17;9:40:51 AM;9.12;98.820;26.910;29577.000;25.000
24.03.17;9:41:06 AM;9.37;99.150;26.880;29585.000;25.000
24.03.17;9:41:21 AM;9.62;98.860;26.910;29594.000;25.000
24.03.17;9:41:36 AM;9.87;99.260;26.870;29598.000;25.000
24.03.17;9:41:51 AM;10.12;98.050;27.000;29613.000;25.000
24.03.17;9:42:06 AM;10.37;98.990;26.900;29633.000;25.000
24.03.17;9:42:22 AM;10.62;98.440;26.950;29617.000;25.000
24.03.17;9:42:37 AM;10.87;98.840;26.910;29635.000;25.000
24.03.17;9:42:51 AM;11.12;99.300;26.860;29637.000;25.000
24.03.17;9:43:06 AM;11.37;98.700;26.930;29658.000;25.000
24.03.17;9:43:22 AM;11.62;98.670;26.930;29666.000;25.000
24.03.17;9:43:36 AM;11.87;98.330;26.970;29665.000;25.000
24.03.17;9:43:51 AM;12.12;98.360;26.960;29659.000;25.000
24.03.17;9:44:06 AM;12.37;98.390;26.960;29703.000;25.000
24.03.17;9:44:21 AM;12.62;98.420;26.960;29691.000;25.000
24.03.17;9:44:36 AM;12.87;98.200;26.980;29705.000;25.000
24.03.17;9:44:52 AM;13.12;98.270;26.970;29697.000;25.000
24.03.17;9:45:06 AM;13.37;98.240;26.980;29700.000;25.000
24.03.17;9:45:22 AM;13.62;97.980;27.000;29695.000;25.000
24.03.17;9:45:37 AM;13.87;98.410;26.960;29759.000;25.000
24.03.17;9:45:51 AM;14.12;98.000;27.000;29731.000;25.000
24.03.17;9:46:06 AM;14.37;98.140;26.990;29751.000;25.000
24.03.17;9:46:22 AM;14.62;97.950;27.010;29785.000;25.000
24.03.17;9:46:36 AM;14.87;97.740;27.030;29759.000;25.000
24.03.17;9:46:52 AM;15.12;97.590;27.050;29749.000;25.000
24.03.17;9:47:06 AM;15.37;97.640;27.040;29755.000;25.000
24.03.17;9:47:21 AM;15.62;98.010;27.000;29777.000;25.000
24.03.17;9:47:36 AM;15.87;97.770;27.030;29805.000;25.000
24.03.17;9:47:52 AM;16.12;97.760;27.030;29813.000;25.000
24.03.17;9:48:06 AM;16.37;97.600;27.040;29801.000;25.000
24.03.17;9:48:22 AM;16.62;97.540;27.050;29812.000;25.000
24.03.17;9:48:37 AM;16.87;97.740;27.030;29813.000;25.000
24.03.17;9:48:51 AM;17.12;97.530;27.050;29815.000;25.000
24.03.17;9:49:06 AM;17.37;97.630;27.040;29812.000;25.000
24.03.17;9:49:22 AM;17.62;97.510;27.050;29818.000;25.000
24.03.17;9:49:36 AM;17.87;97.990;27.000;29807.000;25.000
24.03.17;9:49:51 AM;18.12;97.380;27.070;29824.000;25.000
24.03.17;9:50:06 AM;18.37;97.490;27.060;29836.000;25.000
24.03.17;9:50:21 AM;18.62;97.370;27.070;29852.000;25.000
24.03.17;9:50:37 AM;18.87;97.490;27.060;29835.000;25.000
24.03.17;9:50:51 AM;19.12;96.990;27.110;29879.000;25.000
24.03.17;9:51:06 AM;19.37;97.230;27.080;29851.000;25.000
