24.03.17/9:31 AM SW ver:OXY10v3_33
Header Ch-5
Description: Q1025C-H36
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 98921
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;9:31:48 AM;0.00;99.540;26.840;38391.000;25.000
24.03.17;9:31:50 AM;0.03;99.330;26.860;38417.000;25.000
24.03.17;9:31:52 AM;0.06;99.750;26.810;38391.000;25.000
24.03.17;9:31:53 AM;0.08;99.550;26.840;38394.000;25.000
24.03.17;9:31:54 AM;0.10;99.660;26.820;38408.000;25.000
24.03.17;9:32:07 AM;0.31;99.900;26.800;38420.000;25.000
24.03.17;9:32:22 AM;0.56;99.550;26.840;38459.000;25.000
24.03.17;9:32:37 AM;0.81;99.790;26.810;38404.000;25.000
24.03.17;9:32:52 AM;1.06;99.850;26.800;38428.000;25.000
24.03.17;9:33:07 AM;1.31;99.550;26.840;38396.000;25.000
24.03.17;9:33:22 AM;1.56;100.160;26.770;38413.000;25.000
24.03.17;9:33:37 AM;1.81;99.940;26.790;38417.000;25.000
24.03.17;9:33:52 AM;2.06;99.730;26.820;38392.000;25.000
24.03.17;9:34:07 AM;2.31;99.760;26.810;38405.000;25.000
24.03.17;9:34:22 AM;2.56;99.930;26.800;38417.000;25.000
24.03.17;9:34:37 AM;2.81;100.130;26.770;38415.000;25.000
24.03.17;9:34:52 AM;3.06;100.070;26.780;38422.000;25.000
24.03.17;9:35:07 AM;3.31;100.010;26.790;38416.000;25.000
24.03.17;9:35:22 AM;3.56;99.960;26.790;38423.000;25.000
24.03.17;9:35:37 AM;3.81;99.910;26.800;38393.000;25.000
24.03.17;9:35:52 AM;4.06;100.060;26.780;38403.000;25.000
24.03.17;9:36:07 AM;4.31;99.830;26.810;38392.000;25.000
24.03.17;9:36:22 AM;4.56;99.460;26.850;38418.000;25.000
24.03.17;9:36:37 AM;4.81;100.180;26.770;38420.000;25.000
24.03.17;9:36:52 AM;5.06;100.010;26.790;38411.000;25.000
24.03.17;9:37:07 AM;5.31;99.510;26.840;38434.000;25.000
24.03.17;9:37:22 AM;5.56;99.790;26.810;38465.000;25.000
24.03.17;9:37:37 AM;5.81;99.760;26.810;38454.000;25.000
24.03.17;9:37:52 AM;6.06;99.610;26.830;38481.000;25.000
24.03.17;9:38:07 AM;6.31;99.260;26.870;38533.000;25.000
24.03.17;9:38:22 AM;6.56;99.160;26.880;38552.000;25.000
24.03.17;9:38:37 AM;6.81;99.550;26.840;38541.000;25.000
24.03.17;9:38:52 AM;7.06;99.340;26.860;38558.000;25.000
24.03.17;9:39:07 AM;7.31;99.170;26.880;38571.000;25.000
24.03.17;9:39:22 AM;7.56;98.690;26.930;38607.000;25.000
24.03.17;9:39:37 AM;7.81;98.850;26.910;38627.000;25.000
24.03.17;9:39:52 AM;8.06;98.950;26.900;38655.000;25.000
24.03.17;9:40:07 AM;8.31;99.110;26.880;38682.000;25.000
24.03.17;9:40:22 AM;8.56;98.500;26.950;38681.000;25.000
24.03.17;9:40:37 AM;8.81;98.860;26.910;38740.000;25.000
24.03.17;9:40:52 AM;9.06;98.590;26.940;38730.000;25.000
24.03.17;9:41:07 AM;9.31;98.650;26.930;38733.000;25.000
24.03.17;9:41:22 AM;9.56;98.000;27.000;38784.000;25.000
24.03.17;9:41:37 AM;9.81;98.170;26.980;38803.000;25.000
24.03.17;9:41:52 AM;10.06;97.930;27.010;38807.000;25.000
24.03.17;9:42:07 AM;10.31;98.040;27.000;38837.000;25.000
24.03.17;9:42:22 AM;10.56;97.720;27.030;38842.000;25.000
24.03.17;9:42:37 AM;10.81;97.780;27.020;38867.000;25.000
24.03.17;9:42:52 AM;11.06;97.440;27.060;38860.000;25.000
24.03.17;9:43:07 AM;11.31;97.470;27.060;38884.000;25.000
24.03.17;9:43:22 AM;11.56;97.490;27.060;38931.000;25.000
24.03.17;9:43:37 AM;11.81;97.480;27.060;38962.000;25.000
24.03.17;9:43:52 AM;12.06;97.270;27.080;38973.000;25.000
24.03.17;9:44:07 AM;12.31;97.450;27.060;38992.000;25.000
24.03.17;9:44:22 AM;12.56;97.260;27.080;39002.000;25.000
24.03.17;9:44:37 AM;12.81;96.760;27.140;39022.000;25.000
24.03.17;9:44:52 AM;13.06;97.170;27.090;39040.000;25.000
24.03.17;9:45:07 AM;13.31;96.980;27.110;39043.000;25.000
24.03.17;9:45:22 AM;13.56;97.240;27.080;39059.000;25.000
24.03.17;9:45:37 AM;13.81;97.090;27.100;39098.000;25.000
24.03.17;9:45:52 AM;14.06;96.730;27.140;39095.000;25.000
24.03.17;9:46:07 AM;14.31;96.950;27.110;39130.000;25.000
