24.03.17/9:31 AM SW ver:OXY10v3_33
Header Ch-6
Description: Q1025C-J35
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 97889
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;9:31:49 AM;0.00;101.040;26.680;27563.000;25.000
24.03.17;9:31:53 AM;0.06;101.150;26.670;27540.000;25.000
24.03.17;9:31:54 AM;0.08;100.540;26.730;27530.000;25.000
24.03.17;9:31:55 AM;0.10;100.340;26.750;27540.000;25.000
24.03.17;9:31:56 AM;0.11;99.640;26.830;27576.000;25.000
24.03.17;9:32:08 AM;0.31;99.630;26.830;27624.000;25.000
24.03.17;9:32:23 AM;0.56;100.580;26.730;27602.000;25.000
24.03.17;9:32:38 AM;0.81;100.610;26.720;27583.000;25.000
24.03.17;9:32:53 AM;1.06;99.880;26.800;27567.000;25.000
24.03.17;9:33:08 AM;1.31;101.230;26.660;27559.000;25.000
24.03.17;9:33:23 AM;1.56;101.450;26.640;27572.000;25.000
24.03.17;9:33:38 AM;1.81;101.140;26.670;27587.000;25.000
24.03.17;9:33:53 AM;2.06;101.010;26.680;27567.000;25.000
24.03.17;9:34:08 AM;2.31;100.660;26.720;27555.000;25.000
24.03.17;9:34:23 AM;2.57;100.050;26.780;27601.000;25.000
24.03.17;9:34:38 AM;2.81;99.810;26.810;27588.000;25.000
24.03.17;9:34:53 AM;3.06;101.100;26.670;27568.000;25.000
24.03.17;9:35:08 AM;3.32;100.560;26.730;27583.000;25.000
24.03.17;9:35:23 AM;3.56;99.930;26.800;27599.000;25.000
24.03.17;9:35:38 AM;3.81;100.450;26.740;27603.000;25.000
24.03.17;9:35:53 AM;4.06;101.300;26.650;27605.000;25.000
24.03.17;9:36:08 AM;4.31;100.980;26.690;27577.000;25.000
24.03.17;9:36:23 AM;4.56;100.200;26.770;27582.000;25.000
24.03.17;9:36:38 AM;4.81;100.190;26.770;27543.000;25.000
24.03.17;9:36:53 AM;5.06;100.590;26.730;27555.000;25.000
24.03.17;9:37:08 AM;5.31;100.900;26.690;27574.000;25.000
24.03.17;9:37:23 AM;5.57;100.570;26.730;27595.000;25.000
24.03.17;9:37:38 AM;5.81;100.620;26.720;27582.000;25.000
24.03.17;9:37:53 AM;6.06;100.760;26.710;27602.000;25.000
24.03.17;9:38:08 AM;6.31;101.190;26.660;27566.000;25.000
24.03.17;9:38:23 AM;6.56;100.450;26.740;27616.000;25.000
24.03.17;9:38:38 AM;6.81;100.020;26.790;27588.000;25.000
