24.03.17/9:31 AM SW ver:OXY10v3_33
Header Ch-8
Description: Q1025C-DRIFT
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 95528
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;9:31:55 AM;0.00;98.350;26.960;29363.000;25.000
24.03.17;9:31:56 AM;0.02;99.210;26.870;29378.000;25.000
24.03.17;9:31:57 AM;0.03;98.450;26.950;29383.000;25.000
24.03.17;9:31:58 AM;0.04;99.350;26.860;29343.000;25.000
24.03.17;9:31:58 AM;0.05;99.180;26.880;29341.000;25.000
24.03.17;9:32:09 AM;0.22;98.800;26.920;29369.000;25.000
24.03.17;9:32:24 AM;0.47;98.550;26.940;29386.000;25.000
24.03.17;9:32:39 AM;0.72;98.570;26.940;29379.000;25.000
24.03.17;9:32:54 AM;0.97;98.870;26.910;29371.000;25.000
24.03.17;9:33:09 AM;1.22;98.930;26.900;29369.000;25.000
24.03.17;9:33:24 AM;1.47;99.070;26.890;29370.000;25.000
24.03.17;9:33:39 AM;1.72;99.430;26.850;29353.000;25.000
24.03.17;9:33:54 AM;1.97;98.700;26.930;29353.000;25.000
24.03.17;9:34:08 AM;2.22;99.150;26.880;29329.000;25.000
24.03.17;9:34:23 AM;2.47;98.940;26.900;29362.000;25.000
24.03.17;9:34:39 AM;2.72;98.960;26.900;29346.000;25.000
24.03.17;9:34:54 AM;2.97;98.550;26.940;29325.000;25.000
24.03.17;9:35:09 AM;3.22;98.920;26.900;29347.000;25.000
24.03.17;9:35:23 AM;3.47;99.290;26.860;29347.000;25.000
24.03.17;9:35:39 AM;3.72;99.150;26.880;29332.000;25.000
24.03.17;9:35:54 AM;3.97;99.370;26.850;29326.000;25.000
24.03.17;9:36:09 AM;4.22;98.410;26.960;29323.000;25.000
24.03.17;9:36:24 AM;4.47;98.840;26.910;29339.000;25.000
24.03.17;9:36:39 AM;4.72;98.750;26.920;29312.000;25.000
24.03.17;9:36:54 AM;4.97;98.870;26.910;28634.000;25.000
24.03.17;9:37:08 AM;5.22;99.520;26.840;29209.000;25.000
24.03.17;9:37:24 AM;5.47;99.290;26.860;29210.000;25.000
24.03.17;9:37:39 AM;5.72;98.710;26.920;29186.000;25.000
24.03.17;9:37:54 AM;5.97;99.120;26.880;29194.000;25.000
24.03.17;9:38:09 AM;6.22;99.080;26.890;29210.000;25.000
24.03.17;9:38:24 AM;6.47;98.900;26.900;29221.000;25.000
24.03.17;9:38:39 AM;6.72;99.070;26.890;29239.000;25.000
24.03.17;9:38:54 AM;6.97;99.260;26.870;29197.000;25.000
24.03.17;9:39:09 AM;7.22;98.770;26.920;29158.000;25.000
24.03.17;9:39:23 AM;7.47;99.570;26.830;29197.000;25.000
24.03.17;9:39:39 AM;7.72;99.100;26.880;29241.000;25.000
24.03.17;9:39:54 AM;7.97;99.170;26.880;29209.000;25.000
24.03.17;9:40:09 AM;8.22;98.480;26.950;29203.000;25.000
24.03.17;9:40:23 AM;8.47;98.770;26.920;29222.000;25.000
24.03.17;9:40:39 AM;8.72;98.830;26.910;29212.000;25.000
24.03.17;9:40:54 AM;8.97;99.440;26.850;29238.000;25.000
24.03.17;9:41:09 AM;9.22;99.230;26.870;29207.000;25.000
24.03.17;9:41:24 AM;9.47;99.010;26.890;29228.000;25.000
24.03.17;9:41:39 AM;9.72;99.710;26.820;29220.000;25.000
24.03.17;9:41:54 AM;9.97;99.030;26.890;29201.000;25.000
24.03.17;9:42:09 AM;10.22;99.550;26.840;29242.000;25.000
24.03.17;9:42:24 AM;10.47;99.180;26.880;29244.000;25.000
24.03.17;9:42:39 AM;10.72;99.240;26.870;29242.000;25.000
24.03.17;9:42:54 AM;10.97;99.470;26.840;29235.000;25.000
24.03.17;9:43:09 AM;11.22;98.870;26.910;29214.000;25.000
24.03.17;9:43:24 AM;11.47;99.050;26.890;29225.000;25.000
24.03.17;9:43:39 AM;11.72;98.960;26.900;29226.000;25.000
24.03.17;9:43:54 AM;11.97;99.370;26.850;29230.000;25.000
24.03.17;9:44:09 AM;12.22;98.780;26.920;29223.000;25.000
24.03.17;9:44:23 AM;12.47;98.700;26.930;29227.000;25.000
24.03.17;9:44:39 AM;12.72;99.030;26.890;29199.000;25.000
24.03.17;9:44:54 AM;12.97;98.830;26.910;29221.000;25.000
24.03.17;9:45:09 AM;13.22;98.750;26.920;29229.000;25.000
24.03.17;9:45:24 AM;13.47;98.530;26.940;29175.000;25.000
24.03.17;9:45:39 AM;13.72;98.200;26.980;29118.000;25.000
24.03.17;9:45:54 AM;13.97;98.980;26.900;29220.000;25.000
24.03.17;9:46:09 AM;14.22;98.450;26.950;29230.000;25.000
24.03.17;9:46:24 AM;14.47;98.610;26.940;29233.000;25.000
24.03.17;9:46:39 AM;14.72;99.280;26.860;29255.000;25.000
24.03.17;9:46:53 AM;14.97;99.260;26.870;29235.000;25.000
24.03.17;9:47:09 AM;15.22;98.460;26.950;29235.000;25.000
24.03.17;9:47:24 AM;15.47;98.840;26.910;29236.000;25.000
24.03.17;9:47:39 AM;15.72;98.520;26.950;29222.000;25.000
24.03.17;9:47:54 AM;15.97;99.210;26.870;29233.000;25.000
24.03.17;9:48:09 AM;16.22;99.110;26.880;29275.000;25.000
24.03.17;9:48:24 AM;16.47;99.270;26.870;29245.000;25.000
24.03.17;9:48:39 AM;16.72;99.480;26.840;29247.000;25.000
24.03.17;9:48:54 AM;16.97;98.680;26.930;29220.000;25.000
24.03.17;9:49:08 AM;17.22;98.960;26.900;29249.000;25.000
