24.03.17/5:50 PM SW ver:OXY10v3_33
Header Ch-1
Description: Q10275CP-B5
IDENTIFICATION
PHIboard number   : v1231473
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 98232
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 005400
100.00%a.s.phase 2: 27.68 at 020.0°C amp 007300
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;5:50:58 PM;0.00;99.180;26.450;21518.000;27.500
24.03.17;5:51:02 PM;0.06;99.380;26.430;21494.000;27.500
24.03.17;5:51:17 PM;0.31;99.090;26.460;21418.000;27.500
24.03.17;5:51:32 PM;0.56;99.540;26.410;21495.000;27.500
24.03.17;5:51:47 PM;0.81;99.610;26.400;21477.000;27.500
24.03.17;5:52:02 PM;1.06;100.130;26.350;21471.000;27.500
24.03.17;5:52:17 PM;1.31;99.190;26.450;21540.000;27.500
24.03.17;5:52:32 PM;1.56;98.320;26.540;21514.000;27.500
24.03.17;5:52:47 PM;1.81;99.340;26.430;21487.000;27.500
24.03.17;5:53:02 PM;2.06;99.030;26.460;21510.000;27.500
24.03.17;5:53:17 PM;2.31;100.010;26.360;21434.000;27.500
24.03.17;5:53:32 PM;2.56;99.920;26.370;21482.000;27.500
24.03.17;5:53:47 PM;2.81;100.110;26.350;21368.000;27.500
24.03.17;5:54:02 PM;3.06;99.340;26.430;21451.000;27.500
24.03.17;5:54:17 PM;3.31;100.310;26.330;21399.000;27.500
24.03.17;5:54:32 PM;3.56;100.130;26.350;21410.000;27.500
24.03.17;5:54:47 PM;3.81;100.600;26.300;21337.000;27.500
24.03.17;5:55:02 PM;4.06;99.650;26.400;21380.000;27.500
24.03.17;5:55:17 PM;4.31;101.060;26.250;21348.000;27.500
24.03.17;5:55:32 PM;4.56;100.660;26.290;21293.000;27.500
24.03.17;5:55:47 PM;4.81;101.970;26.160;21279.000;27.500
24.03.17;5:56:02 PM;5.06;100.640;26.300;21298.000;27.500
24.03.17;5:56:17 PM;5.31;101.030;26.260;21259.000;27.500
24.03.17;5:56:32 PM;5.56;101.770;26.180;21237.000;27.500
24.03.17;5:56:47 PM;5.81;101.900;26.170;21204.000;27.500
24.03.17;5:57:02 PM;6.06;102.190;26.140;21198.000;27.500
24.03.17;5:57:17 PM;6.31;102.750;26.080;21249.000;27.500
24.03.17;5:57:32 PM;6.56;101.790;26.180;21210.000;27.500
24.03.17;5:57:47 PM;6.81;102.610;26.100;21139.000;27.500
24.03.17;5:58:02 PM;7.06;103.310;26.030;21125.000;27.500
24.03.17;5:58:17 PM;7.31;102.180;26.140;21126.000;27.500
24.03.17;5:58:32 PM;7.56;103.240;26.030;21060.000;27.500
24.03.17;5:58:47 PM;7.81;102.000;26.160;21050.000;27.500
24.03.17;5:59:02 PM;8.06;103.640;25.990;21039.000;27.500
24.03.17;5:59:17 PM;8.31;104.200;25.940;21028.000;27.500
24.03.17;5:59:32 PM;8.56;104.360;25.920;20954.000;27.500
24.03.17;5:59:47 PM;8.81;103.190;26.040;20954.000;27.500
24.03.17;6:00:02 PM;9.06;103.640;25.990;20956.000;27.500
24.03.17;6:00:17 PM;9.31;103.890;25.970;20952.000;27.500
24.03.17;6:00:32 PM;9.56;104.040;25.950;20941.000;27.500
24.03.17;6:00:47 PM;9.81;105.340;25.830;20908.000;27.500
24.03.17;6:01:02 PM;10.06;105.310;25.830;20858.000;27.500
24.03.17;6:01:17 PM;10.31;103.770;25.980;20836.000;27.500
24.03.17;6:01:32 PM;10.56;104.870;25.870;20850.000;27.500
24.03.17;6:01:47 PM;10.81;105.580;25.800;20767.000;27.500
24.03.17;6:02:02 PM;11.06;106.330;25.730;20710.000;27.500
