24.03.17/5:50 PM SW ver:OXY10v3_33
Header Ch-2
Description: Q10275CP-C17
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 94984
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;5:50:59 PM;0.00;98.980;26.470;27091.000;27.500
24.03.17;5:51:03 PM;0.07;98.770;26.490;27106.000;27.500
24.03.17;5:51:18 PM;0.32;99.630;26.400;27071.000;27.500
24.03.17;5:51:33 PM;0.57;99.720;26.390;27106.000;27.500
24.03.17;5:51:48 PM;0.82;98.000;26.570;27074.000;27.500
24.03.17;5:52:03 PM;1.07;99.510;26.410;27075.000;27.500
24.03.17;5:52:18 PM;1.32;99.110;26.450;27066.000;27.500
24.03.17;5:52:33 PM;1.57;98.690;26.500;27135.000;27.500
24.03.17;5:52:48 PM;1.82;98.500;26.520;27038.000;27.500
24.03.17;5:53:03 PM;2.07;99.720;26.390;27061.000;27.500
24.03.17;5:53:18 PM;2.32;99.510;26.410;27078.000;27.500
24.03.17;5:53:33 PM;2.57;99.310;26.430;27080.000;27.500
24.03.17;5:53:48 PM;2.82;98.940;26.470;27079.000;27.500
24.03.17;5:54:03 PM;3.07;98.700;26.500;27092.000;27.500
24.03.17;5:54:18 PM;3.32;99.040;26.460;27108.000;27.500
24.03.17;5:54:33 PM;3.57;98.860;26.480;27066.000;27.500
24.03.17;5:54:48 PM;3.82;99.170;26.450;27075.000;27.500
24.03.17;5:55:03 PM;4.07;100.300;26.330;27022.000;27.500
24.03.17;5:55:18 PM;4.32;100.050;26.360;27046.000;27.500
24.03.17;5:55:33 PM;4.57;99.470;26.420;27040.000;27.500
24.03.17;5:55:48 PM;4.82;99.300;26.430;27051.000;27.500
24.03.17;5:56:03 PM;5.07;99.820;26.380;27012.000;27.500
24.03.17;5:56:18 PM;5.32;99.890;26.370;27078.000;27.500
24.03.17;5:56:33 PM;5.57;99.750;26.390;27054.000;27.500
24.03.17;5:56:48 PM;5.82;100.280;26.330;27054.000;27.500
24.03.17;5:57:03 PM;6.07;99.260;26.440;27041.000;27.500
24.03.17;5:57:18 PM;6.32;100.270;26.330;27011.000;27.500
24.03.17;5:57:33 PM;6.57;100.310;26.330;26969.000;27.500
24.03.17;5:57:48 PM;6.82;99.950;26.370;26965.000;27.500
24.03.17;5:58:03 PM;7.07;99.290;26.440;26897.000;27.500
24.03.17;5:58:18 PM;7.32;100.940;26.270;26923.000;27.500
24.03.17;5:58:33 PM;7.57;101.060;26.250;26934.000;27.500
24.03.17;5:58:48 PM;7.82;101.190;26.240;26893.000;27.500
24.03.17;5:59:03 PM;8.07;101.050;26.250;26826.000;27.500
24.03.17;5:59:18 PM;8.32;101.160;26.240;26875.000;27.500
24.03.17;5:59:33 PM;8.57;100.440;26.320;26783.000;27.500
24.03.17;5:59:48 PM;8.82;100.520;26.310;26872.000;27.500
24.03.17;6:00:03 PM;9.07;101.650;26.190;26801.000;27.500
24.03.17;6:00:18 PM;9.32;101.070;26.250;26794.000;27.500
24.03.17;6:00:33 PM;9.57;101.740;26.180;26747.000;27.500
24.03.17;6:00:48 PM;9.82;102.270;26.130;26703.000;27.500
24.03.17;6:01:03 PM;10.07;102.350;26.120;26675.000;27.500
24.03.17;6:01:18 PM;10.32;101.960;26.160;26746.000;27.500
24.03.17;6:01:33 PM;10.57;101.570;26.200;26666.000;27.500
24.03.17;6:01:48 PM;10.82;102.480;26.110;26618.000;27.500
24.03.17;6:02:03 PM;11.07;102.490;26.110;26625.000;27.500
