24.03.17/5:51 PM SW ver:OXY10v3_33
Header Ch-3
Description: Q10275CP-E7
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 98979
Frequency         : 006
Sending interval  : 0001
Averaging         : 9
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;5:51:00 PM;0.00;98.430;26.530;26746.000;27.500
24.03.17;5:51:04 PM;0.07;99.150;26.450;26677.000;27.500
24.03.17;5:51:19 PM;0.32;97.910;26.580;26675.000;27.500
24.03.17;5:51:34 PM;0.57;98.310;26.540;26732.000;27.500
24.03.17;5:51:49 PM;0.82;98.490;26.520;26734.000;27.500
24.03.17;5:52:04 PM;1.07;97.740;26.600;26700.000;27.500
24.03.17;5:52:19 PM;1.32;98.400;26.530;26753.000;27.500
24.03.17;5:52:34 PM;1.57;98.740;26.490;26704.000;27.500
24.03.17;5:52:49 PM;1.82;98.700;26.500;26698.000;27.500
24.03.17;5:53:04 PM;2.07;98.150;26.560;26693.000;27.500
24.03.17;5:53:19 PM;2.32;98.070;26.560;26688.000;27.500
24.03.17;5:53:34 PM;2.57;98.070;26.560;26715.000;27.500
24.03.17;5:53:49 PM;2.82;98.740;26.490;26734.000;27.500
24.03.17;5:54:04 PM;3.07;98.770;26.490;26648.000;27.500
24.03.17;5:54:19 PM;3.32;97.920;26.580;26677.000;27.500
24.03.17;5:54:34 PM;3.57;98.200;26.550;26746.000;27.500
24.03.17;5:54:49 PM;3.82;98.250;26.550;26742.000;27.500
24.03.17;5:55:04 PM;4.07;98.230;26.550;26667.000;27.500
24.03.17;5:55:19 PM;4.32;98.660;26.500;26689.000;27.500
24.03.17;5:55:34 PM;4.57;98.270;26.540;26690.000;27.500
24.03.17;5:55:49 PM;4.82;98.440;26.530;26668.000;27.500
24.03.17;5:56:04 PM;5.07;97.960;26.580;26670.000;27.500
24.03.17;5:56:19 PM;5.32;98.580;26.510;26695.000;27.500
24.03.17;5:56:34 PM;5.57;98.550;26.510;26695.000;27.500
24.03.17;5:56:49 PM;5.82;97.750;26.600;26679.000;27.500
24.03.17;5:57:04 PM;6.07;98.120;26.560;26648.000;27.500
24.03.17;5:57:19 PM;6.32;98.030;26.570;26668.000;27.500
24.03.17;5:57:34 PM;6.57;98.550;26.510;26665.000;27.500
24.03.17;5:57:49 PM;6.82;97.710;26.600;26646.000;27.500
24.03.17;5:58:04 PM;7.07;98.350;26.540;26590.000;27.500
24.03.17;5:58:19 PM;7.32;98.410;26.530;26679.000;27.500
24.03.17;5:58:34 PM;7.57;98.060;26.570;26626.000;27.500
24.03.17;5:58:49 PM;7.82;98.050;26.570;26657.000;27.500
24.03.17;5:59:04 PM;8.07;99.070;26.460;26579.000;27.500
24.03.17;5:59:19 PM;8.32;98.780;26.490;26637.000;27.500
24.03.17;5:59:34 PM;8.57;97.930;26.580;26629.000;27.500
24.03.17;5:59:49 PM;8.82;99.020;26.460;26644.000;27.500
24.03.17;6:00:04 PM;9.07;98.260;26.540;26615.000;27.500
24.03.17;6:00:19 PM;9.32;98.520;26.520;26608.000;27.500
24.03.17;6:00:34 PM;9.57;98.420;26.530;26590.000;27.500
24.03.17;6:00:49 PM;9.82;99.060;26.460;26603.000;27.500
24.03.17;6:01:04 PM;10.07;99.080;26.460;26567.000;27.500
24.03.17;6:01:19 PM;10.32;100.520;26.310;26555.000;27.500
24.03.17;6:01:34 PM;10.57;98.130;26.560;26536.000;27.500
24.03.17;6:01:49 PM;10.82;99.450;26.420;26558.000;27.500
