24.03.17/5:51 PM SW ver:OXY10v3_33
Header Ch-4
Description: Q10275CP-DRIFT
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 94514
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;5:51:00 PM;0.00;97.510;26.620;29281.000;27.500
24.03.17;5:51:04 PM;0.07;98.100;26.560;29316.000;27.500
24.03.17;5:51:19 PM;0.32;97.040;26.670;29345.000;27.500
24.03.17;5:51:34 PM;0.57;98.030;26.570;29349.000;27.500
24.03.17;5:51:49 PM;0.82;97.840;26.590;29408.000;27.500
24.03.17;5:52:04 PM;1.07;99.290;26.440;29301.000;27.500
24.03.17;5:52:19 PM;1.32;99.230;26.440;29308.000;27.500
24.03.17;5:52:34 PM;1.57;97.080;26.670;29392.000;27.500
24.03.17;5:52:49 PM;1.82;97.170;26.660;29406.000;27.500
24.03.17;5:53:04 PM;2.07;97.150;26.660;29416.000;27.500
24.03.17;5:53:19 PM;2.32;97.930;26.580;29391.000;27.500
24.03.17;5:53:34 PM;2.57;96.880;26.690;29403.000;27.500
24.03.17;5:53:49 PM;2.82;97.920;26.580;29379.000;27.500
24.03.17;5:54:04 PM;3.07;97.730;26.600;29340.000;27.500
24.03.17;5:54:19 PM;3.32;98.160;26.560;29404.000;27.500
24.03.17;5:54:34 PM;3.57;97.330;26.640;29392.000;27.500
24.03.17;5:54:49 PM;3.82;97.410;26.640;29396.000;27.500
24.03.17;5:55:04 PM;4.07;98.480;26.520;29370.000;27.500
24.03.17;5:55:19 PM;4.32;97.470;26.630;29396.000;27.500
24.03.17;5:55:34 PM;4.57;98.060;26.570;29350.000;27.500
24.03.17;5:55:49 PM;4.82;97.200;26.660;29430.000;27.500
24.03.17;5:56:04 PM;5.07;97.250;26.650;29378.000;27.500
24.03.17;5:56:19 PM;5.32;97.050;26.670;29357.000;27.500
24.03.17;5:56:34 PM;5.57;98.160;26.560;29347.000;27.500
24.03.17;5:56:49 PM;5.82;97.830;26.590;29298.000;27.500
24.03.17;5:57:04 PM;6.07;97.320;26.640;29370.000;27.500
24.03.17;5:57:19 PM;6.32;97.580;26.620;29355.000;27.500
24.03.17;5:57:34 PM;6.57;97.960;26.580;29360.000;27.500
24.03.17;5:57:49 PM;6.82;97.170;26.660;29382.000;27.500
24.03.17;5:58:04 PM;7.07;97.220;26.660;29389.000;27.500
24.03.17;5:58:19 PM;7.32;96.800;26.700;29437.000;27.500
24.03.17;5:58:34 PM;7.57;97.370;26.640;29394.000;27.500
24.03.17;5:58:49 PM;7.82;97.440;26.630;29401.000;27.500
24.03.17;5:59:04 PM;8.07;97.170;26.660;29366.000;27.500
24.03.17;5:59:19 PM;8.32;97.040;26.670;29381.000;27.500
24.03.17;5:59:34 PM;8.57;98.110;26.560;29382.000;27.500
24.03.17;5:59:49 PM;8.82;97.810;26.590;29454.000;27.500
24.03.17;6:00:04 PM;9.07;97.670;26.610;29282.000;27.500
24.03.17;6:00:19 PM;9.32;96.910;26.690;29386.000;27.500
24.03.17;6:00:34 PM;9.57;97.870;26.590;29398.000;27.500
24.03.17;6:00:49 PM;9.82;97.510;26.620;29443.000;27.500
24.03.17;6:01:04 PM;10.07;97.820;26.590;29390.000;27.500
24.03.17;6:01:19 PM;10.32;96.930;26.690;29370.000;27.500
24.03.17;6:01:34 PM;10.57;96.770;26.700;29432.000;27.500
24.03.17;6:01:49 PM;10.82;98.320;26.540;29427.000;27.500
