24.03.17/5:51 PM SW ver:OXY10v3_33
Header Ch-5
Description: Q10275CP-F1O
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 99310
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;5:51:01 PM;0.00;98.550;26.510;41336.000;27.500
24.03.17;5:51:05 PM;0.07;97.570;26.620;41369.000;27.500
24.03.17;5:51:20 PM;0.32;97.860;26.590;41430.000;27.500
24.03.17;5:51:35 PM;0.57;97.990;26.570;41482.000;27.500
24.03.17;5:51:50 PM;0.82;98.570;26.510;41363.000;27.500
24.03.17;5:52:05 PM;1.07;98.180;26.550;41411.000;27.500
24.03.17;5:52:20 PM;1.32;97.810;26.590;41453.000;27.500
24.03.17;5:52:35 PM;1.57;98.790;26.490;41444.000;27.500
24.03.17;5:52:50 PM;1.82;97.480;26.630;41430.000;27.500
24.03.17;5:53:05 PM;2.07;97.640;26.610;41376.000;27.500
24.03.17;5:53:20 PM;2.32;97.490;26.630;41435.000;27.500
24.03.17;5:53:35 PM;2.57;97.690;26.610;41394.000;27.500
24.03.17;5:53:50 PM;2.82;97.880;26.580;41439.000;27.500
24.03.17;5:54:05 PM;3.07;97.560;26.620;41376.000;27.500
24.03.17;5:54:20 PM;3.32;98.820;26.490;41339.000;27.500
24.03.17;5:54:35 PM;3.57;99.090;26.460;41306.000;27.500
24.03.17;5:54:50 PM;3.82;98.960;26.470;41315.000;27.500
24.03.17;5:55:05 PM;4.07;98.980;26.470;41311.000;27.500
24.03.17;5:55:20 PM;4.32;99.120;26.450;41310.000;27.500
24.03.17;5:55:35 PM;4.57;99.360;26.430;41362.000;27.500
24.03.17;5:55:50 PM;4.82;98.450;26.520;41277.000;27.500
24.03.17;5:56:05 PM;5.07;98.870;26.480;41251.000;27.500
24.03.17;5:56:20 PM;5.32;100.130;26.350;41239.000;27.500
24.03.17;5:56:35 PM;5.57;99.870;26.380;41253.000;27.500
24.03.17;5:56:50 PM;5.82;99.080;26.460;41187.000;27.500
24.03.17;5:57:05 PM;6.07;99.630;26.400;41248.000;27.500
24.03.17;5:57:20 PM;6.32;99.490;26.420;41215.000;27.500
24.03.17;5:57:35 PM;6.57;99.340;26.430;41225.000;27.500
24.03.17;5:57:50 PM;6.82;99.090;26.460;41154.000;27.500
24.03.17;5:58:05 PM;7.07;99.300;26.430;41222.000;27.500
24.03.17;5:58:20 PM;7.32;99.450;26.420;41166.000;27.500
24.03.17;5:58:35 PM;7.57;99.780;26.380;41162.000;27.500
24.03.17;5:58:50 PM;7.82;99.980;26.360;41117.000;27.500
24.03.17;5:59:05 PM;8.07;99.780;26.380;41174.000;27.500
24.03.17;5:59:20 PM;8.32;99.710;26.390;41122.000;27.500
24.03.17;5:59:35 PM;8.57;100.690;26.290;41116.000;27.500
24.03.17;5:59:50 PM;8.82;100.940;26.270;41024.000;27.500
24.03.17;6:00:05 PM;9.07;100.550;26.310;41043.000;27.500
24.03.17;6:00:20 PM;9.32;101.190;26.240;41012.000;27.500
24.03.17;6:00:35 PM;9.57;100.000;26.360;40992.000;27.500
24.03.17;6:00:50 PM;9.82;100.360;26.320;41023.000;27.500
24.03.17;6:01:05 PM;10.07;100.690;26.290;40950.000;27.500
24.03.17;6:01:20 PM;10.32;100.790;26.280;40985.000;27.500
24.03.17;6:01:35 PM;10.57;100.870;26.270;40936.000;27.500
24.03.17;6:01:50 PM;10.82;100.580;26.300;40997.000;27.500
