24.03.17/5:51 PM SW ver:OXY10v3_33
Header Ch-6
Description: Q10275CP-H5
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 97811
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;5:51:01 PM;0.00;98.890;26.480;32307.000;27.500
24.03.17;5:51:06 PM;0.07;99.000;26.470;32319.000;27.500
24.03.17;5:51:21 PM;0.32;99.600;26.400;32403.000;27.500
24.03.17;5:51:36 PM;0.57;99.520;26.410;32459.000;27.500
24.03.17;5:51:51 PM;0.82;99.280;26.440;32422.000;27.500
24.03.17;5:52:06 PM;1.07;99.370;26.430;32423.000;27.500
24.03.17;5:52:21 PM;1.32;99.680;26.400;32400.000;27.500
24.03.17;5:52:36 PM;1.57;99.400;26.420;32433.000;27.500
24.03.17;5:52:51 PM;1.82;98.180;26.550;32412.000;27.500
24.03.17;5:53:06 PM;2.07;98.190;26.550;32478.000;27.500
24.03.17;5:53:21 PM;2.32;97.720;26.600;32470.000;27.500
24.03.17;5:53:36 PM;2.57;98.760;26.490;32496.000;27.500
24.03.17;5:53:51 PM;2.82;99.540;26.410;32491.000;27.500
24.03.17;5:54:06 PM;3.07;98.750;26.490;32469.000;27.500
24.03.17;5:54:21 PM;3.32;98.880;26.480;32461.000;27.500
24.03.17;5:54:36 PM;3.57;98.430;26.530;32372.000;27.500
24.03.17;5:54:51 PM;3.82;98.860;26.480;32409.000;27.500
24.03.17;5:55:06 PM;4.07;98.740;26.490;32446.000;27.500
24.03.17;5:55:21 PM;4.32;100.100;26.350;32436.000;27.500
24.03.17;5:55:36 PM;4.57;98.950;26.470;32430.000;27.500
24.03.17;5:55:51 PM;4.82;98.330;26.540;32447.000;27.500
24.03.17;5:56:06 PM;5.07;98.760;26.490;32492.000;27.500
24.03.17;5:56:21 PM;5.32;99.050;26.460;32406.000;27.500
24.03.17;5:56:36 PM;5.57;98.450;26.520;32439.000;27.500
24.03.17;5:56:51 PM;5.82;99.770;26.390;32500.000;27.500
24.03.17;5:57:06 PM;6.07;98.810;26.490;32434.000;27.500
24.03.17;5:57:21 PM;6.32;100.390;26.320;32423.000;27.500
24.03.17;5:57:36 PM;6.57;99.200;26.450;32391.000;27.500
24.03.17;5:57:51 PM;6.82;97.660;26.610;32432.000;27.500
24.03.17;5:58:06 PM;7.07;98.030;26.570;32355.000;27.500
24.03.17;5:58:21 PM;7.32;99.800;26.380;32361.000;27.500
24.03.17;5:58:36 PM;7.57;99.330;26.430;32448.000;27.500
24.03.17;5:58:51 PM;7.82;99.240;26.440;32364.000;27.500
24.03.17;5:59:06 PM;8.07;98.970;26.470;32368.000;27.500
24.03.17;5:59:21 PM;8.32;98.640;26.500;32429.000;27.500
24.03.17;5:59:36 PM;8.57;99.430;26.420;32438.000;27.500
24.03.17;5:59:51 PM;8.82;98.860;26.480;32428.000;27.500
24.03.17;6:00:06 PM;9.07;98.730;26.490;32407.000;27.500
24.03.17;6:00:21 PM;9.32;97.710;26.600;32391.000;27.500
24.03.17;6:00:36 PM;9.57;99.160;26.450;32374.000;27.500
24.03.17;6:00:51 PM;9.82;99.900;26.370;32327.000;27.500
24.03.17;6:01:06 PM;10.07;99.560;26.410;32322.000;27.500
24.03.17;6:01:21 PM;10.32;100.550;26.310;32292.000;27.500
24.03.17;6:01:36 PM;10.57;100.000;26.360;32338.000;27.500
24.03.17;6:01:51 PM;10.82;99.760;26.390;32361.000;27.500
