24.03.17/5:23 PM SW ver:OXY10v3_33
Header Ch-1
Description: Q10275CR-B5
IDENTIFICATION
PHIboard number   : v1231473
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 98232
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 005400
100.00%a.s.phase 2: 27.68 at 020.0°C amp 007300
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;5:23:36 PM;0.00;100.520;26.310;21457.000;27.500
24.03.17;5:23:37 PM;0.02;99.760;26.390;21461.000;27.500
24.03.17;5:23:47 PM;0.17;99.820;26.380;21477.000;27.500
24.03.17;5:24:02 PM;0.42;100.090;26.350;21481.000;27.500
24.03.17;5:24:17 PM;0.67;99.880;26.370;21498.000;27.500
24.03.17;5:24:32 PM;0.92;99.250;26.440;21481.000;27.500
24.03.17;5:24:47 PM;1.17;99.410;26.420;21522.000;27.500
24.03.17;5:25:02 PM;1.42;100.120;26.350;21519.000;27.500
24.03.17;5:25:17 PM;1.67;99.720;26.390;21553.000;27.500
24.03.17;5:25:32 PM;1.92;99.190;26.450;21546.000;27.500
24.03.17;5:25:47 PM;2.17;99.760;26.390;21552.000;27.500
24.03.17;5:26:02 PM;2.42;99.800;26.380;21566.000;27.500
24.03.17;5:26:17 PM;2.67;99.010;26.470;21565.000;27.500
24.03.17;5:26:32 PM;2.92;98.820;26.490;21563.000;27.500
24.03.17;5:26:47 PM;3.17;98.650;26.500;21583.000;27.500
24.03.17;5:27:02 PM;3.42;98.400;26.530;21605.000;27.500
24.03.17;5:27:17 PM;3.67;98.120;26.560;21617.000;27.500
24.03.17;5:27:32 PM;3.92;98.770;26.490;21639.000;27.500
24.03.17;5:27:47 PM;4.17;98.580;26.510;21644.000;27.500
24.03.17;5:28:02 PM;4.42;98.680;26.500;21657.000;27.500
24.03.17;5:28:17 PM;4.67;97.780;26.600;21670.000;27.500
24.03.17;5:28:32 PM;4.92;98.190;26.550;21701.000;27.500
24.03.17;5:28:47 PM;5.17;98.110;26.560;21693.000;27.500
24.03.17;5:29:02 PM;5.42;98.230;26.550;21712.000;27.500
24.03.17;5:29:17 PM;5.67;98.050;26.570;21726.000;27.500
24.03.17;5:29:32 PM;5.92;97.480;26.630;21785.000;27.500
24.03.17;5:29:47 PM;6.17;96.900;26.690;21778.000;27.500
24.03.17;5:30:02 PM;6.42;96.990;26.680;21804.000;27.500
24.03.17;5:30:17 PM;6.67;97.190;26.660;21798.000;27.500
24.03.17;5:30:32 PM;6.92;96.740;26.710;21836.000;27.500
24.03.17;5:30:47 PM;7.17;96.480;26.740;21842.000;27.500
24.03.17;5:31:02 PM;7.42;96.780;26.700;21863.000;27.500
24.03.17;5:31:17 PM;7.67;96.900;26.690;21875.000;27.500
24.03.17;5:31:32 PM;7.92;96.150;26.770;21875.000;27.500
24.03.17;5:31:47 PM;8.17;96.720;26.710;21888.000;27.500
24.03.17;5:32:02 PM;8.42;95.970;26.790;21919.000;27.500
24.03.17;5:32:17 PM;8.67;96.220;26.760;21919.000;27.500
24.03.17;5:32:32 PM;8.92;95.960;26.790;21931.000;27.500
24.03.17;5:32:47 PM;9.17;95.820;26.810;21961.000;27.500
