24.03.17/5:23 PM SW ver:OXY10v3_33
Header Ch-2
Description: Q10275CR-C17
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 94984
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;5:23:37 PM;0.00;99.530;26.410;27082.000;27.500
24.03.17;5:23:38 PM;0.02;99.080;26.460;27057.000;27.500
24.03.17;5:23:49 PM;0.19;99.850;26.380;27093.000;27.500
24.03.17;5:24:04 PM;0.45;99.470;26.420;27077.000;27.500
24.03.17;5:24:19 PM;0.69;99.820;26.380;27098.000;27.500
24.03.17;5:24:34 PM;0.95;98.980;26.470;27062.000;27.500
24.03.17;5:24:49 PM;1.20;99.920;26.370;27127.000;27.500
24.03.17;5:25:04 PM;1.44;98.990;26.470;27120.000;27.500
24.03.17;5:25:19 PM;1.70;99.930;26.370;27129.000;27.500
24.03.17;5:25:34 PM;1.95;99.100;26.460;26862.000;27.500
24.03.17;5:25:49 PM;2.20;98.700;26.500;27145.000;27.500
24.03.17;5:26:04 PM;2.45;98.980;26.470;27151.000;27.500
24.03.17;5:26:19 PM;2.69;99.100;26.460;27138.000;27.500
24.03.17;5:26:34 PM;2.94;99.400;26.420;27167.000;27.500
24.03.17;5:26:49 PM;3.19;98.800;26.490;27175.000;27.500
24.03.17;5:27:04 PM;3.45;99.010;26.470;27182.000;27.500
24.03.17;5:27:19 PM;3.70;98.300;26.540;27217.000;27.500
24.03.17;5:27:34 PM;3.95;99.080;26.460;27227.000;27.500
24.03.17;5:27:49 PM;4.20;99.250;26.440;27206.000;27.500
24.03.17;5:28:04 PM;4.45;98.520;26.520;27236.000;27.500
24.03.17;5:28:19 PM;4.70;98.490;26.520;27249.000;27.500
24.03.17;5:28:34 PM;4.95;98.510;26.520;27264.000;27.500
24.03.17;5:28:49 PM;5.20;97.900;26.580;27252.000;27.500
24.03.17;5:29:04 PM;5.45;98.030;26.570;27291.000;27.500
24.03.17;5:29:19 PM;5.69;98.810;26.490;27289.000;27.500
24.03.17;5:29:34 PM;5.95;98.030;26.570;27337.000;27.500
24.03.17;5:29:49 PM;6.20;97.540;26.620;27333.000;27.500
24.03.17;5:30:04 PM;6.45;97.430;26.630;27327.000;27.500
24.03.17;5:30:19 PM;6.70;98.030;26.570;27347.000;27.500
24.03.17;5:30:34 PM;6.95;98.000;26.570;27327.000;27.500
24.03.17;5:30:49 PM;7.20;97.730;26.600;27368.000;27.500
24.03.17;5:31:04 PM;7.44;97.970;26.580;27392.000;27.500
24.03.17;5:31:19 PM;7.70;97.910;26.580;27367.000;27.500
24.03.17;5:31:34 PM;7.94;97.380;26.640;27410.000;27.500
