24.03.17/5:23 PM SW ver:OXY10v3_33
Header Ch-3
Description: Q10275CR-E7
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 98979
Frequency         : 006
Sending interval  : 0001
Averaging         : 9
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;5:23:38 PM;0.00;98.080;26.560;26563.000;27.500
24.03.17;5:23:40 PM;0.02;99.000;26.470;26578.000;27.500
24.03.17;5:23:51 PM;0.21;99.060;26.460;26587.000;27.500
24.03.17;5:24:06 PM;0.46;98.700;26.500;26603.000;27.500
24.03.17;5:24:21 PM;0.71;98.600;26.510;26593.000;27.500
24.03.17;5:24:36 PM;0.96;98.700;26.500;26578.000;27.500
24.03.17;5:24:51 PM;1.21;98.780;26.490;26591.000;27.500
24.03.17;5:25:06 PM;1.46;98.700;26.500;26610.000;27.500
24.03.17;5:25:21 PM;1.71;98.800;26.490;26581.000;27.500
24.03.17;5:25:36 PM;1.96;98.160;26.560;26606.000;27.500
24.03.17;5:25:51 PM;2.21;98.740;26.490;26612.000;27.500
24.03.17;5:26:06 PM;2.46;98.680;26.500;26599.000;27.500
24.03.17;5:26:21 PM;2.71;98.430;26.530;26595.000;27.500
24.03.17;5:26:36 PM;2.96;98.530;26.520;26619.000;27.500
24.03.17;5:26:51 PM;3.21;98.800;26.490;26635.000;27.500
24.03.17;5:27:06 PM;3.46;98.650;26.500;26629.000;27.500
24.03.17;5:27:21 PM;3.71;98.320;26.540;26607.000;27.500
24.03.17;5:27:36 PM;3.96;98.780;26.490;26622.000;27.500
24.03.17;5:27:51 PM;4.21;98.170;26.550;26619.000;27.500
24.03.17;5:28:06 PM;4.46;98.690;26.500;26627.000;27.500
24.03.17;5:28:21 PM;4.71;98.210;26.550;26655.000;27.500
24.03.17;5:28:36 PM;4.96;97.850;26.590;26634.000;27.500
24.03.17;5:28:51 PM;5.21;98.630;26.510;26625.000;27.500
24.03.17;5:29:06 PM;5.46;98.470;26.520;26625.000;27.500
24.03.17;5:29:21 PM;5.71;98.310;26.540;26671.000;27.500
24.03.17;5:29:36 PM;5.96;98.290;26.540;26687.000;27.500
24.03.17;5:29:51 PM;6.21;97.950;26.580;26679.000;27.500
24.03.17;5:30:06 PM;6.46;98.680;26.500;26661.000;27.500
