24.03.17/5:23 PM SW ver:OXY10v3_33
Header Ch-4
Description: Q10275CR-DRIFT
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 94514
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;5:23:39 PM;0.00;99.080;26.460;29233.000;27.500
24.03.17;5:23:40 PM;0.02;99.090;26.460;29224.000;27.500
24.03.17;5:23:53 PM;0.23;98.820;26.490;29252.000;27.500
24.03.17;5:24:08 PM;0.48;98.680;26.500;29226.000;27.500
24.03.17;5:24:23 PM;0.74;98.700;26.500;29232.000;27.500
24.03.17;5:24:38 PM;0.98;98.830;26.480;29273.000;27.500
24.03.17;5:24:53 PM;1.23;98.930;26.470;29240.000;27.500
24.03.17;5:25:08 PM;1.49;98.620;26.510;29230.000;27.500
24.03.17;5:25:23 PM;1.74;99.040;26.460;29258.000;27.500
24.03.17;5:25:38 PM;1.99;99.470;26.420;29250.000;27.500
24.03.17;5:25:53 PM;2.23;98.520;26.520;29268.000;27.500
24.03.17;5:26:08 PM;2.48;98.750;26.490;29251.000;27.500
24.03.17;5:26:23 PM;2.73;98.510;26.520;29215.000;27.500
24.03.17;5:26:38 PM;2.98;98.580;26.510;29262.000;27.500
24.03.17;5:26:53 PM;3.23;98.930;26.470;29264.000;27.500
24.03.17;5:27:08 PM;3.48;98.740;26.490;29281.000;27.500
24.03.17;5:27:23 PM;3.74;99.180;26.450;29257.000;27.500
24.03.17;5:27:38 PM;3.98;98.430;26.530;29276.000;27.500
24.03.17;5:27:53 PM;4.24;98.660;26.500;29258.000;27.500
24.03.17;5:28:08 PM;4.48;98.680;26.500;29246.000;27.500
24.03.17;5:28:23 PM;4.73;98.550;26.510;29282.000;27.500
24.03.17;5:28:38 PM;4.98;98.660;26.500;29265.000;27.500
24.03.17;5:28:53 PM;5.23;98.970;26.470;29261.000;27.500
24.03.17;5:29:08 PM;5.48;98.390;26.530;29264.000;27.500
24.03.17;5:29:23 PM;5.74;98.350;26.540;29259.000;27.500
24.03.17;5:29:38 PM;5.99;98.540;26.510;29316.000;27.500
24.03.17;5:29:53 PM;6.23;98.080;26.560;29280.000;27.500
24.03.17;5:30:08 PM;6.48;98.450;26.520;29274.000;27.500
24.03.17;5:30:23 PM;6.73;98.650;26.500;29291.000;27.500
24.03.17;5:30:38 PM;6.98;98.550;26.510;29267.000;27.500
24.03.17;5:30:53 PM;7.24;98.240;26.550;29267.000;27.500
24.03.17;5:31:08 PM;7.48;98.490;26.520;29264.000;27.500
24.03.17;5:31:23 PM;7.73;99.080;26.460;29280.000;27.500
24.03.17;5:31:38 PM;7.98;98.360;26.530;29295.000;27.500
24.03.17;5:31:53 PM;8.23;97.870;26.590;29266.000;27.500
24.03.17;5:32:08 PM;8.49;98.570;26.510;29282.000;27.500
24.03.17;5:32:23 PM;8.73;98.830;26.480;29256.000;27.500
24.03.17;5:32:38 PM;8.98;98.220;26.550;29275.000;27.500
24.03.17;5:32:53 PM;9.23;98.480;26.520;29302.000;27.500
24.03.17;5:33:08 PM;9.48;98.310;26.540;29292.000;27.500
24.03.17;5:33:23 PM;9.73;98.230;26.550;29283.000;27.500
24.03.17;5:33:38 PM;9.98;98.630;26.510;29299.000;27.500
24.03.17;5:33:53 PM;10.24;98.520;26.520;29288.000;27.500
24.03.17;5:34:08 PM;10.49;99.180;26.450;29305.000;27.500
24.03.17;5:34:23 PM;10.73;98.140;26.560;29311.000;27.500
24.03.17;5:34:38 PM;10.98;98.710;26.500;29273.000;27.500
