24.03.17/5:23 PM SW ver:OXY10v3_33
Header Ch-5
Description: Q10275CR-F1O
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 99310
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;5:23:41 PM;0.00;98.600;26.510;41097.000;27.500
24.03.17;5:23:42 PM;0.02;98.390;26.530;41078.000;27.500
24.03.17;5:23:55 PM;0.24;98.390;26.530;41120.000;27.500
24.03.17;5:24:10 PM;0.49;98.030;26.570;41116.000;27.500
24.03.17;5:24:25 PM;0.74;98.640;26.500;41123.000;27.500
24.03.17;5:24:40 PM;0.99;98.150;26.560;41138.000;27.500
24.03.17;5:24:55 PM;1.24;98.040;26.570;41152.000;27.500
24.03.17;5:25:10 PM;1.49;98.120;26.560;41183.000;27.500
24.03.17;5:25:25 PM;1.74;98.310;26.540;41152.000;27.500
24.03.17;5:25:40 PM;1.99;98.010;26.570;41144.000;27.500
24.03.17;5:25:55 PM;2.24;98.070;26.560;41163.000;27.500
24.03.17;5:26:10 PM;2.49;97.950;26.580;41188.000;27.500
24.03.17;5:26:25 PM;2.74;98.220;26.550;41198.000;27.500
24.03.17;5:26:40 PM;2.99;97.610;26.610;41209.000;27.500
24.03.17;5:26:55 PM;3.24;97.880;26.580;41225.000;27.500
24.03.17;5:27:10 PM;3.49;97.920;26.580;41221.000;27.500
24.03.17;5:27:25 PM;3.74;97.490;26.630;41231.000;27.500
24.03.17;5:27:40 PM;3.99;97.660;26.610;41283.000;27.500
24.03.17;5:27:55 PM;4.24;97.720;26.600;41264.000;27.500
24.03.17;5:28:10 PM;4.49;97.090;26.670;41304.000;27.500
24.03.17;5:28:25 PM;4.74;97.310;26.650;41293.000;27.500
24.03.17;5:28:40 PM;4.99;97.410;26.640;41295.000;27.500
