24.03.17/5:23 PM SW ver:OXY10v3_33
Header Ch-6
Description: Q10275CR-H5
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 97811
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;5:23:41 PM;0.00;100.130;26.350;31978.000;27.500
24.03.17;5:23:42 PM;0.02;99.940;26.370;32006.000;27.500
24.03.17;5:23:57 PM;0.26;99.010;26.470;32021.000;27.500
24.03.17;5:24:12 PM;0.51;98.870;26.480;32056.000;27.500
24.03.17;5:24:27 PM;0.76;99.040;26.460;32058.000;27.500
24.03.17;5:24:42 PM;1.01;100.000;26.360;32068.000;27.500
24.03.17;5:24:57 PM;1.26;99.450;26.420;32036.000;27.500
24.03.17;5:25:12 PM;1.51;99.800;26.380;32085.000;27.500
24.03.17;5:25:27 PM;1.76;99.200;26.450;32136.000;27.500
24.03.17;5:25:42 PM;2.01;99.200;26.450;32083.000;27.500
24.03.17;5:25:57 PM;2.26;99.100;26.460;32134.000;27.500
24.03.17;5:26:12 PM;2.51;98.940;26.470;32093.000;27.500
24.03.17;5:26:27 PM;2.76;99.290;26.440;32083.000;27.500
24.03.17;5:26:42 PM;3.01;98.350;26.540;32153.000;27.500
24.03.17;5:26:57 PM;3.26;98.720;26.500;32189.000;27.500
24.03.17;5:27:12 PM;3.51;99.580;26.410;32175.000;27.500
24.03.17;5:27:27 PM;3.76;98.160;26.560;32172.000;27.500
24.03.17;5:27:42 PM;4.01;98.600;26.510;32222.000;27.500
24.03.17;5:27:57 PM;4.26;98.730;26.490;32177.000;27.500
24.03.17;5:28:12 PM;4.51;99.080;26.460;32204.000;27.500
24.03.17;5:28:27 PM;4.76;98.550;26.510;32212.000;27.500
24.03.17;5:28:42 PM;5.01;98.610;26.510;32245.000;27.500
24.03.17;5:28:57 PM;5.26;99.290;26.440;32212.000;27.500
24.03.17;5:29:12 PM;5.51;98.470;26.520;32241.000;27.500
24.03.17;5:29:27 PM;5.76;98.060;26.570;32198.000;27.500
24.03.17;5:29:42 PM;6.01;98.540;26.510;32234.000;27.500
24.03.17;5:29:57 PM;6.26;98.250;26.550;32261.000;27.500
24.03.17;5:30:12 PM;6.51;98.680;26.500;32308.000;27.500
24.03.17;5:30:27 PM;6.76;99.040;26.460;32310.000;27.500
24.03.17;5:30:42 PM;7.01;98.190;26.550;32291.000;27.500
24.03.17;5:30:57 PM;7.26;98.370;26.530;32323.000;27.500
24.03.17;5:31:12 PM;7.51;99.070;26.460;32331.000;27.500
24.03.17;5:31:27 PM;7.76;98.970;26.470;32357.000;27.500
24.03.17;5:31:42 PM;8.01;98.680;26.500;32368.000;27.500
24.03.17;5:31:57 PM;8.26;98.790;26.490;32337.000;27.500
24.03.17;5:32:12 PM;8.51;98.460;26.520;32379.000;27.500
24.03.17;5:32:27 PM;8.76;97.800;26.590;32391.000;27.500
24.03.17;5:32:42 PM;9.01;99.000;26.470;32412.000;27.500
24.03.17;5:32:57 PM;9.26;98.330;26.540;32389.000;27.500
24.03.17;5:33:12 PM;9.51;98.240;26.550;32412.000;27.500
24.03.17;5:33:27 PM;9.76;97.760;26.600;32452.000;27.500
24.03.17;5:33:42 PM;10.01;97.210;26.660;32439.000;27.500
24.03.17;5:33:57 PM;10.26;97.860;26.590;32453.000;27.500
24.03.17;5:34:12 PM;10.51;98.000;26.570;32398.000;27.500
24.03.17;5:34:27 PM;10.76;98.070;26.560;32580.000;27.500
24.03.17;5:34:42 PM;11.01;98.070;26.560;32572.000;27.500
24.03.17;5:34:57 PM;11.26;97.750;26.600;32562.000;27.500
24.03.17;5:35:12 PM;11.51;97.090;26.670;32573.000;27.500
