24.03.17/4:34 PM SW ver:OXY10v3_33
Header Ch-1
Description: Q1030CP-B13
IDENTIFICATION
PHIboard number   : v1231473
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 98232
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 005400
100.00%a.s.phase 2: 27.68 at 020.0°C amp 007300
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;4:34:23 PM;0.00;99.200;26.030;20184.000;30.000
24.03.17;4:34:25 PM;0.03;100.110;25.930;20202.000;30.000
24.03.17;4:34:40 PM;0.28;100.150;25.930;20232.000;30.000
24.03.17;4:34:55 PM;0.53;98.360;26.120;20182.000;30.000
24.03.17;4:35:10 PM;0.78;100.560;25.890;20178.000;30.000
24.03.17;4:35:25 PM;1.03;99.150;26.030;20142.000;30.000
24.03.17;4:35:40 PM;1.28;99.080;26.040;20122.000;30.000
24.03.17;4:35:55 PM;1.53;99.570;25.990;20105.000;30.000
24.03.17;4:36:10 PM;1.78;100.510;25.890;20187.000;30.000
24.03.17;4:36:25 PM;2.03;101.460;25.800;20138.000;30.000
24.03.17;4:36:40 PM;2.28;99.700;25.980;20197.000;30.000
24.03.17;4:36:55 PM;2.53;99.210;26.030;20116.000;30.000
24.03.17;4:37:10 PM;2.78;98.820;26.070;20113.000;30.000
24.03.17;4:37:25 PM;3.03;99.630;25.980;20127.000;30.000
24.03.17;4:37:40 PM;3.28;101.120;25.830;20083.000;30.000
24.03.17;4:37:55 PM;3.53;100.660;25.880;20142.000;30.000
24.03.17;4:38:10 PM;3.78;100.180;25.930;20153.000;30.000
24.03.17;4:38:25 PM;4.03;100.340;25.910;20039.000;30.000
24.03.17;4:38:40 PM;4.28;100.280;25.920;20047.000;30.000
24.03.17;4:38:55 PM;4.53;101.140;25.830;20059.000;30.000
24.03.17;4:39:10 PM;4.78;101.340;25.810;20065.000;30.000
24.03.17;4:39:25 PM;5.03;100.390;25.910;20060.000;30.000
24.03.17;4:39:40 PM;5.28;100.940;25.850;19957.000;30.000
24.03.17;4:39:55 PM;5.53;102.410;25.700;19995.000;30.000
24.03.17;4:40:10 PM;5.78;101.300;25.810;19973.000;30.000
24.03.17;4:40:25 PM;6.03;101.720;25.770;19996.000;30.000
24.03.17;4:40:40 PM;6.28;101.590;25.780;19984.000;30.000
24.03.17;4:40:55 PM;6.53;102.050;25.740;19943.000;30.000
24.03.17;4:41:10 PM;6.78;102.190;25.720;19907.000;30.000
24.03.17;4:41:25 PM;7.03;102.850;25.660;19826.000;30.000
24.03.17;4:41:40 PM;7.28;103.300;25.610;19818.000;30.000
24.03.17;4:41:55 PM;7.53;101.960;25.750;19926.000;30.000
24.03.17;4:42:10 PM;7.78;102.260;25.720;19864.000;30.000
24.03.17;4:42:25 PM;8.03;102.790;25.660;19824.000;30.000
24.03.17;4:42:40 PM;8.28;103.050;25.640;19834.000;30.000
24.03.17;4:42:55 PM;8.53;103.610;25.580;19811.000;30.000
24.03.17;4:43:10 PM;8.78;103.460;25.600;20546.000;30.000
24.03.17;4:43:25 PM;9.03;102.320;25.710;20615.000;30.000
24.03.17;4:43:40 PM;9.28;103.500;25.590;20570.000;30.000
24.03.17;4:43:55 PM;9.53;103.990;25.550;20544.000;30.000
24.03.17;4:44:10 PM;9.78;104.990;25.450;20514.000;30.000
24.03.17;4:44:25 PM;10.03;105.980;25.350;20454.000;30.000
24.03.17;4:44:40 PM;10.28;104.670;25.480;20440.000;30.000
24.03.17;4:44:55 PM;10.53;103.240;25.620;20463.000;30.000
24.03.17;4:45:10 PM;10.78;103.720;25.570;20544.000;30.000
24.03.17;4:45:25 PM;11.03;105.180;25.430;20434.000;30.000
24.03.17;4:45:40 PM;11.28;104.490;25.500;20381.000;30.000
24.03.17;4:45:55 PM;11.53;105.400;25.410;20400.000;30.000
24.03.17;4:46:10 PM;11.78;105.630;25.390;20377.000;30.000
24.03.17;4:46:25 PM;12.03;105.590;25.390;20261.000;30.000
24.03.17;4:46:40 PM;12.28;105.840;25.370;20292.000;30.000
24.03.17;4:46:55 PM;12.53;105.780;25.370;20293.000;30.000
24.03.17;4:47:10 PM;12.78;105.670;25.380;20271.000;30.000
24.03.17;4:47:25 PM;13.03;105.910;25.360;20298.000;30.000
24.03.17;4:47:40 PM;13.28;104.950;25.450;20308.000;30.000
24.03.17;4:47:55 PM;13.53;106.010;25.350;20280.000;30.000
24.03.17;4:48:10 PM;13.78;106.940;25.260;20200.000;30.000
24.03.17;4:48:25 PM;14.03;105.520;25.400;20180.000;30.000
24.03.17;4:48:40 PM;14.28;107.390;25.220;20158.000;30.000
24.03.17;4:48:55 PM;14.53;107.550;25.210;20112.000;30.000
24.03.17;4:49:10 PM;14.78;107.550;25.210;20160.000;30.000
24.03.17;4:49:25 PM;15.03;108.470;25.120;20089.000;30.000
