24.03.17/4:34 PM SW ver:OXY10v3_33
Header Ch-2
Description: Q1030CP-C4
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 94984
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;4:34:24 PM;0.00;99.330;26.010;26355.000;30.000
24.03.17;4:34:27 PM;0.05;99.490;26.000;26330.000;30.000
24.03.17;4:34:42 PM;0.29;98.670;26.080;26345.000;30.000
24.03.17;4:34:57 PM;0.54;99.920;25.950;26303.000;30.000
24.03.17;4:35:12 PM;0.79;98.380;26.110;26299.000;30.000
24.03.17;4:35:27 PM;1.04;99.120;26.040;26284.000;30.000
24.03.17;4:35:42 PM;1.29;98.910;26.060;26401.000;30.000
24.03.17;4:35:57 PM;1.54;99.230;26.030;26360.000;30.000
24.03.17;4:36:12 PM;1.79;98.350;26.120;26471.000;30.000
24.03.17;4:36:27 PM;2.04;98.640;26.090;26406.000;30.000
24.03.17;4:36:42 PM;2.29;99.840;25.960;26379.000;30.000
24.03.17;4:36:57 PM;2.54;98.340;26.120;26414.000;30.000
24.03.17;4:37:12 PM;2.79;99.070;26.040;26405.000;30.000
24.03.17;4:37:27 PM;3.04;98.790;26.070;26319.000;30.000
24.03.17;4:37:42 PM;3.29;99.330;26.010;26287.000;30.000
24.03.17;4:37:57 PM;3.55;99.870;25.960;26373.000;30.000
24.03.17;4:38:12 PM;3.80;99.760;25.970;26357.000;30.000
24.03.17;4:38:27 PM;4.04;100.450;25.900;26262.000;30.000
24.03.17;4:38:42 PM;4.29;99.770;25.970;26387.000;30.000
24.03.17;4:38:57 PM;4.54;99.340;26.010;26407.000;30.000
24.03.17;4:39:12 PM;4.79;98.190;26.130;26402.000;30.000
24.03.17;4:39:27 PM;5.04;98.640;26.090;26326.000;30.000
24.03.17;4:39:42 PM;5.29;99.540;25.990;26269.000;30.000
24.03.17;4:39:57 PM;5.54;99.360;26.010;26355.000;30.000
24.03.17;4:40:12 PM;5.79;100.790;25.870;26237.000;30.000
24.03.17;4:40:27 PM;6.04;100.640;25.880;26235.000;30.000
24.03.17;4:40:42 PM;6.29;98.710;26.080;26266.000;30.000
24.03.17;4:40:57 PM;6.54;100.600;25.880;26179.000;30.000
24.03.17;4:41:12 PM;6.79;99.800;25.970;26249.000;30.000
24.03.17;4:41:27 PM;7.05;100.860;25.860;26175.000;30.000
24.03.17;4:41:42 PM;7.29;100.400;25.900;26231.000;30.000
24.03.17;4:41:57 PM;7.54;100.840;25.860;26162.000;30.000
24.03.17;4:42:12 PM;7.79;101.140;25.830;26133.000;30.000
24.03.17;4:42:27 PM;8.04;100.550;25.890;26201.000;30.000
24.03.17;4:42:42 PM;8.29;101.120;25.830;26122.000;30.000
24.03.17;4:42:57 PM;8.54;102.290;25.710;26092.000;30.000
24.03.17;4:43:12 PM;8.79;100.930;25.850;26215.000;30.000
24.03.17;4:43:27 PM;9.04;101.230;25.820;26120.000;30.000
24.03.17;4:43:42 PM;9.29;101.640;25.780;26202.000;30.000
24.03.17;4:43:57 PM;9.54;101.230;25.820;26087.000;30.000
24.03.17;4:44:12 PM;9.79;102.640;25.680;26038.000;30.000
24.03.17;4:44:27 PM;10.05;101.000;25.840;26147.000;30.000
24.03.17;4:44:42 PM;10.29;102.130;25.730;26029.000;30.000
24.03.17;4:44:57 PM;10.54;102.430;25.700;26083.000;30.000
24.03.17;4:45:12 PM;10.79;103.640;25.580;25989.000;30.000
24.03.17;4:45:27 PM;11.04;101.970;25.750;26065.000;30.000
24.03.17;4:45:42 PM;11.29;102.060;25.740;26015.000;30.000
24.03.17;4:45:57 PM;11.55;102.980;25.650;25951.000;30.000
24.03.17;4:46:12 PM;11.79;102.880;25.660;25918.000;30.000
24.03.17;4:46:27 PM;12.04;103.210;25.620;25959.000;30.000
24.03.17;4:46:42 PM;12.30;103.460;25.600;25891.000;30.000
24.03.17;4:46:57 PM;12.54;103.170;25.630;25862.000;30.000
24.03.17;4:47:12 PM;12.79;104.010;25.540;25894.000;30.000
24.03.17;4:47:27 PM;13.04;104.150;25.530;25764.000;30.000
24.03.17;4:47:42 PM;13.29;103.520;25.590;25810.000;30.000
24.03.17;4:47:57 PM;13.54;103.260;25.620;25867.000;30.000
24.03.17;4:48:12 PM;13.79;103.900;25.550;25736.000;30.000
24.03.17;4:48:27 PM;14.04;104.800;25.470;25668.000;30.000
24.03.17;4:48:42 PM;14.30;105.840;25.370;25630.000;30.000
24.03.17;4:48:57 PM;14.54;105.640;25.390;25613.000;30.000
24.03.17;4:49:12 PM;14.79;105.430;25.410;25622.000;30.000
24.03.17;4:49:27 PM;15.04;105.330;25.420;25735.000;30.000
24.03.17;4:49:42 PM;15.29;105.380;25.410;25600.000;30.000
24.03.17;4:49:57 PM;15.54;105.260;25.420;25680.000;30.000
24.03.17;4:50:12 PM;15.79;104.510;25.500;25637.000;30.000
24.03.17;4:50:27 PM;16.04;106.770;25.280;25547.000;30.000
24.03.17;4:50:42 PM;16.29;107.220;25.240;25544.000;30.000
24.03.17;4:50:57 PM;16.54;107.570;25.200;25470.000;30.000
24.03.17;4:51:12 PM;16.79;105.870;25.360;25479.000;30.000
24.03.17;4:51:27 PM;17.04;107.590;25.200;25458.000;30.000
24.03.17;4:51:42 PM;17.29;108.070;25.160;25392.000;30.000
24.03.17;4:51:57 PM;17.54;107.190;25.240;25387.000;30.000
24.03.17;4:52:12 PM;17.79;106.620;25.290;25429.000;30.000
24.03.17;4:52:27 PM;18.04;106.010;25.350;25429.000;30.000
24.03.17;4:52:42 PM;18.29;105.880;25.360;25394.000;30.000
24.03.17;4:52:57 PM;18.54;107.170;25.240;25315.000;30.000
24.03.17;4:53:12 PM;18.79;107.580;25.200;25281.000;30.000
24.03.17;4:53:27 PM;19.04;107.650;25.200;25243.000;30.000
24.03.17;4:53:42 PM;19.29;108.050;25.160;25259.000;30.000
24.03.17;4:53:57 PM;19.54;108.100;25.150;25187.000;30.000
24.03.17;4:54:12 PM;19.79;107.840;25.180;25223.000;30.000
24.03.17;4:54:27 PM;20.05;108.140;25.150;25227.000;30.000
24.03.17;4:54:42 PM;20.29;108.590;25.110;25150.000;30.000
24.03.17;4:54:57 PM;20.54;109.540;25.020;25183.000;30.000
24.03.17;4:55:12 PM;20.79;108.790;25.090;25126.000;30.000
24.03.17;4:55:27 PM;21.04;109.050;25.070;25027.000;30.000
24.03.17;4:55:42 PM;21.29;108.580;25.110;25021.000;30.000
24.03.17;4:55:57 PM;21.54;109.960;24.980;25063.000;30.000
24.03.17;4:56:12 PM;21.79;109.720;25.000;24985.000;30.000
24.03.17;4:56:27 PM;22.04;110.100;24.970;24974.000;30.000
24.03.17;4:56:42 PM;22.29;110.170;24.960;24942.000;30.000
24.03.17;4:56:57 PM;22.55;109.140;25.060;24935.000;30.000
24.03.17;4:57:12 PM;22.79;110.260;24.960;24932.000;30.000
24.03.17;4:57:27 PM;23.04;110.340;24.950;24928.000;30.000
24.03.17;4:57:42 PM;23.29;112.150;24.790;24858.000;30.000
24.03.17;4:57:57 PM;23.54;110.610;24.920;24851.000;30.000
24.03.17;4:58:12 PM;23.79;110.940;24.890;24874.000;30.000
24.03.17;4:58:27 PM;24.04;110.940;24.890;24902.000;30.000
