24.03.17/4:34 PM SW ver:OXY10v3_33
Header Ch-3
Description: Q1030CP-E13
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 98979
Frequency         : 006
Sending interval  : 0001
Averaging         : 9
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;4:34:25 PM;0.00;100.680;25.880;4366.000;30.000
24.03.17;4:34:28 PM;0.05;102.290;25.710;4360.000;30.000
24.03.17;4:34:43 PM;0.30;105.610;25.390;4355.000;30.000
24.03.17;4:34:58 PM;0.55;103.240;25.620;4373.000;30.000
24.03.17;4:35:13 PM;0.80;103.760;25.570;4370.000;30.000
24.03.17;4:35:28 PM;1.05;101.560;25.790;4351.000;30.000
24.03.17;4:35:43 PM;1.30;106.900;25.270;4357.000;30.000
24.03.17;4:35:58 PM;1.55;102.530;25.690;4344.000;30.000
24.03.17;4:36:13 PM;1.80;104.420;25.500;4355.000;30.000
24.03.17;4:36:28 PM;2.05;104.840;25.460;4365.000;30.000
24.03.17;4:36:43 PM;2.30;102.330;25.710;4352.000;30.000
24.03.17;4:36:58 PM;2.55;101.930;25.750;4351.000;30.000
24.03.17;4:37:13 PM;2.80;103.630;25.580;4369.000;30.000
24.03.17;4:37:28 PM;3.05;103.490;25.600;4338.000;30.000
24.03.17;4:37:43 PM;3.30;102.670;25.680;4345.000;30.000
24.03.17;4:37:58 PM;3.55;100.180;25.930;4358.000;30.000
24.03.17;4:38:13 PM;3.80;104.150;25.530;4350.000;30.000
24.03.17;4:38:28 PM;4.05;103.100;25.630;4340.000;30.000
24.03.17;4:38:43 PM;4.30;104.050;25.540;4340.000;30.000
24.03.17;4:38:58 PM;4.55;102.600;25.680;4348.000;30.000
24.03.17;4:39:13 PM;4.80;104.810;25.470;4335.000;30.000
24.03.17;4:39:28 PM;5.05;106.660;25.290;4363.000;30.000
24.03.17;4:39:43 PM;5.30;100.480;25.900;4333.000;30.000
24.03.17;4:39:58 PM;5.55;103.250;25.620;4337.000;30.000
24.03.17;4:40:13 PM;5.80;99.780;25.970;4335.000;30.000
24.03.17;4:40:28 PM;6.05;104.260;25.520;4349.000;30.000
24.03.17;4:40:43 PM;6.30;105.190;25.430;4336.000;30.000
24.03.17;4:40:58 PM;6.55;102.700;25.670;4341.000;30.000
24.03.17;4:41:13 PM;6.80;101.150;25.830;4341.000;30.000
24.03.17;4:41:28 PM;7.05;105.540;25.400;4361.000;30.000
24.03.17;4:41:43 PM;7.30;104.280;25.520;4330.000;30.000
24.03.17;4:41:58 PM;7.55;104.380;25.510;4299.000;30.000
24.03.17;4:42:13 PM;7.80;104.040;25.540;4318.000;30.000
24.03.17;4:42:28 PM;8.05;105.870;25.360;4333.000;30.000
24.03.17;4:42:43 PM;8.30;102.570;25.690;4348.000;30.000
24.03.17;4:42:58 PM;8.55;103.670;25.580;4314.000;30.000
24.03.17;4:43:13 PM;8.80;100.860;25.860;25072.000;30.000
24.03.17;4:43:27 PM;9.04;99.780;25.970;25165.000;30.000
24.03.17;4:43:42 PM;9.29;100.000;25.950;25096.000;30.000
24.03.17;4:43:57 PM;9.54;100.700;25.870;24958.000;30.000
24.03.17;4:44:12 PM;9.79;100.510;25.890;24911.000;30.000
24.03.17;4:44:27 PM;10.04;101.560;25.790;24961.000;30.000
24.03.17;4:44:42 PM;10.29;101.110;25.830;24866.000;30.000
24.03.17;4:44:57 PM;10.54;100.820;25.860;24804.000;30.000
24.03.17;4:45:12 PM;10.79;101.400;25.800;24698.000;30.000
24.03.17;4:45:27 PM;11.04;101.750;25.770;24665.000;30.000
24.03.17;4:45:42 PM;11.29;101.280;25.820;24866.000;30.000
24.03.17;4:45:57 PM;11.54;101.560;25.790;24870.000;30.000
24.03.17;4:46:12 PM;11.79;100.710;25.870;24808.000;30.000
24.03.17;4:46:27 PM;12.04;100.950;25.850;24889.000;30.000
24.03.17;4:46:42 PM;12.29;100.900;25.850;24908.000;30.000
24.03.17;4:46:57 PM;12.54;100.680;25.880;24843.000;30.000
