24.03.17/4:34 PM SW ver:OXY10v3_33
Header Ch-4
Description: Q1030CP-DRIFT
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 94514
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;4:34:26 PM;0.00;98.710;26.080;28553.000;30.000
24.03.17;4:34:29 PM;0.04;99.350;26.010;28447.000;30.000
24.03.17;4:34:43 PM;0.29;97.550;26.200;28578.000;30.000
24.03.17;4:34:58 PM;0.54;98.710;26.080;28512.000;30.000
24.03.17;4:35:13 PM;0.79;98.020;26.150;28656.000;30.000
24.03.17;4:35:28 PM;1.04;96.960;26.260;28616.000;30.000
24.03.17;4:35:43 PM;1.29;99.090;26.040;28562.000;30.000
24.03.17;4:35:58 PM;1.54;97.750;26.180;28660.000;30.000
24.03.17;4:36:13 PM;1.79;99.340;26.010;28604.000;30.000
24.03.17;4:36:28 PM;2.04;99.250;26.020;28588.000;30.000
24.03.17;4:36:43 PM;2.29;96.950;26.270;28668.000;30.000
24.03.17;4:36:58 PM;2.54;98.850;26.060;28573.000;30.000
24.03.17;4:37:13 PM;2.79;98.820;26.070;28580.000;30.000
24.03.17;4:37:28 PM;3.04;96.990;26.260;28721.000;30.000
24.03.17;4:37:43 PM;3.29;99.680;25.980;28586.000;30.000
24.03.17;4:37:58 PM;3.54;98.440;26.110;28659.000;30.000
24.03.17;4:38:13 PM;3.79;99.110;26.040;28599.000;30.000
24.03.17;4:38:28 PM;4.04;98.620;26.090;28705.000;30.000
24.03.17;4:38:43 PM;4.29;98.240;26.130;28666.000;30.000
24.03.17;4:38:58 PM;4.54;97.560;26.200;28696.000;30.000
24.03.17;4:39:13 PM;4.79;98.590;26.090;28653.000;30.000
24.03.17;4:39:28 PM;5.04;99.140;26.030;28603.000;30.000
24.03.17;4:39:43 PM;5.29;97.890;26.170;28611.000;30.000
24.03.17;4:39:58 PM;5.54;98.540;26.100;28692.000;30.000
24.03.17;4:40:13 PM;5.79;97.320;26.230;28603.000;30.000
24.03.17;4:40:28 PM;6.04;97.700;26.190;28637.000;30.000
24.03.17;4:40:43 PM;6.29;98.260;26.130;28599.000;30.000
24.03.17;4:40:58 PM;6.54;97.360;26.220;28723.000;30.000
24.03.17;4:41:13 PM;6.79;96.960;26.260;28701.000;30.000
24.03.17;4:41:28 PM;7.04;97.720;26.180;28593.000;30.000
24.03.17;4:41:43 PM;7.29;98.010;26.150;28624.000;30.000
24.03.17;4:41:58 PM;7.54;97.410;26.220;28587.000;30.000
24.03.17;4:42:13 PM;7.79;96.660;26.300;28689.000;30.000
24.03.17;4:42:28 PM;8.04;99.020;26.050;28674.000;30.000
24.03.17;4:42:43 PM;8.29;98.530;26.100;28635.000;30.000
24.03.17;4:42:58 PM;8.54;97.690;26.190;28739.000;30.000
24.03.17;4:43:13 PM;8.79;98.690;26.080;28744.000;30.000
24.03.17;4:43:28 PM;9.04;98.590;26.090;28780.000;30.000
24.03.17;4:43:43 PM;9.29;97.730;26.180;28769.000;30.000
24.03.17;4:43:58 PM;9.54;98.420;26.110;28736.000;30.000
24.03.17;4:44:13 PM;9.79;98.160;26.140;28679.000;30.000
24.03.17;4:44:28 PM;10.04;98.460;26.110;28789.000;30.000
24.03.17;4:44:43 PM;10.29;98.070;26.150;28684.000;30.000
24.03.17;4:44:58 PM;10.54;97.800;26.180;28770.000;30.000
24.03.17;4:45:13 PM;10.79;96.790;26.280;28783.000;30.000
24.03.17;4:45:28 PM;11.04;98.400;26.110;28746.000;30.000
