24.03.17/4:34 PM SW ver:OXY10v3_33
Header Ch-5
Description: Q1030CP-F33
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 99310
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;4:34:27 PM;0.00;97.940;26.160;38994.000;30.000
24.03.17;4:34:29 PM;0.04;98.070;26.150;39042.000;30.000
24.03.17;4:34:44 PM;0.29;98.630;26.090;39009.000;30.000
24.03.17;4:34:59 PM;0.54;98.480;26.100;39012.000;30.000
24.03.17;4:35:14 PM;0.79;98.020;26.150;38969.000;30.000
24.03.17;4:35:29 PM;1.04;97.390;26.220;39050.000;30.000
24.03.17;4:35:44 PM;1.29;97.290;26.230;39049.000;30.000
24.03.17;4:35:59 PM;1.54;98.030;26.150;39067.000;30.000
24.03.17;4:36:14 PM;1.79;97.720;26.180;39133.000;30.000
24.03.17;4:36:29 PM;2.04;97.570;26.200;39092.000;30.000
24.03.17;4:36:44 PM;2.29;98.800;26.070;38998.000;30.000
24.03.17;4:36:59 PM;2.54;98.240;26.130;39025.000;30.000
24.03.17;4:37:14 PM;2.79;98.520;26.100;39068.000;30.000
24.03.17;4:37:29 PM;3.04;97.450;26.210;39065.000;30.000
24.03.17;4:37:44 PM;3.29;98.700;26.080;39063.000;30.000
24.03.17;4:37:59 PM;3.54;98.620;26.090;39102.000;30.000
24.03.17;4:38:14 PM;3.79;98.980;26.050;39081.000;30.000
24.03.17;4:38:29 PM;4.04;98.220;26.130;39038.000;30.000
24.03.17;4:38:44 PM;4.29;97.910;26.160;39100.000;30.000
24.03.17;4:38:59 PM;4.54;97.970;26.160;39089.000;30.000
24.03.17;4:39:14 PM;4.79;97.680;26.190;39159.000;30.000
24.03.17;4:39:29 PM;5.04;99.330;26.020;38994.000;30.000
24.03.17;4:39:44 PM;5.29;98.170;26.140;39123.000;30.000
24.03.17;4:39:59 PM;5.54;98.500;26.100;39056.000;30.000
24.03.17;4:40:14 PM;5.79;98.300;26.120;38959.000;30.000
24.03.17;4:40:29 PM;6.04;98.000;26.150;38984.000;30.000
24.03.17;4:40:44 PM;6.29;98.440;26.110;38962.000;30.000
24.03.17;4:40:59 PM;6.54;98.870;26.060;39010.000;30.000
24.03.17;4:41:14 PM;6.79;98.690;26.080;38964.000;30.000
24.03.17;4:41:29 PM;7.04;98.730;26.080;38950.000;30.000
24.03.17;4:41:44 PM;7.29;98.730;26.080;38969.000;30.000
24.03.17;4:41:59 PM;7.54;97.760;26.180;39031.000;30.000
24.03.17;4:42:14 PM;7.79;98.520;26.100;39004.000;30.000
24.03.17;4:42:29 PM;8.04;98.050;26.150;38976.000;30.000
24.03.17;4:42:44 PM;8.29;98.820;26.070;38869.000;30.000
24.03.17;4:42:59 PM;8.54;99.030;26.050;38968.000;30.000
24.03.17;4:43:14 PM;8.79;99.220;26.030;38935.000;30.000
24.03.17;4:43:29 PM;9.04;100.440;25.900;39018.000;30.000
24.03.17;4:43:44 PM;9.29;100.170;25.930;39013.000;30.000
24.03.17;4:43:59 PM;9.54;98.990;26.050;38984.000;30.000
24.03.17;4:44:14 PM;9.79;98.790;26.070;39025.000;30.000
24.03.17;4:44:29 PM;10.04;100.150;25.930;38942.000;30.000
24.03.17;4:44:44 PM;10.29;98.660;26.080;39017.000;30.000
24.03.17;4:44:59 PM;10.54;99.270;26.020;38849.000;30.000
24.03.17;4:45:14 PM;10.79;99.930;25.950;38965.000;30.000
24.03.17;4:45:29 PM;11.04;98.970;26.050;38948.000;30.000
24.03.17;4:45:44 PM;11.29;98.520;26.100;39056.000;30.000
24.03.17;4:45:59 PM;11.54;98.820;26.070;39082.000;30.000
24.03.17;4:46:14 PM;11.79;99.760;25.970;38982.000;30.000
24.03.17;4:46:29 PM;12.04;98.330;26.120;39117.000;30.000
24.03.17;4:46:44 PM;12.29;98.810;26.070;39071.000;30.000
24.03.17;4:46:59 PM;12.54;99.480;26.000;39133.000;30.000
24.03.17;4:47:14 PM;12.79;99.370;26.010;39087.000;30.000
24.03.17;4:47:29 PM;13.04;98.820;26.070;39209.000;30.000
24.03.17;4:47:44 PM;13.29;98.820;26.070;39085.000;30.000
24.03.17;4:47:59 PM;13.54;99.440;26.000;39096.000;30.000
24.03.17;4:48:14 PM;13.79;99.400;26.010;39111.000;30.000
24.03.17;4:48:29 PM;14.04;99.290;26.020;39165.000;30.000
24.03.17;4:48:44 PM;14.29;98.900;26.060;39187.000;30.000
24.03.17;4:48:59 PM;14.54;99.660;25.980;39085.000;30.000
24.03.17;4:49:14 PM;14.79;98.960;26.050;39190.000;30.000
24.03.17;4:49:29 PM;15.04;99.000;26.050;39167.000;30.000
24.03.17;4:49:44 PM;15.29;99.400;26.010;39140.000;30.000
24.03.17;4:49:59 PM;15.54;98.730;26.080;39249.000;30.000
24.03.17;4:50:14 PM;15.79;99.040;26.050;39230.000;30.000
24.03.17;4:50:29 PM;16.04;100.140;25.930;39107.000;30.000
24.03.17;4:50:44 PM;16.29;98.840;26.070;39177.000;30.000
24.03.17;4:50:59 PM;16.54;100.170;25.930;39113.000;30.000
24.03.17;4:51:14 PM;16.79;98.870;26.060;39069.000;30.000
24.03.17;4:51:29 PM;17.04;99.040;26.050;39136.000;30.000
24.03.17;4:51:44 PM;17.29;100.220;25.920;39109.000;30.000
24.03.17;4:51:59 PM;17.54;99.810;25.970;39109.000;30.000
24.03.17;4:52:14 PM;17.79;99.730;25.970;39133.000;30.000
24.03.17;4:52:29 PM;18.04;99.200;26.030;39126.000;30.000
24.03.17;4:52:44 PM;18.29;99.810;25.970;39105.000;30.000
24.03.17;4:52:59 PM;18.54;99.210;26.030;39114.000;30.000
24.03.17;4:53:14 PM;18.79;99.190;26.030;39027.000;30.000
24.03.17;4:53:29 PM;19.04;99.060;26.040;39185.000;30.000
