24.03.17/4:34 PM SW ver:OXY10v3_33
Header Ch-6
Description: Q1030CP-H12
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 97811
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;4:34:30 PM;0.00;100.550;25.890;27069.000;30.000
24.03.17;4:34:31 PM;0.02;98.630;26.090;27114.000;30.000
24.03.17;4:34:45 PM;0.25;99.020;26.050;27060.000;30.000
24.03.17;4:35:00 PM;0.50;99.470;26.000;27140.000;30.000
24.03.17;4:35:14 PM;0.75;100.190;25.930;27065.000;30.000
24.03.17;4:35:30 PM;1.00;100.970;25.850;27125.000;30.000
24.03.17;4:35:44 PM;1.25;100.010;25.940;27091.000;30.000
24.03.17;4:35:59 PM;1.50;100.050;25.940;27134.000;30.000
24.03.17;4:36:15 PM;1.75;100.190;25.930;27103.000;30.000
24.03.17;4:36:29 PM;2.00;98.870;26.060;27140.000;30.000
24.03.17;4:36:44 PM;2.25;99.190;26.030;27148.000;30.000
24.03.17;4:36:59 PM;2.50;99.200;26.030;27070.000;30.000
24.03.17;4:37:14 PM;2.75;100.560;25.890;27029.000;30.000
24.03.17;4:37:29 PM;3.00;99.560;25.990;27092.000;30.000
24.03.17;4:37:44 PM;3.25;100.250;25.920;27109.000;30.000
24.03.17;4:37:59 PM;3.50;99.800;25.970;27035.000;30.000
24.03.17;4:38:15 PM;3.75;100.230;25.920;27058.000;30.000
24.03.17;4:38:30 PM;4.00;98.370;26.120;27087.000;30.000
24.03.17;4:38:45 PM;4.25;98.950;26.050;27096.000;30.000
24.03.17;4:38:59 PM;4.50;99.900;25.960;27105.000;30.000
24.03.17;4:39:15 PM;4.75;99.710;25.980;27036.000;30.000
24.03.17;4:39:29 PM;5.00;100.680;25.880;26982.000;30.000
24.03.17;4:39:45 PM;5.25;100.110;25.930;26993.000;30.000
24.03.17;4:40:00 PM;5.50;100.790;25.870;26979.000;30.000
24.03.17;4:40:15 PM;5.75;99.830;25.960;26929.000;30.000
24.03.17;4:40:30 PM;6.00;101.570;25.790;26902.000;30.000
24.03.17;4:40:45 PM;6.25;102.100;25.730;26941.000;30.000
24.03.17;4:41:00 PM;6.50;99.970;25.950;26876.000;30.000
24.03.17;4:41:14 PM;6.75;101.670;25.780;26907.000;30.000
24.03.17;4:41:30 PM;7.00;100.770;25.870;26846.000;30.000
24.03.17;4:41:44 PM;7.25;101.790;25.760;26764.000;30.000
24.03.17;4:42:00 PM;7.50;100.880;25.860;26876.000;30.000
24.03.17;4:42:15 PM;7.75;102.330;25.710;26854.000;30.000
24.03.17;4:42:30 PM;8.00;101.850;25.760;26788.000;30.000
24.03.17;4:42:44 PM;8.25;102.350;25.710;26847.000;30.000
24.03.17;4:42:59 PM;8.50;101.920;25.750;26781.000;30.000
24.03.17;4:43:15 PM;8.75;101.780;25.770;26768.000;30.000
24.03.17;4:43:30 PM;9.00;102.770;25.670;26708.000;30.000
24.03.17;4:43:44 PM;9.25;101.640;25.780;26723.000;30.000
24.03.17;4:43:59 PM;9.50;101.670;25.780;26633.000;30.000
24.03.17;4:44:15 PM;9.75;102.700;25.670;26709.000;30.000
24.03.17;4:44:30 PM;10.00;102.740;25.670;26576.000;30.000
24.03.17;4:44:44 PM;10.25;104.010;25.540;26603.000;30.000
24.03.17;4:45:00 PM;10.50;103.330;25.610;26565.000;30.000
24.03.17;4:45:14 PM;10.75;102.670;25.680;26602.000;30.000
24.03.17;4:45:30 PM;11.00;104.770;25.470;26550.000;30.000
24.03.17;4:45:44 PM;11.25;103.090;25.630;26504.000;30.000
24.03.17;4:46:00 PM;11.50;103.440;25.600;26564.000;30.000
24.03.17;4:46:15 PM;11.75;105.940;25.360;26526.000;30.000
24.03.17;4:46:29 PM;12.00;103.360;25.610;26547.000;30.000
24.03.17;4:46:45 PM;12.25;103.130;25.630;26514.000;30.000
24.03.17;4:47:00 PM;12.50;104.500;25.500;26450.000;30.000
24.03.17;4:47:14 PM;12.75;104.420;25.500;26428.000;30.000
24.03.17;4:47:30 PM;13.00;103.940;25.550;26426.000;30.000
24.03.17;4:47:44 PM;13.25;103.560;25.590;26403.000;30.000
24.03.17;4:48:00 PM;13.50;103.340;25.610;26363.000;30.000
24.03.17;4:48:15 PM;13.75;103.290;25.610;26293.000;30.000
24.03.17;4:48:29 PM;14.00;104.670;25.480;26218.000;30.000
24.03.17;4:48:44 PM;14.25;104.780;25.470;26271.000;30.000
24.03.17;4:48:59 PM;14.50;104.890;25.460;26224.000;30.000
24.03.17;4:49:15 PM;14.75;104.680;25.480;26196.000;30.000
24.03.17;4:49:29 PM;15.00;104.820;25.470;26234.000;30.000
24.03.17;4:49:45 PM;15.25;106.110;25.340;26152.000;30.000
24.03.17;4:50:00 PM;15.50;105.870;25.360;26229.000;30.000
24.03.17;4:50:14 PM;15.75;106.270;25.330;26145.000;30.000
24.03.17;4:50:30 PM;16.00;106.460;25.310;26176.000;30.000
24.03.17;4:50:45 PM;16.25;106.330;25.320;26091.000;30.000
24.03.17;4:51:00 PM;16.50;105.840;25.370;26170.000;30.000
24.03.17;4:51:15 PM;16.75;105.450;25.400;26136.000;30.000
24.03.17;4:51:29 PM;17.00;107.140;25.240;26045.000;30.000
24.03.17;4:51:45 PM;17.25;106.130;25.340;26094.000;30.000
24.03.17;4:52:00 PM;17.50;105.870;25.360;26056.000;30.000
24.03.17;4:52:14 PM;17.75;106.540;25.300;26045.000;30.000
24.03.17;4:52:30 PM;18.00;106.010;25.350;26085.000;30.000
24.03.17;4:52:45 PM;18.25;107.580;25.200;25985.000;30.000
24.03.17;4:52:59 PM;18.50;108.370;25.130;25981.000;30.000
