24.03.17/4:34 PM SW ver:OXY10v3_33
Header Ch-8
Description: 
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 95364
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;4:34:30 PM;0.00;97.060;26.250;28258.000;30.000
24.03.17;4:34:31 PM;0.02;97.200;26.240;28163.000;30.000
24.03.17;4:34:46 PM;0.26;98.990;26.050;28246.000;30.000
24.03.17;4:35:01 PM;0.51;97.860;26.170;28166.000;30.000
24.03.17;4:35:16 PM;0.76;96.200;26.350;28257.000;30.000
24.03.17;4:35:31 PM;1.01;97.600;26.200;28264.000;30.000
24.03.17;4:35:46 PM;1.26;97.530;26.200;28244.000;30.000
24.03.17;4:36:01 PM;1.51;97.800;26.170;28288.000;30.000
24.03.17;4:36:16 PM;1.76;97.780;26.180;28309.000;30.000
24.03.17;4:36:31 PM;2.01;98.010;26.150;28278.000;30.000
24.03.17;4:36:46 PM;2.26;98.740;26.080;28296.000;30.000
24.03.17;4:37:01 PM;2.51;98.610;26.090;28250.000;30.000
24.03.17;4:37:16 PM;2.76;98.380;26.110;28307.000;30.000
24.03.17;4:37:31 PM;3.01;98.380;26.110;28156.000;30.000
24.03.17;4:37:46 PM;3.26;98.100;26.140;28166.000;30.000
24.03.17;4:38:01 PM;3.51;99.180;26.030;28219.000;30.000
24.03.17;4:38:16 PM;3.76;97.500;26.210;28206.000;30.000
24.03.17;4:38:31 PM;4.01;98.770;26.070;28100.000;30.000
24.03.17;4:38:46 PM;4.26;98.910;26.060;28201.000;30.000
24.03.17;4:39:01 PM;4.51;98.540;26.100;28213.000;30.000
24.03.17;4:39:16 PM;4.76;98.510;26.100;28222.000;30.000
24.03.17;4:39:31 PM;5.01;98.450;26.110;28128.000;30.000
24.03.17;4:39:46 PM;5.26;99.280;26.020;28127.000;30.000
24.03.17;4:40:01 PM;5.51;99.330;26.020;28153.000;30.000
24.03.17;4:40:16 PM;5.76;100.390;25.910;27956.000;30.000
24.03.17;4:40:31 PM;6.01;99.460;26.000;28091.000;30.000
24.03.17;4:40:46 PM;6.26;99.530;25.990;27955.000;30.000
24.03.17;4:41:01 PM;6.51;99.730;25.970;27993.000;30.000
24.03.17;4:41:16 PM;6.76;99.570;25.990;28036.000;30.000
24.03.17;4:41:31 PM;7.01;100.280;25.920;27958.000;30.000
24.03.17;4:41:46 PM;7.26;100.400;25.900;27877.000;30.000
24.03.17;4:42:01 PM;7.51;100.420;25.900;27889.000;30.000
24.03.17;4:42:16 PM;7.76;101.170;25.830;27894.000;30.000
24.03.17;4:42:31 PM;8.01;100.920;25.850;27870.000;30.000
24.03.17;4:42:46 PM;8.26;100.710;25.870;27915.000;30.000
24.03.17;4:43:01 PM;8.51;100.580;25.890;27903.000;30.000
24.03.17;4:43:16 PM;8.76;100.410;25.900;27909.000;30.000
24.03.17;4:43:31 PM;9.01;101.510;25.790;27822.000;30.000
24.03.17;4:43:46 PM;9.26;101.000;25.840;27807.000;30.000
24.03.17;4:44:01 PM;9.51;101.900;25.750;27722.000;30.000
24.03.17;4:44:16 PM;9.76;101.210;25.820;27777.000;30.000
24.03.17;4:44:31 PM;10.01;101.400;25.800;27727.000;30.000
24.03.17;4:44:46 PM;10.26;100.850;25.860;27781.000;30.000
24.03.17;4:45:01 PM;10.51;101.940;25.750;27733.000;30.000
24.03.17;4:45:16 PM;10.76;102.490;25.690;27612.000;30.000
24.03.17;4:45:31 PM;11.01;102.740;25.670;27600.000;30.000
24.03.17;4:45:46 PM;11.26;103.350;25.610;27627.000;30.000
24.03.17;4:46:01 PM;11.51;102.700;25.670;27686.000;30.000
24.03.17;4:46:16 PM;11.76;103.440;25.600;27575.000;30.000
24.03.17;4:46:31 PM;12.01;102.380;25.710;27521.000;30.000
24.03.17;4:46:46 PM;12.26;104.250;25.520;27485.000;30.000
24.03.17;4:47:01 PM;12.51;103.290;25.610;27523.000;30.000
