24.03.17/4:08 PM SW ver:OXY10v3_33
Header Ch-1
Description: Q1030CR-B13
IDENTIFICATION
PHIboard number   : v1231473
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 98232
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 005400
100.00%a.s.phase 2: 27.68 at 020.0°C amp 007300
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;4:08:31 PM;0.00;94.990;26.480;20733.000;30.000
24.03.17;4:08:32 PM;0.02;95.080;26.470;20740.000;30.000
24.03.17;4:08:36 PM;0.09;95.190;26.460;20763.000;30.000
24.03.17;4:08:51 PM;0.34;94.510;26.530;20786.000;30.000
24.03.17;4:09:06 PM;0.59;95.110;26.460;20802.000;30.000
24.03.17;4:09:21 PM;0.84;94.210;26.560;20798.000;30.000
24.03.17;4:09:36 PM;1.09;94.320;26.550;20817.000;30.000
24.03.17;4:09:51 PM;1.34;94.230;26.560;20841.000;30.000
24.03.17;4:10:06 PM;1.59;94.140;26.570;20842.000;30.000
24.03.17;4:10:21 PM;1.84;94.020;26.580;20889.000;30.000
24.03.17;4:10:36 PM;2.09;94.010;26.590;20872.000;30.000
24.03.17;4:10:51 PM;2.34;93.270;26.670;20889.000;30.000
24.03.17;4:11:06 PM;2.59;93.270;26.670;20922.000;30.000
24.03.17;4:11:21 PM;2.84;93.680;26.620;20895.000;30.000
24.03.17;4:11:36 PM;3.09;93.830;26.610;20929.000;30.000
24.03.17;4:11:51 PM;3.34;93.590;26.630;20947.000;30.000
24.03.17;4:12:06 PM;3.59;92.760;26.730;20971.000;30.000
24.03.17;4:12:21 PM;3.84;93.090;26.690;20969.000;30.000
24.03.17;4:12:36 PM;4.09;92.080;26.800;21003.000;30.000
24.03.17;4:12:51 PM;4.34;93.040;26.690;21009.000;30.000
24.03.17;4:13:06 PM;4.59;93.020;26.700;21019.000;30.000
24.03.17;4:13:21 PM;4.84;92.190;26.790;21060.000;30.000
24.03.17;4:13:36 PM;5.09;92.210;26.790;21061.000;30.000
24.03.17;4:13:51 PM;5.34;92.680;26.730;21095.000;30.000
24.03.17;4:14:06 PM;5.59;92.170;26.790;21085.000;30.000
24.03.17;4:14:21 PM;5.84;92.260;26.780;21107.000;30.000
24.03.17;4:14:36 PM;6.09;91.650;26.850;21127.000;30.000
24.03.17;4:14:51 PM;6.34;91.900;26.820;21153.000;30.000
24.03.17;4:15:06 PM;6.59;92.190;26.790;21180.000;30.000
24.03.17;4:15:21 PM;6.84;91.640;26.850;21178.000;30.000
24.03.17;4:15:36 PM;7.09;91.320;26.890;21231.000;30.000
24.03.17;4:15:51 PM;7.34;91.450;26.870;21252.000;30.000
24.03.17;4:16:06 PM;7.59;90.930;26.930;21278.000;30.000
24.03.17;4:16:21 PM;7.84;91.060;26.920;21295.000;30.000
24.03.17;4:16:36 PM;8.09;91.340;26.890;21277.000;30.000
24.03.17;4:16:51 PM;8.34;90.730;26.960;21299.000;30.000
24.03.17;4:17:06 PM;8.59;90.730;26.960;21333.000;30.000
24.03.17;4:17:21 PM;8.84;90.430;26.990;21343.000;30.000
24.03.17;4:17:36 PM;9.09;89.680;27.080;21346.000;30.000
24.03.17;4:17:51 PM;9.34;89.980;27.040;21395.000;30.000
24.03.17;4:18:06 PM;9.59;89.850;27.060;21435.000;30.000
24.03.17;4:18:21 PM;9.84;89.660;27.080;21439.000;30.000
24.03.17;4:18:36 PM;10.09;89.660;27.080;21430.000;30.000
24.03.17;4:18:51 PM;10.34;89.220;27.130;21382.000;30.000
24.03.17;4:19:06 PM;10.59;89.590;27.090;21428.000;30.000
24.03.17;4:19:21 PM;10.84;89.500;27.100;21442.000;30.000
24.03.17;4:19:36 PM;11.09;89.470;27.100;21487.000;30.000
24.03.17;4:19:51 PM;11.34;89.070;27.150;21545.000;30.000
24.03.17;4:20:06 PM;11.59;88.930;27.170;21530.000;30.000
24.03.17;4:20:21 PM;11.84;88.830;27.180;21550.000;30.000
24.03.17;4:20:36 PM;12.09;88.690;27.200;21570.000;30.000
24.03.17;4:20:51 PM;12.34;88.750;27.190;21572.000;30.000
24.03.17;4:21:06 PM;12.59;88.570;27.210;21524.000;30.000
24.03.17;4:21:21 PM;12.84;88.380;27.230;21516.000;30.000
24.03.17;4:21:36 PM;13.09;88.410;27.230;21567.000;30.000
24.03.17;4:21:51 PM;13.34;88.450;27.230;21600.000;30.000
24.03.17;4:22:06 PM;13.59;87.960;27.280;21616.000;30.000
24.03.17;4:22:21 PM;13.84;87.440;27.350;21620.000;30.000
