24.03.17/4:08 PM SW ver:OXY10v3_33
Header Ch-2
Description: Q1030CR-C4
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 94984
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;4:08:31 PM;0.00;96.290;26.340;26806.000;30.000
24.03.17;4:08:32 PM;0.02;96.390;26.330;26792.000;30.000
24.03.17;4:08:37 PM;0.10;96.280;26.340;26801.000;30.000
24.03.17;4:08:52 PM;0.35;96.300;26.330;26832.000;30.000
24.03.17;4:09:07 PM;0.60;95.840;26.380;26838.000;30.000
24.03.17;4:09:22 PM;0.85;96.440;26.320;26880.000;30.000
24.03.17;4:09:37 PM;1.10;95.950;26.370;26901.000;30.000
24.03.17;4:09:52 PM;1.35;95.690;26.400;26919.000;30.000
24.03.17;4:10:07 PM;1.60;95.820;26.390;26920.000;30.000
24.03.17;4:10:22 PM;1.85;95.060;26.470;26973.000;30.000
24.03.17;4:10:37 PM;2.10;95.360;26.440;26962.000;30.000
24.03.17;4:10:52 PM;2.35;95.270;26.450;26987.000;30.000
24.03.17;4:11:07 PM;2.60;95.220;26.450;26998.000;30.000
24.03.17;4:11:22 PM;2.85;94.830;26.490;26991.000;30.000
24.03.17;4:11:37 PM;3.10;94.330;26.550;26995.000;30.000
24.03.17;4:11:52 PM;3.35;94.180;26.570;27058.000;30.000
24.03.17;4:12:07 PM;3.60;94.180;26.570;27075.000;30.000
24.03.17;4:12:22 PM;3.85;94.190;26.570;27107.000;30.000
24.03.17;4:12:37 PM;4.10;94.030;26.580;27092.000;30.000
24.03.17;4:12:52 PM;4.35;94.420;26.540;27161.000;30.000
24.03.17;4:13:07 PM;4.60;93.970;26.590;27188.000;30.000
24.03.17;4:13:22 PM;4.85;94.170;26.570;27228.000;30.000
24.03.17;4:13:37 PM;5.10;93.570;26.630;27185.000;30.000
24.03.17;4:13:52 PM;5.35;93.660;26.620;27221.000;30.000
24.03.17;4:14:07 PM;5.60;93.920;26.600;27238.000;30.000
24.03.17;4:14:22 PM;5.85;93.170;26.680;27255.000;30.000
24.03.17;4:14:37 PM;6.10;93.010;26.700;27230.000;30.000
24.03.17;4:14:52 PM;6.35;92.820;26.720;27254.000;30.000
24.03.17;4:15:07 PM;6.60;93.190;26.680;27308.000;30.000
24.03.17;4:15:22 PM;6.85;93.030;26.690;27331.000;30.000
24.03.17;4:15:37 PM;7.10;93.000;26.700;27336.000;30.000
24.03.17;4:15:52 PM;7.35;92.750;26.730;27387.000;30.000
24.03.17;4:16:07 PM;7.60;92.590;26.740;27404.000;30.000
24.03.17;4:16:22 PM;7.85;91.910;26.820;27395.000;30.000
24.03.17;4:16:37 PM;8.10;92.810;26.720;27377.000;30.000
24.03.17;4:16:52 PM;8.35;92.220;26.790;27376.000;30.000
24.03.17;4:17:07 PM;8.60;91.830;26.830;27431.000;30.000
24.03.17;4:17:22 PM;8.85;92.170;26.790;27463.000;30.000
24.03.17;4:17:37 PM;9.10;91.930;26.820;27465.000;30.000
24.03.17;4:17:52 PM;9.35;90.910;26.940;27535.000;30.000
24.03.17;4:18:07 PM;9.60;91.700;26.850;27609.000;30.000
24.03.17;4:18:22 PM;9.85;91.400;26.880;27637.000;30.000
24.03.17;4:18:37 PM;10.10;90.940;26.930;27432.000;30.000
24.03.17;4:18:52 PM;10.35;91.510;26.870;27480.000;30.000
24.03.17;4:19:07 PM;10.60;90.980;26.930;27547.000;30.000
24.03.17;4:19:22 PM;10.85;91.250;26.900;27563.000;30.000
24.03.17;4:19:37 PM;11.10;90.640;26.970;27647.000;30.000
24.03.17;4:19:52 PM;11.35;90.420;26.990;27713.000;30.000
24.03.17;4:20:07 PM;11.60;90.300;27.010;27682.000;30.000
24.03.17;4:20:22 PM;11.85;90.390;27.000;27741.000;30.000
24.03.17;4:20:37 PM;12.10;89.930;27.050;27739.000;30.000
24.03.17;4:20:52 PM;12.35;89.990;27.040;27778.000;30.000
24.03.17;4:21:07 PM;12.60;89.840;27.060;27606.000;30.000
24.03.17;4:21:22 PM;12.85;89.630;27.090;27647.000;30.000
24.03.17;4:21:37 PM;13.10;89.560;27.090;27858.000;30.000
24.03.17;4:21:52 PM;13.35;89.450;27.110;27686.000;30.000
24.03.17;4:22:07 PM;13.60;89.160;27.140;27821.000;30.000
24.03.17;4:22:22 PM;13.85;89.410;27.110;27811.000;30.000
