24.03.17/4:08 PM SW ver:OXY10v3_33
Header Ch-3
Description: Q1030CR-E13
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 98979
Frequency         : 006
Sending interval  : 0001
Averaging         : 9
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;4:08:33 PM;0.00;102.480;25.700;4449.000;30.000
24.03.17;4:08:35 PM;0.02;101.270;25.820;4431.000;30.000
24.03.17;4:08:39 PM;0.09;101.790;25.760;4452.000;30.000
24.03.17;4:08:53 PM;0.34;100.770;25.870;4453.000;30.000
24.03.17;4:09:08 PM;0.59;100.070;25.940;4450.000;30.000
24.03.17;4:09:23 PM;0.84;101.420;25.800;4458.000;30.000
24.03.17;4:09:38 PM;1.09;100.940;25.850;4465.000;30.000
24.03.17;4:09:53 PM;1.34;100.870;25.860;4464.000;30.000
24.03.17;4:10:08 PM;1.59;99.290;26.020;4477.000;30.000
24.03.17;4:10:23 PM;1.84;101.650;25.780;4472.000;30.000
24.03.17;4:10:38 PM;2.09;101.400;25.800;4460.000;30.000
24.03.17;4:10:53 PM;2.34;99.430;26.000;4467.000;30.000
24.03.17;4:11:08 PM;2.59;99.580;25.990;4462.000;30.000
24.03.17;4:11:23 PM;2.84;99.750;25.970;4470.000;30.000
24.03.17;4:11:38 PM;3.09;100.050;25.940;4467.000;30.000
24.03.17;4:11:53 PM;3.34;99.570;25.990;4475.000;30.000
24.03.17;4:12:08 PM;3.59;100.970;25.850;4475.000;30.000
24.03.17;4:12:23 PM;3.84;100.990;25.840;4476.000;30.000
24.03.17;4:12:38 PM;4.09;100.250;25.920;4468.000;30.000
24.03.17;4:12:53 PM;4.34;100.090;25.940;4480.000;30.000
24.03.17;4:13:08 PM;4.59;99.680;25.980;4477.000;30.000
24.03.17;4:13:23 PM;4.84;99.960;25.950;4503.000;30.000
24.03.17;4:13:38 PM;5.09;98.900;26.060;4474.000;30.000
24.03.17;4:13:53 PM;5.34;100.030;25.940;4493.000;30.000
24.03.17;4:14:08 PM;5.59;100.200;25.930;4500.000;30.000
24.03.17;4:14:23 PM;5.84;100.260;25.920;4504.000;30.000
24.03.17;4:14:38 PM;6.09;99.280;26.020;4493.000;30.000
24.03.17;4:14:53 PM;6.34;98.740;26.080;4454.000;30.000
24.03.17;4:15:08 PM;6.59;98.990;26.050;4499.000;30.000
24.03.17;4:15:23 PM;6.84;99.160;26.030;4507.000;30.000
24.03.17;4:15:38 PM;7.09;98.450;26.110;4456.000;30.000
24.03.17;4:15:53 PM;7.34;100.200;25.930;4474.000;30.000
24.03.17;4:16:08 PM;7.59;100.130;25.930;4472.000;30.000
24.03.17;4:16:23 PM;7.84;99.570;25.990;4465.000;30.000
24.03.17;4:16:38 PM;8.09;99.460;26.000;4472.000;30.000
24.03.17;4:16:53 PM;8.34;98.510;26.100;4474.000;30.000
24.03.17;4:17:08 PM;8.59;100.720;25.870;4463.000;30.000
24.03.17;4:17:23 PM;8.84;100.080;25.940;4474.000;30.000
24.03.17;4:17:38 PM;9.09;99.450;26.000;4477.000;30.000
24.03.17;4:17:53 PM;9.34;98.250;26.130;4485.000;30.000
24.03.17;4:18:08 PM;9.59;99.140;26.030;4482.000;30.000
24.03.17;4:18:23 PM;9.84;99.230;26.030;4470.000;30.000
24.03.17;4:18:38 PM;10.09;98.780;26.070;4452.000;30.000
24.03.17;4:18:53 PM;10.34;98.420;26.110;4465.000;30.000
24.03.17;4:19:08 PM;10.59;100.070;25.940;4465.000;30.000
24.03.17;4:19:23 PM;10.84;97.700;26.190;4465.000;30.000
24.03.17;4:19:38 PM;11.09;98.620;26.090;4458.000;30.000
24.03.17;4:19:53 PM;11.34;97.760;26.180;4462.000;30.000
24.03.17;4:20:08 PM;11.59;98.480;26.100;4454.000;30.000
24.03.17;4:20:23 PM;11.84;98.910;26.060;4460.000;30.000
24.03.17;4:20:38 PM;12.09;99.540;25.990;4472.000;30.000
24.03.17;4:20:53 PM;12.34;99.080;26.040;4484.000;30.000
24.03.17;4:21:08 PM;12.59;98.750;26.080;4446.000;30.000
24.03.17;4:21:23 PM;12.84;97.050;26.250;4439.000;30.000
24.03.17;4:21:38 PM;13.09;97.470;26.210;4469.000;30.000
24.03.17;4:21:53 PM;13.34;99.720;25.970;4442.000;30.000
24.03.17;4:22:08 PM;13.59;97.200;26.240;4443.000;30.000
24.03.17;4:22:23 PM;13.84;98.640;26.090;4446.000;30.000
