24.03.17/4:08 PM SW ver:OXY10v3_33
Header Ch-4
Description: Q1030CR-DRIFT
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 94514
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;4:08:34 PM;0.00;98.170;26.140;28673.000;30.000
24.03.17;4:08:35 PM;0.02;98.150;26.140;28609.000;30.000
24.03.17;4:08:39 PM;0.09;98.400;26.110;28724.000;30.000
24.03.17;4:08:54 PM;0.34;97.820;26.170;28740.000;30.000
24.03.17;4:09:09 PM;0.59;98.450;26.110;28719.000;30.000
24.03.17;4:09:24 PM;0.84;97.900;26.160;28705.000;30.000
24.03.17;4:09:39 PM;1.09;98.120;26.140;28729.000;30.000
24.03.17;4:09:54 PM;1.34;97.800;26.170;28710.000;30.000
24.03.17;4:10:09 PM;1.59;97.820;26.170;28733.000;30.000
24.03.17;4:10:24 PM;1.84;98.110;26.140;28751.000;30.000
24.03.17;4:10:39 PM;2.09;98.250;26.130;28748.000;30.000
24.03.17;4:10:54 PM;2.34;97.690;26.190;28745.000;30.000
24.03.17;4:11:09 PM;2.59;98.500;26.100;28746.000;30.000
24.03.17;4:11:24 PM;2.84;97.720;26.180;28732.000;30.000
24.03.17;4:11:39 PM;3.09;98.170;26.140;28719.000;30.000
24.03.17;4:11:54 PM;3.34;98.090;26.140;28728.000;30.000
24.03.17;4:12:09 PM;3.59;97.920;26.160;28754.000;30.000
24.03.17;4:12:24 PM;3.84;97.980;26.160;28746.000;30.000
24.03.17;4:12:39 PM;4.09;97.480;26.210;28764.000;30.000
24.03.17;4:12:54 PM;4.34;97.900;26.160;28744.000;30.000
24.03.17;4:13:09 PM;4.59;97.970;26.160;28682.000;30.000
24.03.17;4:13:24 PM;4.84;97.580;26.200;28805.000;30.000
24.03.17;4:13:39 PM;5.09;98.290;26.120;28721.000;30.000
24.03.17;4:13:54 PM;5.34;97.960;26.160;28733.000;30.000
24.03.17;4:14:09 PM;5.59;97.750;26.180;28771.000;30.000
24.03.17;4:14:24 PM;5.84;97.470;26.210;28746.000;30.000
24.03.17;4:14:39 PM;6.09;97.710;26.180;28735.000;30.000
24.03.17;4:14:54 PM;6.34;97.800;26.180;28709.000;30.000
24.03.17;4:15:09 PM;6.59;97.840;26.170;28763.000;30.000
24.03.17;4:15:24 PM;6.84;97.890;26.170;28730.000;30.000
24.03.17;4:15:39 PM;7.09;98.170;26.140;28774.000;30.000
24.03.17;4:15:54 PM;7.34;98.230;26.130;28741.000;30.000
24.03.17;4:16:09 PM;7.59;98.520;26.100;28710.000;30.000
24.03.17;4:16:24 PM;7.84;97.720;26.180;28740.000;30.000
24.03.17;4:16:39 PM;8.09;97.940;26.160;28715.000;30.000
24.03.17;4:16:54 PM;8.34;98.080;26.150;28583.000;30.000
24.03.17;4:17:09 PM;8.59;98.120;26.140;28669.000;30.000
24.03.17;4:17:24 PM;8.84;98.160;26.140;28691.000;30.000
24.03.17;4:17:39 PM;9.09;98.260;26.130;28677.000;30.000
24.03.17;4:17:54 PM;9.34;97.830;26.170;28696.000;30.000
24.03.17;4:18:09 PM;9.59;98.010;26.150;28677.000;30.000
24.03.17;4:18:24 PM;9.84;98.100;26.140;28671.000;30.000
24.03.17;4:18:39 PM;10.09;98.300;26.120;28673.000;30.000
24.03.17;4:18:54 PM;10.34;97.780;26.180;28677.000;30.000
24.03.17;4:19:09 PM;10.59;98.290;26.120;28691.000;30.000
24.03.17;4:19:24 PM;10.84;97.350;26.220;28659.000;30.000
24.03.17;4:19:39 PM;11.09;98.270;26.130;28694.000;30.000
24.03.17;4:19:54 PM;11.34;98.650;26.090;28716.000;30.000
24.03.17;4:20:09 PM;11.59;98.370;26.120;28714.000;30.000
24.03.17;4:20:24 PM;11.84;98.270;26.130;28691.000;30.000
24.03.17;4:20:39 PM;12.09;98.380;26.110;28711.000;30.000
24.03.17;4:20:54 PM;12.34;98.040;26.150;28728.000;30.000
24.03.17;4:21:09 PM;12.59;98.060;26.150;28652.000;30.000
24.03.17;4:21:24 PM;12.84;98.000;26.150;28703.000;30.000
24.03.17;4:21:39 PM;13.09;98.270;26.130;28674.000;30.000
24.03.17;4:21:54 PM;13.34;98.390;26.110;28680.000;30.000
24.03.17;4:22:09 PM;13.59;98.320;26.120;28709.000;30.000
24.03.17;4:22:24 PM;13.84;98.170;26.140;28712.000;30.000
