24.03.17/4:08 PM SW ver:OXY10v3_33
Header Ch-5
Description: Q1030CR-F33
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 99310
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;4:08:36 PM;0.00;95.790;26.390;39583.000;30.000
24.03.17;4:08:37 PM;0.02;95.820;26.390;39586.000;30.000
24.03.17;4:08:40 PM;0.07;95.440;26.430;39602.000;30.000
24.03.17;4:08:55 PM;0.32;95.530;26.420;39653.000;30.000
24.03.17;4:09:10 PM;0.57;95.410;26.430;39634.000;30.000
24.03.17;4:09:25 PM;0.82;95.330;26.440;39667.000;30.000
24.03.17;4:09:40 PM;1.07;95.110;26.460;39672.000;30.000
24.03.17;4:09:55 PM;1.32;95.740;26.400;39651.000;30.000
24.03.17;4:10:10 PM;1.57;95.550;26.420;39658.000;30.000
24.03.17;4:10:25 PM;1.82;95.090;26.470;39677.000;30.000
24.03.17;4:10:40 PM;2.07;95.290;26.440;39700.000;30.000
24.03.17;4:10:55 PM;2.32;95.230;26.450;39709.000;30.000
24.03.17;4:11:10 PM;2.57;94.930;26.480;39677.000;30.000
24.03.17;4:11:25 PM;2.82;95.380;26.430;39682.000;30.000
24.03.17;4:11:40 PM;3.07;95.490;26.420;39700.000;30.000
24.03.17;4:11:55 PM;3.32;94.660;26.510;39755.000;30.000
24.03.17;4:12:10 PM;3.57;94.820;26.500;39745.000;30.000
24.03.17;4:12:25 PM;3.82;94.590;26.520;39753.000;30.000
24.03.17;4:12:40 PM;4.07;94.900;26.490;39753.000;30.000
24.03.17;4:12:55 PM;4.32;94.640;26.520;39739.000;30.000
24.03.17;4:13:10 PM;4.57;94.870;26.490;39739.000;30.000
24.03.17;4:13:25 PM;4.82;94.580;26.520;39757.000;30.000
24.03.17;4:13:40 PM;5.07;94.270;26.560;39735.000;30.000
24.03.17;4:13:55 PM;5.32;94.480;26.530;39786.000;30.000
24.03.17;4:14:10 PM;5.57;94.010;26.590;39818.000;30.000
24.03.17;4:14:25 PM;5.82;94.330;26.550;39817.000;30.000
24.03.17;4:14:40 PM;6.07;93.840;26.600;39869.000;30.000
24.03.17;4:14:55 PM;6.32;94.040;26.580;39805.000;30.000
24.03.17;4:15:10 PM;6.57;94.050;26.580;39866.000;30.000
24.03.17;4:15:25 PM;6.82;94.310;26.550;39916.000;30.000
24.03.17;4:15:40 PM;7.07;94.180;26.570;39900.000;30.000
24.03.17;4:15:55 PM;7.32;94.170;26.570;39917.000;30.000
24.03.17;4:16:10 PM;7.57;93.860;26.600;39919.000;30.000
24.03.17;4:16:25 PM;7.82;93.720;26.620;39928.000;30.000
24.03.17;4:16:40 PM;8.07;93.780;26.610;39952.000;30.000
24.03.17;4:16:55 PM;8.32;93.750;26.610;39962.000;30.000
24.03.17;4:17:10 PM;8.57;93.580;26.630;39974.000;30.000
24.03.17;4:17:25 PM;8.82;93.510;26.640;40004.000;30.000
24.03.17;4:17:40 PM;9.07;93.840;26.600;40048.000;30.000
24.03.17;4:17:55 PM;9.32;93.770;26.610;40051.000;30.000
24.03.17;4:18:10 PM;9.57;93.510;26.640;40035.000;30.000
24.03.17;4:18:25 PM;9.82;93.160;26.680;40041.000;30.000
24.03.17;4:18:40 PM;10.07;93.070;26.690;40008.000;30.000
24.03.17;4:18:55 PM;10.32;92.830;26.720;40000.000;30.000
24.03.17;4:19:10 PM;10.57;93.400;26.650;40061.000;30.000
24.03.17;4:19:25 PM;10.82;92.840;26.720;40085.000;30.000
24.03.17;4:19:40 PM;11.07;93.140;26.680;40073.000;30.000
24.03.17;4:19:55 PM;11.32;93.020;26.700;40090.000;30.000
24.03.17;4:20:10 PM;11.57;92.950;26.700;40119.000;30.000
24.03.17;4:20:25 PM;11.82;93.040;26.690;40116.000;30.000
24.03.17;4:20:40 PM;12.07;92.910;26.710;40107.000;30.000
24.03.17;4:20:55 PM;12.32;92.310;26.780;40147.000;30.000
24.03.17;4:21:10 PM;12.57;92.700;26.730;40137.000;30.000
24.03.17;4:21:25 PM;12.82;92.070;26.800;40165.000;30.000
24.03.17;4:21:40 PM;13.07;92.490;26.760;40160.000;30.000
24.03.17;4:21:55 PM;13.32;92.110;26.800;40170.000;30.000
24.03.17;4:22:10 PM;13.57;92.220;26.790;40179.000;30.000
24.03.17;4:22:25 PM;13.82;92.180;26.790;40196.000;30.000
