24.03.17/4:08 PM SW ver:OXY10v3_33
Header Ch-6
Description: Q1030CR-H12
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 97811
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;4:08:38 PM;0.00;96.160;26.350;27532.000;30.000
24.03.17;4:08:40 PM;0.04;96.770;26.280;27629.000;30.000
24.03.17;4:08:41 PM;0.06;96.770;26.280;27650.000;30.000
24.03.17;4:08:55 PM;0.29;96.090;26.360;27690.000;30.000
24.03.17;4:09:10 PM;0.54;96.190;26.350;27645.000;30.000
24.03.17;4:09:25 PM;0.79;95.230;26.450;27695.000;30.000
24.03.17;4:09:40 PM;1.04;95.210;26.450;27732.000;30.000
24.03.17;4:09:55 PM;1.29;95.690;26.400;27716.000;30.000
24.03.17;4:10:10 PM;1.54;95.710;26.400;27785.000;30.000
24.03.17;4:10:25 PM;1.79;96.590;26.300;27739.000;30.000
24.03.17;4:10:40 PM;2.04;95.420;26.430;27813.000;30.000
24.03.17;4:10:55 PM;2.29;96.140;26.350;27810.000;30.000
24.03.17;4:11:10 PM;2.54;94.820;26.500;27847.000;30.000
24.03.17;4:11:25 PM;2.79;94.820;26.500;27798.000;30.000
24.03.17;4:11:40 PM;3.04;94.670;26.510;27921.000;30.000
24.03.17;4:11:55 PM;3.29;94.920;26.480;27873.000;30.000
24.03.17;4:12:10 PM;3.54;94.400;26.540;27834.000;30.000
24.03.17;4:12:25 PM;3.79;94.750;26.500;27931.000;30.000
24.03.17;4:12:40 PM;4.04;94.020;26.580;27913.000;30.000
24.03.17;4:12:55 PM;4.29;94.090;26.580;27929.000;30.000
24.03.17;4:13:10 PM;4.54;93.910;26.600;27940.000;30.000
24.03.17;4:13:25 PM;4.79;95.110;26.460;27927.000;30.000
24.03.17;4:13:40 PM;5.04;93.220;26.670;28006.000;30.000
24.03.17;4:13:55 PM;5.29;93.580;26.630;27997.000;30.000
24.03.17;4:14:10 PM;5.54;93.970;26.590;28055.000;30.000
24.03.17;4:14:25 PM;5.79;93.560;26.640;28013.000;30.000
24.03.17;4:14:40 PM;6.04;93.970;26.590;28068.000;30.000
24.03.17;4:14:55 PM;6.29;94.350;26.550;28021.000;30.000
24.03.17;4:15:10 PM;6.54;93.090;26.690;28088.000;30.000
24.03.17;4:15:25 PM;6.79;94.050;26.580;28019.000;30.000
24.03.17;4:15:40 PM;7.04;94.550;26.530;28049.000;30.000
24.03.17;4:15:55 PM;7.29;93.830;26.610;28026.000;30.000
24.03.17;4:16:10 PM;7.54;93.500;26.640;27974.000;30.000
24.03.17;4:16:25 PM;7.79;95.480;26.420;27979.000;30.000
24.03.17;4:16:40 PM;8.04;93.900;26.600;27888.000;30.000
24.03.17;4:16:55 PM;8.29;93.730;26.620;27842.000;30.000
24.03.17;4:17:10 PM;8.54;94.020;26.580;27889.000;30.000
24.03.17;4:17:25 PM;8.79;95.310;26.440;27944.000;30.000
24.03.17;4:17:40 PM;9.04;93.780;26.610;27949.000;30.000
24.03.17;4:17:55 PM;9.29;94.920;26.480;27944.000;30.000
24.03.17;4:18:10 PM;9.54;94.630;26.520;27939.000;30.000
24.03.17;4:18:25 PM;9.79;94.070;26.580;27855.000;30.000
24.03.17;4:18:40 PM;10.04;94.210;26.560;27817.000;30.000
24.03.17;4:18:55 PM;10.29;94.500;26.530;27809.000;30.000
24.03.17;4:19:10 PM;10.54;93.800;26.610;27866.000;30.000
24.03.17;4:19:25 PM;10.79;93.870;26.600;28026.000;30.000
24.03.17;4:19:40 PM;11.04;93.430;26.650;28027.000;30.000
24.03.17;4:19:55 PM;11.29;93.460;26.650;28030.000;30.000
24.03.17;4:20:10 PM;11.54;94.050;26.580;28078.000;30.000
24.03.17;4:20:25 PM;11.79;93.070;26.690;28079.000;30.000
24.03.17;4:20:40 PM;12.04;93.520;26.640;28043.000;30.000
24.03.17;4:20:55 PM;12.29;93.860;26.600;28020.000;30.000
24.03.17;4:21:10 PM;12.54;93.410;26.650;28069.000;30.000
24.03.17;4:21:25 PM;12.79;93.870;26.600;28133.000;30.000
24.03.17;4:21:40 PM;13.04;92.120;26.800;28064.000;30.000
24.03.17;4:21:55 PM;13.29;93.010;26.700;28122.000;30.000
24.03.17;4:22:10 PM;13.54;92.890;26.710;28110.000;30.000
24.03.17;4:22:25 PM;13.79;92.230;26.780;28092.000;30.000
