24.03.17/4:08 PM SW ver:OXY10v3_33
Header Ch-8
Description: 
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 95364
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;4:08:41 PM;0.00;94.100;26.580;29017.000;30.000
24.03.17;4:08:42 PM;0.02;93.290;26.670;29003.000;30.000
24.03.17;4:08:43 PM;0.03;93.520;26.640;29003.000;30.000
24.03.17;4:08:56 PM;0.26;93.490;26.640;29078.000;30.000
24.03.17;4:09:11 PM;0.51;93.230;26.670;29064.000;30.000
24.03.17;4:09:26 PM;0.76;93.810;26.610;29097.000;30.000
24.03.17;4:09:41 PM;1.01;92.520;26.750;29024.000;30.000
24.03.17;4:09:56 PM;1.26;92.680;26.730;29150.000;30.000
24.03.17;4:10:11 PM;1.51;92.310;26.780;29196.000;30.000
24.03.17;4:10:26 PM;1.76;92.960;26.700;29241.000;30.000
24.03.17;4:10:41 PM;2.01;92.680;26.730;29278.000;30.000
24.03.17;4:10:56 PM;2.26;93.190;26.680;29241.000;30.000
24.03.17;4:11:11 PM;2.51;92.010;26.810;29292.000;30.000
24.03.17;4:11:26 PM;2.76;92.340;26.770;29294.000;30.000
24.03.17;4:11:41 PM;3.01;92.450;26.760;29341.000;30.000
24.03.17;4:11:56 PM;3.26;92.090;26.800;29302.000;30.000
24.03.17;4:12:11 PM;3.51;91.870;26.830;29424.000;30.000
24.03.17;4:12:26 PM;3.76;91.160;26.910;29429.000;30.000
24.03.17;4:12:41 PM;4.01;91.980;26.810;29451.000;30.000
24.03.17;4:12:56 PM;4.26;91.300;26.890;29441.000;30.000
24.03.17;4:13:11 PM;4.51;90.920;26.930;29379.000;30.000
24.03.17;4:13:26 PM;4.76;91.450;26.870;29464.000;30.000
24.03.17;4:13:41 PM;5.01;91.580;26.860;29507.000;30.000
24.03.17;4:13:56 PM;5.26;91.030;26.920;29492.000;30.000
24.03.17;4:14:11 PM;5.51;90.720;26.960;29516.000;30.000
24.03.17;4:14:26 PM;5.76;90.800;26.950;29557.000;30.000
24.03.17;4:14:41 PM;6.01;90.740;26.960;29576.000;30.000
24.03.17;4:14:56 PM;6.26;90.430;26.990;29651.000;30.000
24.03.17;4:15:11 PM;6.51;90.250;27.010;29651.000;30.000
24.03.17;4:15:26 PM;6.76;89.890;27.050;29697.000;30.000
24.03.17;4:15:41 PM;7.01;90.580;26.970;29685.000;30.000
24.03.17;4:15:56 PM;7.26;89.840;27.060;29707.000;30.000
24.03.17;4:16:11 PM;7.51;89.830;27.060;29704.000;30.000
24.03.17;4:16:26 PM;7.76;89.380;27.120;29735.000;30.000
24.03.17;4:16:41 PM;8.01;89.740;27.070;29770.000;30.000
24.03.17;4:16:56 PM;8.26;89.370;27.120;29773.000;30.000
24.03.17;4:17:11 PM;8.51;89.200;27.140;29835.000;30.000
24.03.17;4:17:26 PM;8.76;89.050;27.150;29861.000;30.000
24.03.17;4:17:41 PM;9.01;89.060;27.150;29874.000;30.000
24.03.17;4:17:56 PM;9.26;88.930;27.170;29909.000;30.000
24.03.17;4:18:11 PM;9.51;89.000;27.160;29881.000;30.000
24.03.17;4:18:26 PM;9.76;88.470;27.220;29854.000;30.000
24.03.17;4:18:41 PM;10.01;88.540;27.210;29547.000;30.000
24.03.17;4:18:56 PM;10.26;88.390;27.230;29467.000;30.000
24.03.17;4:19:11 PM;10.51;88.380;27.230;29515.000;30.000
24.03.17;4:19:26 PM;10.76;87.970;27.280;29965.000;30.000
24.03.17;4:19:41 PM;11.01;88.250;27.250;29920.000;30.000
24.03.17;4:19:56 PM;11.26;88.200;27.260;30076.000;30.000
24.03.17;4:20:11 PM;11.51;87.970;27.280;30082.000;30.000
24.03.17;4:20:26 PM;11.76;87.300;27.360;30119.000;30.000
24.03.17;4:20:41 PM;12.01;87.850;27.300;30143.000;30.000
24.03.17;4:20:56 PM;12.26;87.350;27.360;29931.000;30.000
24.03.17;4:21:11 PM;12.51;87.120;27.390;29785.000;30.000
24.03.17;4:21:26 PM;12.76;87.130;27.390;29942.000;30.000
24.03.17;4:21:41 PM;13.01;87.200;27.380;29835.000;30.000
24.03.17;4:21:56 PM;13.26;87.080;27.390;29917.000;30.000
24.03.17;4:22:11 PM;13.51;87.130;27.390;29974.000;30.000
24.03.17;4:22:26 PM;13.76;86.280;27.490;29964.000;30.000
