24.03.17/2:54 PM SW ver:OXY10v3_33
Header Ch-5
Description: Q10325CP-F35
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 98921
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;2:54:18 PM;0.00;96.570;25.900;37747.000;32.500
24.03.17;2:54:19 PM;0.02;97.470;25.800;37729.000;32.500
24.03.17;2:54:20 PM;0.04;96.440;25.910;37748.000;32.500
24.03.17;2:54:21 PM;0.05;97.460;25.800;37638.000;32.500
24.03.17;2:54:23 PM;0.09;97.110;25.840;37665.000;32.500
24.03.17;2:54:24 PM;0.11;96.750;25.880;37629.000;32.500
24.03.17;2:54:25 PM;0.12;96.560;25.900;37712.000;32.500
24.03.17;2:54:26 PM;0.14;97.050;25.850;37690.000;32.500
24.03.17;2:54:27 PM;0.16;97.180;25.830;37608.000;32.500
24.03.17;2:54:28 PM;0.18;96.810;25.870;37651.000;32.500
24.03.17;2:54:29 PM;0.19;96.760;25.880;37772.000;32.500
24.03.17;2:54:30 PM;0.21;97.380;25.810;37606.000;32.500
24.03.17;2:54:31 PM;0.23;96.950;25.860;37639.000;32.500
24.03.17;2:54:39 PM;0.36;96.280;25.930;37780.000;32.500
24.03.17;2:54:54 PM;0.60;96.690;25.880;37774.000;32.500
24.03.17;2:55:09 PM;0.85;97.120;25.840;37725.000;32.500
24.03.17;2:55:24 PM;1.10;97.050;25.850;37703.000;32.500
24.03.17;2:55:39 PM;1.35;96.040;25.950;37843.000;32.500
24.03.17;2:55:54 PM;1.60;97.150;25.830;37742.000;32.500
24.03.17;2:56:09 PM;1.85;96.200;25.940;37755.000;32.500
24.03.17;2:56:24 PM;2.10;95.980;25.960;37867.000;32.500
24.03.17;2:56:39 PM;2.35;96.820;25.870;37785.000;32.500
24.03.17;2:56:54 PM;2.60;96.250;25.930;37886.000;32.500
24.03.17;2:57:09 PM;2.85;95.850;25.970;37877.000;32.500
24.03.17;2:57:24 PM;3.10;95.870;25.970;37903.000;32.500
24.03.17;2:57:39 PM;3.35;96.010;25.960;37864.000;32.500
24.03.17;2:57:54 PM;3.60;95.940;25.960;37887.000;32.500
