24.03.17/2:54 PM SW ver:OXY10v3_33
Header Ch-6
Description: Q10325CP-H14

IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 97889
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;2:54:18 PM;0.00;97.710;25.780;27361.000;32.500
24.03.17;2:54:19 PM;0.02;96.280;25.930;27349.000;32.500
24.03.17;2:54:20 PM;0.04;96.820;25.870;27353.000;32.500
24.03.17;2:54:25 PM;0.11;97.470;25.800;27377.000;32.500
24.03.17;2:54:26 PM;0.12;96.770;25.870;27338.000;32.500
24.03.17;2:54:27 PM;0.14;98.620;25.680;27306.000;32.500
24.03.17;2:54:28 PM;0.16;97.820;25.760;27370.000;32.500
24.03.17;2:54:29 PM;0.18;97.710;25.780;27402.000;32.500
24.03.17;2:54:30 PM;0.19;98.120;25.730;27346.000;32.500
24.03.17;2:54:31 PM;0.21;97.770;25.770;27370.000;32.500
24.03.17;2:54:32 PM;0.23;97.180;25.830;27423.000;32.500
24.03.17;2:54:33 PM;0.25;97.480;25.800;27400.000;32.500
24.03.17;2:54:34 PM;0.27;98.100;25.740;27447.000;32.500
24.03.17;2:54:40 PM;0.36;96.740;25.880;27267.000;32.500
24.03.17;2:54:55 PM;0.60;96.580;25.900;27367.000;32.500
24.03.17;2:55:09 PM;0.85;97.300;25.820;27346.000;32.500
24.03.17;2:55:25 PM;1.10;97.070;25.840;27292.000;32.500
24.03.17;2:55:40 PM;1.35;97.080;25.840;27434.000;32.500
24.03.17;2:55:54 PM;1.60;96.820;25.870;27505.000;32.500
24.03.17;2:56:10 PM;1.85;95.870;25.970;27542.000;32.500
24.03.17;2:56:25 PM;2.10;95.530;26.010;27545.000;32.500
24.03.17;2:56:40 PM;2.35;96.210;25.930;27567.000;32.500
24.03.17;2:56:54 PM;2.60;96.250;25.930;27649.000;32.500
24.03.17;2:57:10 PM;2.85;96.420;25.910;27606.000;32.500
24.03.17;2:57:25 PM;3.10;95.320;26.030;27585.000;32.500
24.03.17;2:57:40 PM;3.35;96.660;25.890;27634.000;32.500
24.03.17;2:57:54 PM;3.60;98.040;25.740;27609.000;32.500
24.03.17;2:58:10 PM;3.85;96.600;25.890;27662.000;32.500
24.03.17;2:58:25 PM;4.11;95.800;25.980;27652.000;32.500
24.03.17;2:58:40 PM;4.35;95.570;26.000;27635.000;32.500
24.03.17;2:58:55 PM;4.60;95.140;26.050;27705.000;32.500
24.03.17;2:59:10 PM;4.85;94.770;26.090;27672.000;32.500
24.03.17;2:59:24 PM;5.10;96.760;25.880;27700.000;32.500
24.03.17;2:59:40 PM;5.35;95.410;26.020;27784.000;32.500
24.03.17;2:59:55 PM;5.60;96.010;25.960;27656.000;32.500
24.03.17;3:00:10 PM;5.85;95.680;25.990;27647.000;32.500
24.03.17;3:00:25 PM;6.10;95.850;25.970;27750.000;32.500
24.03.17;3:00:40 PM;6.36;95.840;25.970;27695.000;32.500
24.03.17;3:00:55 PM;6.60;95.070;26.060;27850.000;32.500
24.03.17;3:01:10 PM;6.86;94.590;26.110;27752.000;32.500
24.03.17;3:01:24 PM;7.10;94.810;26.090;27765.000;32.500
24.03.17;3:01:39 PM;7.35;94.210;26.150;27797.000;32.500
24.03.17;3:01:55 PM;7.60;93.100;26.270;27872.000;32.500
24.03.17;3:02:10 PM;7.85;95.720;25.990;27740.000;32.500
24.03.17;3:02:24 PM;8.10;94.830;26.080;27832.000;32.500
24.03.17;3:02:40 PM;8.35;94.540;26.110;27909.000;32.500
24.03.17;3:02:55 PM;8.60;95.240;26.040;27848.000;32.500
24.03.17;3:03:10 PM;8.85;95.230;26.040;27843.000;32.500
24.03.17;3:03:25 PM;9.10;94.260;26.150;27879.000;32.500
24.03.17;3:03:40 PM;9.36;93.640;26.210;27790.000;32.500
24.03.17;3:03:55 PM;9.60;95.760;25.980;27887.000;32.500
24.03.17;3:04:10 PM;9.85;94.580;26.110;27867.000;32.500
24.03.17;3:04:25 PM;10.10;93.590;26.220;27899.000;32.500
24.03.17;3:04:40 PM;10.36;95.070;26.060;27717.000;32.500
24.03.17;3:04:55 PM;10.60;94.620;26.110;27650.000;32.500
24.03.17;3:05:09 PM;10.85;97.310;25.820;27470.000;32.500
24.03.17;3:05:24 PM;11.10;96.040;25.950;27476.000;32.500
24.03.17;3:05:39 PM;11.35;97.270;25.820;27370.000;32.500
24.03.17;3:05:54 PM;11.60;98.740;25.670;27368.000;32.500
24.03.17;3:06:10 PM;11.85;98.400;25.700;27248.000;32.500
24.03.17;3:06:25 PM;12.10;99.680;25.570;27224.000;32.500
24.03.17;3:06:40 PM;12.36;99.560;25.580;27215.000;32.500
24.03.17;3:06:54 PM;12.60;98.580;25.690;27259.000;32.500
24.03.17;3:07:10 PM;12.85;98.900;25.650;27198.000;32.500
24.03.17;3:07:25 PM;13.10;99.520;25.590;27116.000;32.500
24.03.17;3:07:40 PM;13.35;98.190;25.730;27250.000;32.500
24.03.17;3:07:55 PM;13.60;99.140;25.630;27041.000;32.500
24.03.17;3:08:09 PM;13.85;98.120;25.730;27110.000;32.500
24.03.17;3:08:25 PM;14.10;100.440;25.500;27102.000;32.500
24.03.17;3:08:40 PM;14.35;99.940;25.550;27062.000;32.500
24.03.17;3:08:55 PM;14.61;98.970;25.650;27088.000;32.500
24.03.17;3:09:10 PM;14.86;98.700;25.670;27130.000;32.500
