24.03.17/2:54 PM SW ver:OXY10v3_33
Header Ch-8
Description: Q10325CP-J32

IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 95528
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;2:54:33 PM;0.00;95.700;25.990;27914.000;32.500
24.03.17;2:54:34 PM;0.02;96.960;25.850;27916.000;32.500
24.03.17;2:54:35 PM;0.04;96.110;25.950;27911.000;32.500
24.03.17;2:54:36 PM;0.05;96.880;25.860;27896.000;32.500
24.03.17;2:54:37 PM;0.07;97.000;25.850;27799.000;32.500
24.03.17;2:54:40 PM;0.13;96.160;25.940;27755.000;32.500
24.03.17;2:54:41 PM;0.14;97.380;25.810;27654.000;32.500
24.03.17;2:54:42 PM;0.15;96.550;25.900;27662.000;32.500
24.03.17;2:54:42 PM;0.17;96.660;25.890;27694.000;32.500
24.03.17;2:54:43 PM;0.18;96.050;25.950;27655.000;32.500
24.03.17;2:54:44 PM;0.19;96.810;25.870;27573.000;32.500
24.03.17;2:54:45 PM;0.20;96.110;25.950;27642.000;32.500
24.03.17;2:54:45 PM;0.21;95.910;25.970;27686.000;32.500
24.03.17;2:54:46 PM;0.23;97.530;25.790;27606.000;32.500
24.03.17;2:54:55 PM;0.38;96.400;25.910;27749.000;32.500
24.03.17;2:55:10 PM;0.63;97.060;25.840;27626.000;32.500
24.03.17;2:55:25 PM;0.88;97.600;25.790;27414.000;32.500
24.03.17;2:55:40 PM;1.13;96.750;25.880;27911.000;32.500
24.03.17;2:55:55 PM;1.38;95.550;26.010;27999.000;32.500
24.03.17;2:56:10 PM;1.63;96.620;25.890;28066.000;32.500
24.03.17;2:56:25 PM;1.88;96.890;25.860;28080.000;32.500
24.03.17;2:56:40 PM;2.13;96.130;25.940;28002.000;32.500
24.03.17;2:56:55 PM;2.38;96.250;25.930;28032.000;32.500
24.03.17;2:57:10 PM;2.63;97.050;25.850;28043.000;32.500
24.03.17;2:57:25 PM;2.88;96.160;25.940;28021.000;32.500
24.03.17;2:57:40 PM;3.13;96.770;25.880;28082.000;32.500
24.03.17;2:57:55 PM;3.38;96.110;25.950;28085.000;32.500
24.03.17;2:58:10 PM;3.63;95.570;26.000;28059.000;32.500
24.03.17;2:58:25 PM;3.88;96.940;25.860;28036.000;32.500
24.03.17;2:58:40 PM;4.13;95.430;26.020;28088.000;32.500
24.03.17;2:58:55 PM;4.38;95.080;26.060;28184.000;32.500
24.03.17;2:59:10 PM;4.63;95.950;25.960;27996.000;32.500
24.03.17;2:59:25 PM;4.88;96.250;25.930;28081.000;32.500
24.03.17;2:59:40 PM;5.13;95.180;26.050;28130.000;32.500
24.03.17;2:59:55 PM;5.38;95.530;26.010;28143.000;32.500
24.03.17;3:00:10 PM;5.63;96.100;25.950;28144.000;32.500
24.03.17;3:00:25 PM;5.88;95.700;25.990;28136.000;32.500
24.03.17;3:00:40 PM;6.13;95.060;26.060;28149.000;32.500
24.03.17;3:00:55 PM;6.38;95.440;26.020;28078.000;32.500
24.03.17;3:01:10 PM;6.63;95.410;26.020;28173.000;32.500
24.03.17;3:01:25 PM;6.88;95.440;26.020;28156.000;32.500
24.03.17;3:01:40 PM;7.13;95.790;25.980;28156.000;32.500
24.03.17;3:01:55 PM;7.38;94.250;26.150;28079.000;32.500
24.03.17;3:02:10 PM;7.63;95.100;26.050;28149.000;32.500
24.03.17;3:02:25 PM;7.88;94.820;26.080;28148.000;32.500
24.03.17;3:02:40 PM;8.13;94.820;26.080;28109.000;32.500
24.03.17;3:02:55 PM;8.38;96.440;25.910;28118.000;32.500
24.03.17;3:03:10 PM;8.63;95.930;25.960;28209.000;32.500
24.03.17;3:03:25 PM;8.88;95.880;25.970;28070.000;32.500
24.03.17;3:03:40 PM;9.13;96.580;25.900;28089.000;32.500
24.03.17;3:03:55 PM;9.38;97.200;25.830;28110.000;32.500
24.03.17;3:04:10 PM;9.63;95.370;26.020;28112.000;32.500
24.03.17;3:04:25 PM;9.88;96.900;25.860;28013.000;32.500
24.03.17;3:04:40 PM;10.13;96.860;25.870;27915.000;32.500
24.03.17;3:04:55 PM;10.38;96.470;25.910;27916.000;32.500
24.03.17;3:05:10 PM;10.63;97.910;25.760;27819.000;32.500
24.03.17;3:05:25 PM;10.88;97.460;25.800;27825.000;32.500
24.03.17;3:05:40 PM;11.13;97.950;25.750;27873.000;32.500
24.03.17;3:05:55 PM;11.38;97.370;25.810;27867.000;32.500
24.03.17;3:06:10 PM;11.63;98.650;25.680;27765.000;32.500
24.03.17;3:06:25 PM;11.88;99.260;25.620;27776.000;32.500
24.03.17;3:06:40 PM;12.13;97.480;25.800;27890.000;32.500
24.03.17;3:06:55 PM;12.38;97.510;25.800;27747.000;32.500
24.03.17;3:07:10 PM;12.63;97.950;25.750;27892.000;32.500
24.03.17;3:07:25 PM;12.88;98.610;25.680;27722.000;32.500
24.03.17;3:07:40 PM;13.13;97.860;25.760;27851.000;32.500
24.03.17;3:07:55 PM;13.38;98.890;25.650;27780.000;32.500
24.03.17;3:08:10 PM;13.63;98.190;25.730;27837.000;32.500
