24.03.17/2:18 PM SW ver:OXY10v3_33
Header Ch-1
Description: Q10325CR-B33
IDENTIFICATION
PHIboard number   : v1231473
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 98479
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 005400
100.00%a.s.phase 2: 27.68 at 020.0°C amp 007300
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;2:18:42 PM;0.00;97.320;25.820;20252.000;32.500
24.03.17;2:18:43 PM;0.02;96.630;25.890;20234.000;32.500
24.03.17;2:18:50 PM;0.14;97.110;25.840;20271.000;32.500
24.03.17;2:19:05 PM;0.39;96.920;25.860;20291.000;32.500
24.03.17;2:19:20 PM;0.64;96.440;25.910;20320.000;32.500
24.03.17;2:19:35 PM;0.89;97.050;25.850;20356.000;32.500
24.03.17;2:19:50 PM;1.14;95.760;25.980;20377.000;32.500
24.03.17;2:20:05 PM;1.39;96.420;25.910;20377.000;32.500
24.03.17;2:20:20 PM;1.64;96.520;25.900;20423.000;32.500
24.03.17;2:20:35 PM;1.89;95.780;25.980;20406.000;32.500
24.03.17;2:20:50 PM;2.14;95.720;25.990;20457.000;32.500
24.03.17;2:21:05 PM;2.39;96.010;25.960;20453.000;32.500
24.03.17;2:21:20 PM;2.64;95.240;26.040;20495.000;32.500
24.03.17;2:21:35 PM;2.89;95.340;26.030;20514.000;32.500
24.03.17;2:21:50 PM;3.14;95.280;26.030;20557.000;32.500
24.03.17;2:22:05 PM;3.39;94.460;26.120;20584.000;32.500
24.03.17;2:22:20 PM;3.64;94.270;26.140;20614.000;32.500
24.03.17;2:22:35 PM;3.89;94.470;26.120;20615.000;32.500
24.03.17;2:22:50 PM;4.14;94.360;26.130;20654.000;32.500
24.03.17;2:23:05 PM;4.39;94.450;26.120;20664.000;32.500
24.03.17;2:23:20 PM;4.64;93.950;26.180;20725.000;32.500
24.03.17;2:23:35 PM;4.89;93.410;26.240;20713.000;32.500
24.03.17;2:23:50 PM;5.14;93.200;26.260;20767.000;32.500
24.03.17;2:24:05 PM;5.39;92.920;26.290;20799.000;32.500
24.03.17;2:24:20 PM;5.64;93.130;26.270;20803.000;32.500
24.03.17;2:24:35 PM;5.89;92.640;26.320;20839.000;32.500
24.03.17;2:24:50 PM;6.14;92.770;26.310;20821.000;32.500
24.03.17;2:25:05 PM;6.39;92.680;26.320;20864.000;32.500
24.03.17;2:25:20 PM;6.64;92.910;26.290;20907.000;32.500
24.03.17;2:25:35 PM;6.89;92.260;26.370;20924.000;32.500
24.03.17;2:25:50 PM;7.14;91.780;26.420;20940.000;32.500
24.03.17;2:26:05 PM;7.39;91.580;26.440;20967.000;32.500
