24.03.17/2:18 PM SW ver:OXY10v3_33
Header Ch-2
Description: Q10325CR-C2
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 95444
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;2:18:42 PM;0.00;98.810;25.660;26050.000;32.500
24.03.17;2:18:43 PM;0.02;97.900;25.760;26034.000;32.500
24.03.17;2:18:52 PM;0.17;98.190;25.730;26047.000;32.500
24.03.17;2:19:07 PM;0.42;98.240;25.720;26115.000;32.500
24.03.17;2:19:22 PM;0.67;97.950;25.750;26143.000;32.500
24.03.17;2:19:37 PM;0.92;97.650;25.780;26186.000;32.500
24.03.17;2:19:52 PM;1.17;97.430;25.810;26180.000;32.500
24.03.17;2:20:07 PM;1.42;97.770;25.770;26237.000;32.500
24.03.17;2:20:22 PM;1.67;97.580;25.790;26230.000;32.500
24.03.17;2:20:37 PM;1.92;97.460;25.800;26296.000;32.500
24.03.17;2:20:52 PM;2.17;96.780;25.870;26330.000;32.500
24.03.17;2:21:07 PM;2.42;96.290;25.930;26287.000;32.500
24.03.17;2:21:22 PM;2.67;96.620;25.890;26373.000;32.500
24.03.17;2:21:37 PM;2.92;96.220;25.930;26383.000;32.500
24.03.17;2:21:52 PM;3.17;96.480;25.910;26397.000;32.500
24.03.17;2:22:07 PM;3.42;96.130;25.940;26381.000;32.500
24.03.17;2:22:22 PM;3.67;96.210;25.930;26409.000;32.500
24.03.17;2:22:37 PM;3.92;96.100;25.950;26369.000;32.500
24.03.17;2:22:52 PM;4.17;95.800;25.980;26442.000;32.500
24.03.17;2:23:07 PM;4.42;94.950;26.070;26453.000;32.500
24.03.17;2:23:22 PM;4.67;94.550;26.110;26453.000;32.500
24.03.17;2:23:37 PM;4.92;95.000;26.060;26462.000;32.500
24.03.17;2:23:52 PM;5.17;94.940;26.070;26518.000;32.500
24.03.17;2:24:07 PM;5.42;94.950;26.070;26551.000;32.500
