24.03.17/2:18 PM SW ver:OXY10v3_33
Header Ch-3
Description: Q10325CR-E14
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 98816
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;2:18:44 PM;0.00;98.570;25.690;22589.000;32.500
24.03.17;2:18:45 PM;0.02;98.360;25.710;22606.000;32.500
24.03.17;2:18:53 PM;0.15;98.240;25.720;22595.000;32.500
24.03.17;2:19:08 PM;0.40;97.970;25.750;22633.000;32.500
24.03.17;2:19:23 PM;0.65;98.470;25.700;22655.000;32.500
24.03.17;2:19:38 PM;0.90;98.410;25.700;22651.000;32.500
24.03.17;2:19:53 PM;1.15;97.700;25.780;22634.000;32.500
24.03.17;2:20:08 PM;1.40;98.140;25.730;22652.000;32.500
24.03.17;2:20:23 PM;1.65;98.370;25.710;22654.000;32.500
24.03.17;2:20:38 PM;1.90;97.660;25.780;22668.000;32.500
24.03.17;2:20:53 PM;2.15;97.740;25.770;22667.000;32.500
24.03.17;2:21:08 PM;2.40;98.850;25.660;22688.000;32.500
24.03.17;2:21:23 PM;2.65;97.090;25.840;22644.000;32.500
24.03.17;2:21:38 PM;2.90;98.220;25.720;22697.000;32.500
24.03.17;2:21:53 PM;3.15;97.540;25.790;22649.000;32.500
24.03.17;2:22:08 PM;3.40;97.770;25.770;22684.000;32.500
24.03.17;2:22:23 PM;3.65;97.540;25.790;22713.000;32.500
24.03.17;2:22:38 PM;3.90;97.720;25.780;22741.000;32.500
24.03.17;2:22:53 PM;4.15;97.590;25.790;22708.000;32.500
24.03.17;2:23:08 PM;4.40;97.640;25.780;22719.000;32.500
24.03.17;2:23:23 PM;4.65;97.570;25.790;22716.000;32.500
24.03.17;2:23:38 PM;4.90;97.020;25.850;22713.000;32.500
