24.03.17/2:18 PM SW ver:OXY10v3_33
Header Ch-4
Description: Q10325CR-DRIFT
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 94969
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;2:18:44 PM;0.00;98.190;25.730;28032.000;32.500
24.03.17;2:18:45 PM;0.02;98.150;25.730;28034.000;32.500
24.03.17;2:18:47 PM;0.04;97.810;25.770;28023.000;32.500
24.03.17;2:18:56 PM;0.20;98.010;25.740;28045.000;32.500
24.03.17;2:19:11 PM;0.45;98.500;25.690;28167.000;32.500
24.03.17;2:19:26 PM;0.70;98.270;25.720;28117.000;32.500
24.03.17;2:19:41 PM;0.95;98.250;25.720;28184.000;32.500
24.03.17;2:19:56 PM;1.20;98.310;25.710;28145.000;32.500
24.03.17;2:20:11 PM;1.45;98.700;25.670;28164.000;32.500
24.03.17;2:20:26 PM;1.70;97.970;25.750;28137.000;32.500
24.03.17;2:20:41 PM;1.95;97.850;25.760;28156.000;32.500
24.03.17;2:20:56 PM;2.20;97.740;25.770;28159.000;32.500
24.03.17;2:21:11 PM;2.45;98.330;25.710;28154.000;32.500
24.03.17;2:21:26 PM;2.70;98.650;25.680;28149.000;32.500
24.03.17;2:21:41 PM;2.95;98.220;25.720;28169.000;32.500
24.03.17;2:21:56 PM;3.20;97.840;25.760;28187.000;32.500
24.03.17;2:22:11 PM;3.45;98.000;25.750;28172.000;32.500
24.03.17;2:22:26 PM;3.70;98.480;25.700;28203.000;32.500
24.03.17;2:22:41 PM;3.95;98.510;25.690;28182.000;32.500
24.03.17;2:22:56 PM;4.20;97.650;25.780;28166.000;32.500
24.03.17;2:23:11 PM;4.45;98.030;25.740;28106.000;32.500
24.03.17;2:23:26 PM;4.70;98.750;25.670;28167.000;32.500
24.03.17;2:23:41 PM;4.95;97.530;25.790;28221.000;32.500
24.03.17;2:23:56 PM;5.20;97.650;25.780;28220.000;32.500
24.03.17;2:24:11 PM;5.45;98.450;25.700;28217.000;32.500
24.03.17;2:24:26 PM;5.70;97.880;25.760;28233.000;32.500
24.03.17;2:24:41 PM;5.95;97.050;25.850;28237.000;32.500
24.03.17;2:24:56 PM;6.20;97.950;25.750;28207.000;32.500
24.03.17;2:25:11 PM;6.45;98.370;25.710;28252.000;32.500
24.03.17;2:25:26 PM;6.70;97.490;25.800;28228.000;32.500
24.03.17;2:25:41 PM;6.95;97.710;25.780;28228.000;32.500
24.03.17;2:25:56 PM;7.20;97.930;25.750;28252.000;32.500
24.03.17;2:26:11 PM;7.45;98.470;25.700;28243.000;32.500
24.03.17;2:26:26 PM;7.70;97.120;25.840;28269.000;32.500
24.03.17;2:26:41 PM;7.95;97.840;25.760;28264.000;32.500
24.03.17;2:26:56 PM;8.20;97.930;25.750;28261.000;32.500
24.03.17;2:27:11 PM;8.45;97.370;25.810;28272.000;32.500
24.03.17;2:27:26 PM;8.70;97.470;25.800;28262.000;32.500
24.03.17;2:27:41 PM;8.95;97.950;25.750;28271.000;32.500
24.03.17;2:27:56 PM;9.20;97.670;25.780;28261.000;32.500
24.03.17;2:28:11 PM;9.45;97.560;25.790;28285.000;32.500
24.03.17;2:28:26 PM;9.70;98.270;25.720;28264.000;32.500
24.03.17;2:28:41 PM;9.95;97.840;25.760;28285.000;32.500
24.03.17;2:28:56 PM;10.20;97.670;25.780;28270.000;32.500
24.03.17;2:29:11 PM;10.45;97.550;25.790;28281.000;32.500
24.03.17;2:29:26 PM;10.70;97.230;25.830;28279.000;32.500
24.03.17;2:29:41 PM;10.95;97.400;25.810;28296.000;32.500
24.03.17;2:29:56 PM;11.20;97.480;25.800;28284.000;32.500
24.03.17;2:30:11 PM;11.45;97.360;25.810;28290.000;32.500
24.03.17;2:30:26 PM;11.70;97.230;25.830;28288.000;32.500
24.03.17;2:30:41 PM;11.95;97.330;25.820;28295.000;32.500
24.03.17;2:30:56 PM;12.20;97.580;25.790;28286.000;32.500
24.03.17;2:31:11 PM;12.45;97.610;25.790;28264.000;32.500
24.03.17;2:31:26 PM;12.70;97.230;25.830;28297.000;32.500
24.03.17;2:31:41 PM;12.95;97.600;25.790;28286.000;32.500
24.03.17;2:31:56 PM;13.20;97.510;25.800;27747.000;32.500
24.03.17;2:32:11 PM;13.45;96.950;25.860;28276.000;32.500
24.03.17;2:32:26 PM;13.70;97.290;25.820;28303.000;32.500
24.03.17;2:32:41 PM;13.95;97.240;25.830;28292.000;32.500
24.03.17;2:32:56 PM;14.20;97.070;25.840;28287.000;32.500
