24.03.17/2:18 PM SW ver:OXY10v3_33
Header Ch-5
Description: Q10325CR-F35
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 98921
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;2:18:46 PM;0.00;96.770;25.880;37993.000;32.500
24.03.17;2:18:47 PM;0.02;96.830;25.870;37972.000;32.500
24.03.17;2:18:48 PM;0.04;96.870;25.860;37971.000;32.500
24.03.17;2:18:58 PM;0.20;96.730;25.880;37978.000;32.500
24.03.17;2:19:13 PM;0.46;96.840;25.870;38015.000;32.500
24.03.17;2:19:28 PM;0.70;96.090;25.950;38065.000;32.500
24.03.17;2:19:43 PM;0.96;96.650;25.890;38055.000;32.500
24.03.17;2:19:58 PM;1.20;96.660;25.890;38074.000;32.500
24.03.17;2:20:13 PM;1.45;96.440;25.910;38071.000;32.500
24.03.17;2:20:28 PM;1.70;96.370;25.920;38097.000;32.500
24.03.17;2:20:43 PM;1.95;96.160;25.940;38114.000;32.500
24.03.17;2:20:58 PM;2.20;96.520;25.900;38096.000;32.500
24.03.17;2:21:13 PM;2.45;95.720;25.990;38088.000;32.500
24.03.17;2:21:28 PM;2.70;96.060;25.950;38134.000;32.500
24.03.17;2:21:43 PM;2.95;96.080;25.950;38169.000;32.500
24.03.17;2:21:58 PM;3.20;96.180;25.940;38114.000;32.500
24.03.17;2:22:13 PM;3.45;96.190;25.940;38139.000;32.500
24.03.17;2:22:28 PM;3.70;96.040;25.950;38171.000;32.500
24.03.17;2:22:43 PM;3.95;95.830;25.980;38164.000;32.500
24.03.17;2:22:58 PM;4.20;95.580;26.000;38166.000;32.500
24.03.17;2:23:13 PM;4.45;95.400;26.020;38169.000;32.500
24.03.17;2:23:28 PM;4.71;95.860;25.970;38197.000;32.500
24.03.17;2:23:43 PM;4.96;95.270;26.040;38229.000;32.500
24.03.17;2:23:58 PM;5.21;95.790;25.980;38211.000;32.500
24.03.17;2:24:13 PM;5.45;95.190;26.040;38206.000;32.500
24.03.17;2:24:28 PM;5.70;95.050;26.060;38253.000;32.500
24.03.17;2:24:43 PM;5.95;95.290;26.030;38253.000;32.500
24.03.17;2:24:58 PM;6.20;95.040;26.060;38260.000;32.500
24.03.17;2:25:13 PM;6.45;95.050;26.060;38284.000;32.500
24.03.17;2:25:28 PM;6.70;94.480;26.120;38269.000;32.500
24.03.17;2:25:43 PM;6.95;94.740;26.090;38303.000;32.500
24.03.17;2:25:58 PM;7.20;94.610;26.110;38330.000;32.500
24.03.17;2:26:13 PM;7.45;95.040;26.060;38333.000;32.500
24.03.17;2:26:28 PM;7.70;94.700;26.100;38352.000;32.500
24.03.17;2:26:43 PM;7.95;94.950;26.070;38353.000;32.500
24.03.17;2:26:58 PM;8.20;94.600;26.110;38350.000;32.500
24.03.17;2:27:13 PM;8.45;94.330;26.140;38402.000;32.500
24.03.17;2:27:28 PM;8.70;94.600;26.110;38416.000;32.500
24.03.17;2:27:43 PM;8.95;94.310;26.140;38426.000;32.500
24.03.17;2:27:58 PM;9.20;94.360;26.130;38462.000;32.500
24.03.17;2:28:13 PM;9.45;94.350;26.140;38443.000;32.500
24.03.17;2:28:28 PM;9.70;94.360;26.130;38471.000;32.500
24.03.17;2:28:43 PM;9.95;94.070;26.170;38473.000;32.500
24.03.17;2:28:58 PM;10.20;93.940;26.180;38478.000;32.500
24.03.17;2:29:13 PM;10.45;93.680;26.210;38520.000;32.500
24.03.17;2:29:28 PM;10.70;94.210;26.150;38518.000;32.500
24.03.17;2:29:43 PM;10.95;93.780;26.200;38550.000;32.500
24.03.17;2:29:58 PM;11.20;93.860;26.190;38591.000;32.500
24.03.17;2:30:13 PM;11.45;93.780;26.200;38601.000;32.500
24.03.17;2:30:28 PM;11.70;93.400;26.240;38602.000;32.500
24.03.17;2:30:43 PM;11.95;93.230;26.260;38591.000;32.500
24.03.17;2:30:58 PM;12.20;93.520;26.230;38623.000;32.500
24.03.17;2:31:13 PM;12.45;93.200;26.260;38638.000;32.500
24.03.17;2:31:28 PM;12.70;93.340;26.250;38682.000;32.500
24.03.17;2:31:43 PM;12.95;93.550;26.220;38674.000;32.500
24.03.17;2:31:58 PM;13.20;93.280;26.250;38669.000;32.500
24.03.17;2:32:13 PM;13.45;93.100;26.270;38695.000;32.500
24.03.17;2:32:28 PM;13.70;92.980;26.290;38709.000;32.500
24.03.17;2:32:43 PM;13.95;92.740;26.310;38720.000;32.500
24.03.17;2:32:58 PM;14.20;92.730;26.310;38746.000;32.500
24.03.17;2:33:13 PM;14.45;92.450;26.350;38755.000;32.500
24.03.17;2:33:28 PM;14.70;92.780;26.310;38805.000;32.500
24.03.17;2:33:43 PM;14.96;92.490;26.340;38813.000;32.500
24.03.17;2:33:58 PM;15.21;92.580;26.330;38820.000;32.500
24.03.17;2:34:13 PM;15.45;92.270;26.370;38817.000;32.500
24.03.17;2:34:28 PM;15.70;92.340;26.360;38867.000;32.500
24.03.17;2:34:43 PM;15.95;92.390;26.350;38857.000;32.500
24.03.17;2:34:58 PM;16.21;92.540;26.340;38865.000;32.500
24.03.17;2:35:13 PM;16.45;92.390;26.350;38914.000;32.500
24.03.17;2:35:28 PM;16.70;92.120;26.380;38900.000;32.500
24.03.17;2:35:43 PM;16.95;92.040;26.390;38896.000;32.500
24.03.17;2:35:58 PM;17.20;92.030;26.390;38882.000;32.500
24.03.17;2:36:13 PM;17.46;91.750;26.420;38940.000;32.500
24.03.17;2:36:28 PM;17.70;92.160;26.380;38937.000;32.500
24.03.17;2:36:43 PM;17.96;91.820;26.420;38947.000;32.500
24.03.17;2:36:58 PM;18.21;92.110;26.380;38963.000;32.500
24.03.17;2:37:13 PM;18.46;91.810;26.420;38984.000;32.500
24.03.17;2:37:28 PM;18.70;91.720;26.430;39023.000;32.500
24.03.17;2:37:43 PM;18.95;91.190;26.490;39031.000;32.500
24.03.17;2:37:58 PM;19.20;91.380;26.470;39034.000;32.500
24.03.17;2:38:13 PM;19.45;91.670;26.430;39065.000;32.500
24.03.17;2:38:28 PM;19.70;91.360;26.470;39076.000;32.500
