24.03.17/2:18 PM SW ver:OXY10v3_33
Header Ch-6
Description: Q10325CR-H14

IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 97889
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;2:18:48 PM;0.00;98.700;25.670;27262.000;32.500
24.03.17;2:18:49 PM;0.02;98.190;25.730;27250.000;32.500
24.03.17;2:18:50 PM;0.04;98.210;25.720;27233.000;32.500
24.03.17;2:19:00 PM;0.21;98.020;25.740;27235.000;32.500
24.03.17;2:19:15 PM;0.46;98.230;25.720;27322.000;32.500
24.03.17;2:19:30 PM;0.71;98.150;25.730;27351.000;32.500
24.03.17;2:19:45 PM;0.96;98.360;25.710;27346.000;32.500
24.03.17;2:20:00 PM;1.21;97.240;25.830;27341.000;32.500
24.03.17;2:20:15 PM;1.46;97.820;25.760;27473.000;32.500
24.03.17;2:20:30 PM;1.71;97.610;25.790;27407.000;32.500
24.03.17;2:20:45 PM;1.96;97.120;25.840;27493.000;32.500
24.03.17;2:21:00 PM;2.21;97.330;25.820;27531.000;32.500
24.03.17;2:21:15 PM;2.46;95.620;26.000;27504.000;32.500
24.03.17;2:21:30 PM;2.71;96.170;25.940;27540.000;32.500
24.03.17;2:21:45 PM;2.96;95.700;25.990;27536.000;32.500
24.03.17;2:22:00 PM;3.21;96.860;25.870;27558.000;32.500
24.03.17;2:22:15 PM;3.46;95.060;26.060;27615.000;32.500
24.03.17;2:22:30 PM;3.71;96.400;25.910;27582.000;32.500
24.03.17;2:22:45 PM;3.96;95.980;25.960;27621.000;32.500
24.03.17;2:23:00 PM;4.21;96.100;25.950;27594.000;32.500
24.03.17;2:23:15 PM;4.46;95.410;26.020;27713.000;32.500
24.03.17;2:23:30 PM;4.71;95.590;26.000;27688.000;32.500
24.03.17;2:23:45 PM;4.96;95.260;26.040;27718.000;32.500
24.03.17;2:24:00 PM;5.21;94.780;26.090;27733.000;32.500
24.03.17;2:24:15 PM;5.46;95.240;26.040;27765.000;32.500
24.03.17;2:24:30 PM;5.71;95.850;25.970;27797.000;32.500
24.03.17;2:24:45 PM;5.96;94.770;26.090;27889.000;32.500
24.03.17;2:25:00 PM;6.21;95.230;26.040;27890.000;32.500
24.03.17;2:25:15 PM;6.46;94.330;26.140;27918.000;32.500
24.03.17;2:25:30 PM;6.71;94.020;26.170;27942.000;32.500
24.03.17;2:25:45 PM;6.96;92.830;26.300;27967.000;32.500
24.03.17;2:26:00 PM;7.21;94.150;26.160;28020.000;32.500
24.03.17;2:26:15 PM;7.46;93.080;26.280;27998.000;32.500
24.03.17;2:26:30 PM;7.71;93.040;26.280;28031.000;32.500
24.03.17;2:26:45 PM;7.96;93.960;26.180;28111.000;32.500
24.03.17;2:27:00 PM;8.21;93.870;26.190;28141.000;32.500
24.03.17;2:27:15 PM;8.46;93.160;26.270;28131.000;32.500
