24.03.17/2:18 PM SW ver:OXY10v3_33
Header Ch-8
Description: Q10325CR-J32

IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 95528
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;2:18:49 PM;0.00;97.230;25.830;27938.000;32.500
24.03.17;2:18:51 PM;0.03;98.050;25.740;27937.000;32.500
24.03.17;2:18:52 PM;0.04;97.580;25.790;27940.000;32.500
24.03.17;2:19:02 PM;0.21;97.120;25.840;27926.000;32.500
24.03.17;2:19:17 PM;0.46;97.460;25.800;27939.000;32.500
24.03.17;2:19:32 PM;0.71;96.970;25.850;27960.000;32.500
24.03.17;2:19:47 PM;0.96;98.050;25.740;27979.000;32.500
24.03.17;2:20:02 PM;1.21;97.190;25.830;28004.000;32.500
24.03.17;2:20:17 PM;1.46;97.380;25.810;28014.000;32.500
24.03.17;2:20:32 PM;1.71;97.520;25.800;28005.000;32.500
24.03.17;2:20:47 PM;1.96;96.830;25.870;28034.000;32.500
24.03.17;2:21:02 PM;2.21;96.820;25.870;28054.000;32.500
24.03.17;2:21:17 PM;2.46;96.350;25.920;28036.000;32.500
24.03.17;2:21:32 PM;2.71;96.370;25.920;28074.000;32.500
24.03.17;2:21:47 PM;2.96;96.560;25.900;28031.000;32.500
24.03.17;2:22:02 PM;3.21;96.560;25.900;28098.000;32.500
24.03.17;2:22:17 PM;3.46;96.450;25.910;28126.000;32.500
24.03.17;2:22:32 PM;3.71;95.720;25.990;27965.000;32.500
24.03.17;2:22:47 PM;3.96;96.310;25.920;28114.000;32.500
24.03.17;2:23:02 PM;4.21;96.000;25.960;27869.000;32.500
24.03.17;2:23:17 PM;4.46;95.590;26.000;28145.000;32.500
24.03.17;2:23:32 PM;4.71;95.790;25.980;27795.000;32.500
24.03.17;2:23:47 PM;4.96;95.610;26.000;27826.000;32.500
24.03.17;2:24:02 PM;5.21;95.390;26.020;27880.000;32.500
24.03.17;2:24:17 PM;5.46;95.710;25.990;27910.000;32.500
24.03.17;2:24:32 PM;5.71;95.840;25.970;28180.000;32.500
24.03.17;2:24:47 PM;5.96;95.810;25.980;28211.000;32.500
24.03.17;2:25:02 PM;6.21;95.380;26.020;28222.000;32.500
24.03.17;2:25:17 PM;6.46;95.410;26.020;28267.000;32.500
24.03.17;2:25:32 PM;6.71;95.560;26.000;28281.000;32.500
24.03.17;2:25:47 PM;6.96;95.110;26.050;28298.000;32.500
24.03.17;2:26:02 PM;7.21;95.140;26.050;28325.000;32.500
24.03.17;2:26:17 PM;7.46;94.890;26.080;28322.000;32.500
24.03.17;2:26:32 PM;7.71;95.070;26.060;28325.000;32.500
24.03.17;2:26:47 PM;7.96;94.910;26.070;28355.000;32.500
24.03.17;2:27:02 PM;8.21;94.850;26.080;28363.000;32.500
24.03.17;2:27:17 PM;8.46;94.600;26.110;28396.000;32.500
24.03.17;2:27:32 PM;8.71;94.270;26.140;28400.000;32.500
24.03.17;2:27:47 PM;8.96;93.880;26.190;28437.000;32.500
24.03.17;2:28:02 PM;9.21;93.810;26.190;28453.000;32.500
24.03.17;2:28:17 PM;9.46;93.760;26.200;28440.000;32.500
24.03.17;2:28:32 PM;9.71;93.990;26.170;28461.000;32.500
24.03.17;2:28:47 PM;9.96;94.450;26.120;28454.000;32.500
24.03.17;2:29:02 PM;10.21;93.430;26.240;28468.000;32.500
24.03.17;2:29:17 PM;10.46;93.960;26.180;28473.000;32.500
24.03.17;2:29:32 PM;10.71;93.380;26.240;28490.000;32.500
