24.03.17/1:03 PM SW ver:OXY10v3_33
Header Ch-1
Description: Q1035C-P-B26
IDENTIFICATION
PHIboard number   : v1231473
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 98479
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 005400
100.00%a.s.phase 2: 27.68 at 020.0°C amp 007300
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;1:03:50 PM;0.00;98.410;25.310;19889.000;35.000
24.03.17;1:03:51 PM;0.02;98.550;25.290;19768.000;35.000
24.03.17;1:03:52 PM;0.03;97.710;25.380;19826.000;35.000
24.03.17;1:03:53 PM;0.05;98.100;25.340;19845.000;35.000
24.03.17;1:03:54 PM;0.07;98.120;25.340;19831.000;35.000
24.03.17;1:03:55 PM;0.08;98.150;25.330;19813.000;35.000
24.03.17;1:03:56 PM;0.10;98.340;25.310;19862.000;35.000
24.03.17;1:03:57 PM;0.12;97.050;25.450;19899.000;35.000
24.03.17;1:03:59 PM;0.14;97.520;25.400;19910.000;35.000
24.03.17;1:04:00 PM;0.16;98.280;25.320;19838.000;35.000
24.03.17;1:04:01 PM;0.18;97.190;25.430;19856.000;35.000
24.03.17;1:04:02 PM;0.19;96.240;25.530;19848.000;35.000
24.03.17;1:04:03 PM;0.21;96.620;25.490;19884.000;35.000
24.03.17;1:04:04 PM;0.23;98.270;25.320;19924.000;35.000
24.03.17;1:04:05 PM;0.25;97.350;25.410;19861.000;35.000
24.03.17;1:04:06 PM;0.27;98.140;25.330;19930.000;35.000
24.03.17;1:04:11 PM;0.34;98.350;25.310;19843.000;35.000
24.03.17;1:04:26 PM;0.59;97.220;25.430;19877.000;35.000
24.03.17;1:04:41 PM;0.84;98.560;25.290;19374.000;35.000
24.03.17;1:04:56 PM;1.09;96.860;25.470;19243.000;35.000
24.03.17;1:05:10 PM;1.34;97.540;25.390;19410.000;35.000
24.03.17;1:05:26 PM;1.59;96.310;25.520;19565.000;35.000
24.03.17;1:05:41 PM;1.84;95.910;25.570;19387.000;35.000
24.03.17;1:05:56 PM;2.09;97.070;25.440;20018.000;35.000
24.03.17;1:06:11 PM;2.34;95.030;25.660;20031.000;35.000
24.03.17;1:06:25 PM;2.59;95.560;25.600;20102.000;35.000
24.03.17;1:06:41 PM;2.84;95.130;25.650;20212.000;35.000
24.03.17;1:06:55 PM;3.09;95.360;25.620;20109.000;35.000
24.03.17;1:07:11 PM;3.34;95.340;25.630;20074.000;35.000
24.03.17;1:07:25 PM;3.59;95.270;25.630;20126.000;35.000
24.03.17;1:07:40 PM;3.84;94.460;25.720;20207.000;35.000
24.03.17;1:07:55 PM;4.09;95.690;25.590;20242.000;35.000
24.03.17;1:08:11 PM;4.34;95.030;25.660;20300.000;35.000
24.03.17;1:08:25 PM;4.59;94.500;25.720;20308.000;35.000
24.03.17;1:08:41 PM;4.84;94.160;25.750;20344.000;35.000
24.03.17;1:08:56 PM;5.09;94.180;25.750;20331.000;35.000
24.03.17;1:09:10 PM;5.34;93.130;25.870;20421.000;35.000
24.03.17;1:09:25 PM;5.59;95.870;25.570;20079.000;35.000
24.03.17;1:09:41 PM;5.84;95.740;25.580;19976.000;35.000
24.03.17;1:09:56 PM;6.09;98.450;25.300;19926.000;35.000
24.03.17;1:10:11 PM;6.34;96.990;25.450;19885.000;35.000
24.03.17;1:10:26 PM;6.59;97.550;25.390;19888.000;35.000
24.03.17;1:10:41 PM;6.84;98.160;25.330;19859.000;35.000
24.03.17;1:10:56 PM;7.09;99.190;25.230;19840.000;35.000
24.03.17;1:11:10 PM;7.34;97.520;25.400;19923.000;35.000
24.03.17;1:11:25 PM;7.59;97.910;25.360;19922.000;35.000
24.03.17;1:11:41 PM;7.84;97.930;25.350;19881.000;35.000
24.03.17;1:11:56 PM;8.09;98.580;25.290;19900.000;35.000
24.03.17;1:12:11 PM;8.34;98.490;25.300;19868.000;35.000
24.03.17;1:12:26 PM;8.59;97.740;25.370;19936.000;35.000
24.03.17;1:12:40 PM;8.84;97.120;25.440;19921.000;35.000
24.03.17;1:12:56 PM;9.09;97.670;25.380;19826.000;35.000
24.03.17;1:13:11 PM;9.34;96.580;25.500;19879.000;35.000
24.03.17;1:13:26 PM;9.59;97.730;25.380;19909.000;35.000
24.03.17;1:13:40 PM;9.84;96.030;25.550;19988.000;35.000
24.03.17;1:13:56 PM;10.09;98.100;25.340;20002.000;35.000
24.03.17;1:14:11 PM;10.34;97.910;25.360;19878.000;35.000
24.03.17;1:14:26 PM;10.59;98.510;25.290;19834.000;35.000
24.03.17;1:14:41 PM;10.84;97.590;25.390;19859.000;35.000
24.03.17;1:14:55 PM;11.09;96.950;25.460;19852.000;35.000
24.03.17;1:15:10 PM;11.34;96.460;25.510;19917.000;35.000
