24.03.17/1:03 PM SW ver:OXY10v3_33
Header Ch-2
Description: Q1035C-P-C5
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 95444
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;1:03:51 PM;0.00;97.610;25.390;25882.000;35.000
24.03.17;1:03:52 PM;0.02;96.600;25.490;25937.000;35.000
24.03.17;1:03:53 PM;0.03;97.320;25.420;25893.000;35.000
24.03.17;1:03:54 PM;0.05;96.710;25.480;25917.000;35.000
24.03.17;1:03:55 PM;0.07;96.560;25.500;25914.000;35.000
24.03.17;1:03:56 PM;0.08;97.840;25.360;25847.000;35.000
24.03.17;1:03:57 PM;0.10;97.750;25.370;25793.000;35.000
24.03.17;1:03:58 PM;0.12;97.500;25.400;25906.000;35.000
24.03.17;1:03:59 PM;0.14;97.060;25.440;25929.000;35.000
24.03.17;1:04:00 PM;0.16;96.050;25.550;25925.000;35.000
24.03.17;1:04:01 PM;0.18;97.240;25.430;25786.000;35.000
24.03.17;1:04:03 PM;0.20;98.340;25.310;25861.000;35.000
24.03.17;1:04:04 PM;0.21;96.080;25.550;25847.000;35.000
24.03.17;1:04:05 PM;0.23;97.780;25.370;25945.000;35.000
24.03.17;1:04:06 PM;0.25;97.260;25.420;25913.000;35.000
24.03.17;1:04:07 PM;0.27;97.370;25.410;25908.000;35.000
24.03.17;1:04:11 PM;0.34;98.510;25.290;25837.000;35.000
24.03.17;1:04:27 PM;0.60;96.860;25.470;25891.000;35.000
24.03.17;1:04:41 PM;0.84;97.820;25.370;25766.000;35.000
24.03.17;1:04:57 PM;1.10;96.640;25.490;25880.000;35.000
24.03.17;1:05:11 PM;1.34;97.030;25.450;25866.000;35.000
24.03.17;1:05:26 PM;1.59;97.570;25.390;25870.000;35.000
24.03.17;1:05:41 PM;1.84;97.490;25.400;25914.000;35.000
24.03.17;1:05:56 PM;2.09;96.760;25.480;25903.000;35.000
24.03.17;1:06:11 PM;2.34;96.840;25.470;25852.000;35.000
24.03.17;1:06:26 PM;2.59;96.030;25.550;26024.000;35.000
24.03.17;1:06:41 PM;2.84;96.330;25.520;25970.000;35.000
24.03.17;1:06:56 PM;3.09;96.050;25.550;26072.000;35.000
24.03.17;1:07:11 PM;3.34;96.350;25.520;26038.000;35.000
24.03.17;1:07:26 PM;3.59;96.060;25.550;26061.000;35.000
24.03.17;1:07:41 PM;3.84;96.210;25.530;26083.000;35.000
24.03.17;1:07:56 PM;4.09;95.970;25.560;26115.000;35.000
24.03.17;1:08:11 PM;4.34;95.730;25.590;26174.000;35.000
24.03.17;1:08:26 PM;4.59;96.510;25.500;26094.000;35.000
24.03.17;1:08:41 PM;4.84;95.770;25.580;26107.000;35.000
24.03.17;1:08:56 PM;5.09;96.210;25.530;26116.000;35.000
24.03.17;1:09:11 PM;5.34;96.210;25.530;26005.000;35.000
24.03.17;1:09:26 PM;5.59;95.830;25.570;25980.000;35.000
24.03.17;1:09:41 PM;5.84;95.820;25.580;25993.000;35.000
24.03.17;1:09:56 PM;6.09;95.550;25.600;26033.000;35.000
24.03.17;1:10:11 PM;6.34;96.100;25.550;25985.000;35.000
24.03.17;1:10:26 PM;6.59;97.090;25.440;25968.000;35.000
24.03.17;1:10:41 PM;6.84;97.170;25.430;25985.000;35.000
24.03.17;1:10:56 PM;7.09;97.360;25.410;25892.000;35.000
24.03.17;1:11:11 PM;7.34;96.560;25.500;25970.000;35.000
24.03.17;1:11:26 PM;7.59;96.240;25.530;25963.000;35.000
24.03.17;1:11:41 PM;7.84;96.570;25.500;25985.000;35.000
24.03.17;1:11:56 PM;8.09;96.500;25.500;26023.000;35.000
24.03.17;1:12:11 PM;8.34;96.970;25.450;25934.000;35.000
24.03.17;1:12:26 PM;8.59;96.100;25.550;25962.000;35.000
24.03.17;1:12:41 PM;8.84;95.720;25.590;25905.000;35.000
24.03.17;1:12:56 PM;9.09;95.900;25.570;25957.000;35.000
24.03.17;1:13:11 PM;9.34;97.420;25.410;25957.000;35.000
24.03.17;1:13:26 PM;9.59;95.810;25.580;25990.000;35.000
24.03.17;1:13:41 PM;9.84;96.680;25.480;25920.000;35.000
24.03.17;1:13:56 PM;10.09;96.660;25.490;25914.000;35.000
24.03.17;1:14:11 PM;10.34;96.030;25.550;25964.000;35.000
24.03.17;1:14:26 PM;10.59;96.930;25.460;25923.000;35.000
24.03.17;1:14:41 PM;10.84;96.730;25.480;25981.000;35.000
24.03.17;1:14:56 PM;11.09;96.330;25.520;25877.000;35.000
24.03.17;1:15:11 PM;11.34;97.350;25.410;25873.000;35.000
