24.03.17/1:04 PM SW ver:OXY10v3_33
Header Ch-3
Description: Q1035C-P-E19
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 98816
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;1:04:08 PM;0.00;97.010;25.450;23695.000;35.000
24.03.17;1:04:09 PM;0.02;97.810;25.370;23682.000;35.000
24.03.17;1:04:10 PM;0.04;97.650;25.380;23711.000;35.000
24.03.17;1:04:12 PM;0.07;97.350;25.410;23748.000;35.000
24.03.17;1:04:13 PM;0.09;96.370;25.520;23852.000;35.000
24.03.17;1:04:14 PM;0.11;97.010;25.450;23731.000;35.000
24.03.17;1:04:15 PM;0.13;98.740;25.270;23680.000;35.000
24.03.17;1:04:16 PM;0.15;96.840;25.470;23736.000;35.000
24.03.17;1:04:17 PM;0.16;97.080;25.440;23724.000;35.000
24.03.17;1:04:18 PM;0.18;98.530;25.290;23679.000;35.000
24.03.17;1:04:20 PM;0.20;97.030;25.450;23616.000;35.000
24.03.17;1:04:21 PM;0.22;95.770;25.580;23765.000;35.000
24.03.17;1:04:22 PM;0.24;97.320;25.420;23829.000;35.000
24.03.17;1:04:23 PM;0.26;96.380;25.520;23790.000;35.000
24.03.17;1:04:24 PM;0.27;97.940;25.350;23788.000;35.000
24.03.17;1:04:25 PM;0.29;98.170;25.330;23680.000;35.000
24.03.17;1:04:26 PM;0.31;97.360;25.410;23669.000;35.000
24.03.17;1:04:27 PM;0.33;97.270;25.420;23663.000;35.000
24.03.17;1:04:42 PM;0.57;96.840;25.470;23531.000;35.000
24.03.17;1:04:57 PM;0.83;97.090;25.440;23560.000;35.000
24.03.17;1:05:12 PM;1.07;97.190;25.430;23577.000;35.000
24.03.17;1:05:27 PM;1.32;96.670;25.490;23672.000;35.000
24.03.17;1:05:42 PM;1.57;96.840;25.470;23723.000;35.000
24.03.17;1:05:57 PM;1.82;96.570;25.500;23813.000;35.000
24.03.17;1:06:12 PM;2.07;97.450;25.400;23698.000;35.000
24.03.17;1:06:27 PM;2.32;97.220;25.430;23668.000;35.000
24.03.17;1:06:42 PM;2.57;96.840;25.470;23687.000;35.000
24.03.17;1:06:57 PM;2.82;97.530;25.400;23735.000;35.000
24.03.17;1:07:12 PM;3.07;96.610;25.490;23691.000;35.000
24.03.17;1:07:27 PM;3.32;95.270;25.630;23498.000;35.000
24.03.17;1:07:42 PM;3.57;96.130;25.540;23163.000;35.000
24.03.17;1:07:57 PM;3.82;96.700;25.480;23107.000;35.000
24.03.17;1:08:12 PM;4.07;95.570;25.600;22949.000;35.000
24.03.17;1:08:27 PM;4.32;96.250;25.530;22901.000;35.000
24.03.17;1:08:42 PM;4.57;97.820;25.370;22966.000;35.000
24.03.17;1:08:57 PM;4.82;96.170;25.540;23108.000;35.000
24.03.17;1:09:12 PM;5.07;97.370;25.410;22996.000;35.000
24.03.17;1:09:27 PM;5.32;97.240;25.430;23029.000;35.000
24.03.17;1:09:42 PM;5.57;96.590;25.490;23011.000;35.000
24.03.17;1:09:57 PM;5.82;96.900;25.460;22843.000;35.000
24.03.17;1:10:12 PM;6.07;98.180;25.330;22910.000;35.000
24.03.17;1:10:27 PM;6.32;97.270;25.420;22894.000;35.000
24.03.17;1:10:42 PM;6.57;96.420;25.510;22958.000;35.000
24.03.17;1:10:57 PM;6.82;97.070;25.440;22794.000;35.000
24.03.17;1:11:12 PM;7.07;97.410;25.410;22901.000;35.000
24.03.17;1:11:27 PM;7.32;97.640;25.380;22853.000;35.000
24.03.17;1:11:42 PM;7.57;96.340;25.520;22867.000;35.000
24.03.17;1:11:57 PM;7.82;96.930;25.460;22962.000;35.000
24.03.17;1:12:12 PM;8.07;96.880;25.460;22949.000;35.000
24.03.17;1:12:27 PM;8.32;96.110;25.540;22941.000;35.000
24.03.17;1:12:42 PM;8.57;96.520;25.500;22826.000;35.000
24.03.17;1:12:57 PM;8.82;97.210;25.430;22820.000;35.000
24.03.17;1:13:12 PM;9.07;96.720;25.480;22820.000;35.000
24.03.17;1:13:27 PM;9.32;96.130;25.540;22864.000;35.000
24.03.17;1:13:42 PM;9.57;97.460;25.400;22918.000;35.000
24.03.17;1:13:57 PM;9.82;96.940;25.460;22897.000;35.000
24.03.17;1:14:12 PM;10.07;97.330;25.420;22855.000;35.000
24.03.17;1:14:27 PM;10.32;97.270;25.420;22856.000;35.000
24.03.17;1:14:42 PM;10.57;98.120;25.340;22762.000;35.000
24.03.17;1:14:57 PM;10.82;97.460;25.400;22876.000;35.000
24.03.17;1:15:12 PM;11.07;97.600;25.390;22869.000;35.000
