24.03.17/1:04 PM SW ver:OXY10v3_33
Header Ch-4
Description: Q1035C-P-DRIFT
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 94969
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;1:04:08 PM;0.00;98.400;25.310;27772.000;35.000
24.03.17;1:04:09 PM;0.02;98.310;25.320;27734.000;35.000
24.03.17;1:04:10 PM;0.04;98.650;25.280;27699.000;35.000
24.03.17;1:04:13 PM;0.07;96.240;25.530;27841.000;35.000
24.03.17;1:04:14 PM;0.09;96.420;25.510;27835.000;35.000
24.03.17;1:04:15 PM;0.11;97.440;25.410;27654.000;35.000
24.03.17;1:04:16 PM;0.13;97.190;25.430;27651.000;35.000
24.03.17;1:04:17 PM;0.15;96.030;25.550;27859.000;35.000
24.03.17;1:04:18 PM;0.16;97.800;25.370;27706.000;35.000
24.03.17;1:04:19 PM;0.18;98.690;25.280;27644.000;35.000
24.03.17;1:04:20 PM;0.20;96.380;25.520;27764.000;35.000
24.03.17;1:04:21 PM;0.22;97.860;25.360;27803.000;35.000
24.03.17;1:04:22 PM;0.24;97.000;25.450;27825.000;35.000
24.03.17;1:04:23 PM;0.26;97.960;25.350;27745.000;35.000
24.03.17;1:04:25 PM;0.27;97.300;25.420;27735.000;35.000
24.03.17;1:04:28 PM;0.33;97.840;25.360;27719.000;35.000
24.03.17;1:04:29 PM;0.35;96.840;25.470;27761.000;35.000
24.03.17;1:04:30 PM;0.37;95.880;25.570;27712.000;35.000
24.03.17;1:04:43 PM;0.58;97.420;25.410;27685.000;35.000
24.03.17;1:04:58 PM;0.83;97.200;25.430;27714.000;35.000
24.03.17;1:05:13 PM;1.07;96.300;25.520;27668.000;35.000
24.03.17;1:05:28 PM;1.32;96.260;25.530;27791.000;35.000
24.03.17;1:05:43 PM;1.58;96.220;25.530;27796.000;35.000
24.03.17;1:05:58 PM;1.82;97.500;25.400;27751.000;35.000
24.03.17;1:06:13 PM;2.07;97.770;25.370;27771.000;35.000
24.03.17;1:06:28 PM;2.32;97.290;25.420;27687.000;35.000
24.03.17;1:06:43 PM;2.58;96.720;25.480;27757.000;35.000
24.03.17;1:06:58 PM;2.82;96.460;25.510;27774.000;35.000
24.03.17;1:07:13 PM;3.07;96.830;25.470;27812.000;35.000
24.03.17;1:07:28 PM;3.32;96.450;25.510;27757.000;35.000
24.03.17;1:07:43 PM;3.57;96.060;25.550;27807.000;35.000
24.03.17;1:07:58 PM;3.82;97.530;25.400;27731.000;35.000
24.03.17;1:08:13 PM;4.07;97.650;25.380;27675.000;35.000
24.03.17;1:08:28 PM;4.32;97.210;25.430;27753.000;35.000
24.03.17;1:08:43 PM;4.57;96.770;25.480;27778.000;35.000
24.03.17;1:08:58 PM;4.82;96.640;25.490;27778.000;35.000
24.03.17;1:09:13 PM;5.07;97.440;25.410;27698.000;35.000
24.03.17;1:09:28 PM;5.32;97.370;25.410;27689.000;35.000
24.03.17;1:09:43 PM;5.58;97.530;25.400;27751.000;35.000
24.03.17;1:09:58 PM;5.82;97.850;25.360;27660.000;35.000
24.03.17;1:10:13 PM;6.07;97.250;25.430;27739.000;35.000
24.03.17;1:10:28 PM;6.33;97.510;25.400;27684.000;35.000
24.03.17;1:10:43 PM;6.57;97.610;25.390;27866.000;35.000
24.03.17;1:10:58 PM;6.83;96.920;25.460;27803.000;35.000
24.03.17;1:11:13 PM;7.08;96.620;25.490;27855.000;35.000
24.03.17;1:11:28 PM;7.32;96.240;25.530;27777.000;35.000
24.03.17;1:11:43 PM;7.57;95.940;25.560;27814.000;35.000
24.03.17;1:11:58 PM;7.82;96.900;25.460;27808.000;35.000
24.03.17;1:12:13 PM;8.07;97.610;25.390;27723.000;35.000
24.03.17;1:12:28 PM;8.32;97.290;25.420;27744.000;35.000
24.03.17;1:12:43 PM;8.57;98.420;25.300;27718.000;35.000
24.03.17;1:12:58 PM;8.82;98.110;25.340;27636.000;35.000
24.03.17;1:13:13 PM;9.07;97.590;25.390;27571.000;35.000
24.03.17;1:13:28 PM;9.32;97.160;25.430;27767.000;35.000
24.03.17;1:13:43 PM;9.57;97.770;25.370;27687.000;35.000
24.03.17;1:13:58 PM;9.82;97.530;25.400;27649.000;35.000
24.03.17;1:14:13 PM;10.07;98.030;25.340;27627.000;35.000
24.03.17;1:14:28 PM;10.33;98.260;25.320;27710.000;35.000
24.03.17;1:14:43 PM;10.57;97.330;25.420;27640.000;35.000
24.03.17;1:14:58 PM;10.83;96.720;25.480;27682.000;35.000
24.03.17;1:15:13 PM;11.07;97.160;25.430;27785.000;35.000
