24.03.17/1:04 PM SW ver:OXY10v3_33
Header Ch-5
Description: Q1035C-P-F27
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 98921
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;1:04:28 PM;0.00;97.270;25.420;37601.000;35.000
24.03.17;1:04:29 PM;0.02;97.620;25.390;37662.000;35.000
24.03.17;1:04:31 PM;0.04;96.730;25.480;37611.000;35.000
24.03.17;1:04:32 PM;0.06;97.760;25.370;37645.000;35.000
24.03.17;1:04:33 PM;0.08;97.430;25.410;37653.000;35.000
24.03.17;1:04:34 PM;0.09;97.250;25.430;37709.000;35.000
24.03.17;1:04:35 PM;0.11;96.710;25.480;37704.000;35.000
24.03.17;1:04:36 PM;0.13;96.970;25.450;37720.000;35.000
24.03.17;1:04:37 PM;0.15;97.290;25.420;37677.000;35.000
24.03.17;1:04:39 PM;0.17;97.090;25.440;37558.000;35.000
24.03.17;1:04:40 PM;0.19;97.140;25.440;37513.000;35.000
24.03.17;1:04:42 PM;0.23;97.220;25.430;37606.000;35.000
24.03.17;1:04:44 PM;0.25;96.990;25.450;37605.000;35.000
24.03.17;1:04:45 PM;0.27;97.810;25.370;37612.000;35.000
24.03.17;1:04:46 PM;0.29;96.620;25.490;37678.000;35.000
24.03.17;1:04:47 PM;0.31;97.690;25.380;37657.000;35.000
24.03.17;1:04:48 PM;0.33;96.640;25.490;37651.000;35.000
24.03.17;1:04:49 PM;0.35;97.560;25.390;37617.000;35.000
24.03.17;1:04:50 PM;0.37;97.050;25.450;37649.000;35.000
24.03.17;1:04:58 PM;0.50;97.420;25.410;37605.000;35.000
24.03.17;1:05:13 PM;0.75;96.840;25.470;37640.000;35.000
24.03.17;1:05:28 PM;1.00;96.130;25.540;37722.000;35.000
24.03.17;1:05:43 PM;1.25;96.230;25.530;37745.000;35.000
24.03.17;1:05:58 PM;1.50;96.530;25.500;37695.000;35.000
24.03.17;1:06:13 PM;1.75;96.860;25.470;37668.000;35.000
24.03.17;1:06:28 PM;2.00;96.830;25.470;37678.000;35.000
24.03.17;1:06:43 PM;2.25;96.350;25.520;37748.000;35.000
24.03.17;1:06:58 PM;2.50;96.210;25.530;37747.000;35.000
24.03.17;1:07:13 PM;2.75;97.120;25.440;37703.000;35.000
24.03.17;1:07:28 PM;3.00;97.250;25.430;37616.000;35.000
24.03.17;1:07:43 PM;3.25;97.200;25.430;37638.000;35.000
24.03.17;1:07:58 PM;3.50;97.530;25.400;37561.000;35.000
24.03.17;1:08:13 PM;3.75;96.760;25.480;37539.000;35.000
24.03.17;1:08:28 PM;4.00;96.960;25.460;37604.000;35.000
24.03.17;1:08:43 PM;4.25;96.910;25.460;37557.000;35.000
24.03.17;1:08:58 PM;4.50;97.600;25.390;37544.000;35.000
24.03.17;1:09:13 PM;4.75;97.250;25.430;37571.000;35.000
24.03.17;1:09:28 PM;5.00;97.940;25.350;37474.000;35.000
24.03.17;1:09:43 PM;5.25;97.650;25.380;37541.000;35.000
24.03.17;1:09:58 PM;5.50;97.480;25.400;37526.000;35.000
24.03.17;1:10:13 PM;5.75;97.470;25.400;37450.000;35.000
24.03.17;1:10:28 PM;6.00;97.190;25.430;37492.000;35.000
24.03.17;1:10:43 PM;6.25;96.740;25.480;37550.000;35.000
24.03.17;1:10:58 PM;6.50;97.650;25.380;37622.000;35.000
24.03.17;1:11:13 PM;6.75;96.780;25.470;37611.000;35.000
24.03.17;1:11:28 PM;7.00;97.080;25.440;37630.000;35.000
24.03.17;1:11:43 PM;7.25;96.540;25.500;37650.000;35.000
24.03.17;1:11:58 PM;7.50;96.620;25.490;37664.000;35.000
24.03.17;1:12:13 PM;7.75;97.230;25.430;37595.000;35.000
24.03.17;1:12:28 PM;8.00;96.080;25.550;37675.000;35.000
24.03.17;1:12:43 PM;8.25;96.390;25.520;37653.000;35.000
24.03.17;1:12:58 PM;8.50;97.010;25.450;37590.000;35.000
24.03.17;1:13:13 PM;8.75;96.120;25.540;37727.000;35.000
24.03.17;1:13:28 PM;9.00;96.270;25.530;37721.000;35.000
24.03.17;1:13:43 PM;9.25;96.560;25.500;37613.000;35.000
24.03.17;1:13:58 PM;9.50;95.790;25.580;37585.000;35.000
24.03.17;1:14:13 PM;9.75;96.380;25.520;37430.000;35.000
24.03.17;1:14:28 PM;10.00;96.820;25.470;37382.000;35.000
24.03.17;1:14:43 PM;10.25;97.280;25.420;37406.000;35.000
24.03.17;1:14:58 PM;10.50;97.240;25.430;37427.000;35.000
24.03.17;1:15:13 PM;10.75;96.910;25.460;37507.000;35.000
