24.03.17/1:04 PM SW ver:OXY10v3_33
Header Ch-6
Description: Q1035C-P-H16

IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 97889
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;1:04:31 PM;0.00;99.640;25.180;26578.000;35.000
24.03.17;1:04:32 PM;0.02;98.740;25.270;26535.000;35.000
24.03.17;1:04:33 PM;0.04;100.850;25.060;26539.000;35.000
24.03.17;1:04:35 PM;0.06;99.220;25.220;26582.000;35.000
24.03.17;1:04:36 PM;0.08;99.860;25.160;26580.000;35.000
24.03.17;1:04:37 PM;0.09;99.410;25.200;26605.000;35.000
24.03.17;1:04:38 PM;0.11;100.510;25.090;26661.000;35.000
24.03.17;1:04:39 PM;0.13;99.440;25.200;26672.000;35.000
24.03.17;1:04:40 PM;0.15;98.820;25.260;26660.000;35.000
24.03.17;1:04:44 PM;0.22;98.390;25.310;26570.000;35.000
24.03.17;1:04:45 PM;0.23;99.450;25.200;26589.000;35.000
24.03.17;1:04:46 PM;0.25;98.830;25.260;26577.000;35.000
24.03.17;1:04:48 PM;0.27;100.050;25.140;26580.000;35.000
24.03.17;1:04:49 PM;0.29;99.650;25.180;26610.000;35.000
24.03.17;1:04:50 PM;0.31;98.290;25.320;26613.000;35.000
24.03.17;1:04:51 PM;0.33;99.800;25.160;26599.000;35.000
24.03.17;1:04:52 PM;0.35;97.890;25.360;26624.000;35.000
24.03.17;1:04:53 PM;0.37;98.710;25.270;26543.000;35.000
24.03.17;1:04:54 PM;0.39;100.080;25.140;26639.000;35.000
24.03.17;1:04:59 PM;0.46;100.560;25.090;26556.000;35.000
24.03.17;1:05:14 PM;0.71;99.170;25.230;26623.000;35.000
24.03.17;1:05:29 PM;0.96;98.810;25.260;26550.000;35.000
24.03.17;1:05:44 PM;1.21;98.500;25.300;26467.000;35.000
24.03.17;1:05:59 PM;1.46;100.330;25.110;26639.000;35.000
24.03.17;1:06:14 PM;1.71;98.720;25.270;26612.000;35.000
24.03.17;1:06:29 PM;1.96;98.760;25.270;26624.000;35.000
24.03.17;1:06:44 PM;2.21;98.370;25.310;26560.000;35.000
24.03.17;1:06:59 PM;2.46;97.800;25.370;26744.000;35.000
24.03.17;1:07:14 PM;2.71;97.940;25.350;26690.000;35.000
24.03.17;1:07:29 PM;2.96;97.880;25.360;26755.000;35.000
24.03.17;1:07:44 PM;3.21;97.890;25.360;26826.000;35.000
24.03.17;1:07:59 PM;3.46;97.080;25.440;26775.000;35.000
24.03.17;1:08:14 PM;3.71;96.690;25.480;26756.000;35.000
24.03.17;1:08:29 PM;3.96;98.720;25.270;26763.000;35.000
24.03.17;1:08:44 PM;4.21;98.200;25.330;26646.000;35.000
24.03.17;1:08:59 PM;4.46;98.040;25.340;26703.000;35.000
24.03.17;1:09:14 PM;4.71;97.630;25.390;26794.000;35.000
24.03.17;1:09:29 PM;4.96;97.980;25.350;26665.000;35.000
24.03.17;1:09:44 PM;5.21;98.860;25.260;26701.000;35.000
24.03.17;1:09:59 PM;5.46;97.650;25.380;26645.000;35.000
24.03.17;1:10:14 PM;5.71;98.180;25.330;26651.000;35.000
24.03.17;1:10:29 PM;5.96;97.750;25.370;26628.000;35.000
24.03.17;1:10:44 PM;6.21;98.090;25.340;26749.000;35.000
24.03.17;1:10:59 PM;6.46;97.070;25.440;26649.000;35.000
24.03.17;1:11:14 PM;6.71;98.400;25.310;26694.000;35.000
24.03.17;1:11:29 PM;6.96;97.970;25.350;26721.000;35.000
24.03.17;1:11:44 PM;7.21;98.530;25.290;26706.000;35.000
24.03.17;1:11:59 PM;7.46;98.200;25.330;26662.000;35.000
24.03.17;1:12:14 PM;7.71;98.430;25.300;26738.000;35.000
24.03.17;1:12:29 PM;7.96;98.320;25.310;26637.000;35.000
24.03.17;1:12:44 PM;8.21;97.950;25.350;26761.000;35.000
24.03.17;1:12:59 PM;8.46;98.500;25.300;26810.000;35.000
24.03.17;1:13:14 PM;8.71;97.220;25.430;26815.000;35.000
24.03.17;1:13:29 PM;8.96;97.800;25.370;26780.000;35.000
24.03.17;1:13:44 PM;9.21;98.920;25.250;26718.000;35.000
24.03.17;1:13:59 PM;9.46;98.100;25.340;26700.000;35.000
24.03.17;1:14:14 PM;9.71;97.110;25.440;26734.000;35.000
24.03.17;1:14:29 PM;9.96;98.540;25.290;26804.000;35.000
24.03.17;1:14:44 PM;10.21;98.160;25.330;26678.000;35.000
24.03.17;1:14:59 PM;10.46;98.740;25.270;26763.000;35.000
24.03.17;1:15:14 PM;10.71;98.200;25.330;26728.000;35.000
