24.03.17/1:04 PM SW ver:OXY10v3_33
Header Ch-8
Description: Q1035C-P-J34

IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 95528
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;1:04:51 PM;0.00;97.870;25.360;27386.000;35.000
24.03.17;1:04:53 PM;0.02;96.320;25.520;27455.000;35.000
24.03.17;1:04:54 PM;0.04;97.950;25.350;27369.000;35.000
24.03.17;1:04:55 PM;0.06;97.050;25.450;27449.000;35.000
24.03.17;1:04:56 PM;0.08;97.430;25.410;27352.000;35.000
24.03.17;1:05:00 PM;0.14;96.820;25.470;27346.000;35.000
24.03.17;1:05:00 PM;0.15;96.510;25.500;27405.000;35.000
24.03.17;1:05:01 PM;0.16;97.380;25.410;27320.000;35.000
24.03.17;1:05:02 PM;0.17;96.520;25.500;27425.000;35.000
24.03.17;1:05:03 PM;0.18;98.020;25.350;27369.000;35.000
24.03.17;1:05:03 PM;0.20;96.530;25.500;27391.000;35.000
24.03.17;1:05:04 PM;0.21;97.220;25.430;27297.000;35.000
24.03.17;1:05:05 PM;0.22;97.470;25.400;27377.000;35.000
24.03.17;1:05:05 PM;0.23;96.270;25.530;27380.000;35.000
24.03.17;1:05:06 PM;0.24;96.600;25.490;27305.000;35.000
24.03.17;1:05:07 PM;0.26;96.690;25.480;27419.000;35.000
24.03.17;1:05:08 PM;0.27;97.180;25.430;27335.000;35.000
24.03.17;1:05:08 PM;0.28;96.330;25.520;27392.000;35.000
24.03.17;1:05:09 PM;0.29;97.370;25.410;27276.000;35.000
24.03.17;1:05:10 PM;0.30;96.320;25.520;27399.000;35.000
24.03.17;1:05:15 PM;0.39;97.890;25.360;27302.000;35.000
24.03.17;1:05:30 PM;0.64;96.190;25.540;27423.000;35.000
24.03.17;1:05:45 PM;0.89;96.570;25.500;27145.000;35.000
24.03.17;1:06:00 PM;1.14;96.860;25.470;27414.000;35.000
24.03.17;1:06:15 PM;1.39;96.930;25.460;27397.000;35.000
24.03.17;1:06:30 PM;1.64;96.690;25.480;27422.000;35.000
24.03.17;1:06:45 PM;1.89;97.510;25.400;27369.000;35.000
24.03.17;1:07:00 PM;2.14;97.050;25.450;27460.000;35.000
24.03.17;1:07:15 PM;2.39;96.130;25.540;27446.000;35.000
24.03.17;1:07:30 PM;2.64;96.550;25.500;27497.000;35.000
24.03.17;1:07:45 PM;2.89;96.720;25.480;27440.000;35.000
24.03.17;1:08:00 PM;3.14;96.270;25.530;27448.000;35.000
24.03.17;1:08:15 PM;3.39;97.290;25.420;27408.000;35.000
24.03.17;1:08:30 PM;3.64;96.060;25.550;27423.000;35.000
24.03.17;1:08:45 PM;3.89;97.350;25.410;27379.000;35.000
24.03.17;1:09:00 PM;4.14;97.120;25.440;27382.000;35.000
24.03.17;1:09:15 PM;4.39;96.740;25.480;27405.000;35.000
24.03.17;1:09:30 PM;4.64;96.920;25.460;27517.000;35.000
24.03.17;1:09:45 PM;4.89;97.000;25.450;27443.000;35.000
24.03.17;1:10:00 PM;5.14;96.330;25.520;27537.000;35.000
24.03.17;1:10:15 PM;5.39;96.010;25.560;27568.000;35.000
24.03.17;1:10:30 PM;5.64;96.540;25.500;27458.000;35.000
24.03.17;1:10:45 PM;5.89;96.480;25.510;27487.000;35.000
24.03.17;1:11:00 PM;6.14;96.870;25.460;27458.000;35.000
24.03.17;1:11:15 PM;6.39;96.800;25.470;27516.000;35.000
24.03.17;1:11:30 PM;6.64;96.420;25.510;27541.000;35.000
24.03.17;1:11:45 PM;6.89;95.760;25.580;27574.000;35.000
24.03.17;1:12:00 PM;7.14;95.130;25.650;27552.000;35.000
24.03.17;1:12:15 PM;7.39;94.610;25.700;27642.000;35.000
24.03.17;1:12:30 PM;7.64;95.430;25.620;27684.000;35.000
24.03.17;1:12:45 PM;7.89;94.850;25.680;27650.000;35.000
24.03.17;1:13:00 PM;8.14;95.820;25.580;27549.000;35.000
24.03.17;1:13:15 PM;8.39;96.530;25.500;27418.000;35.000
24.03.17;1:13:30 PM;8.64;96.540;25.500;27369.000;35.000
24.03.17;1:13:45 PM;8.89;97.200;25.430;27457.000;35.000
24.03.17;1:14:00 PM;9.14;96.740;25.480;27480.000;35.000
24.03.17;1:14:15 PM;9.39;97.070;25.440;27388.000;35.000
24.03.17;1:14:30 PM;9.64;98.190;25.330;27360.000;35.000
24.03.17;1:14:45 PM;9.89;96.050;25.550;27456.000;35.000
24.03.17;1:15:00 PM;10.14;95.520;25.610;27476.000;35.000
