24.03.17/12:33 PM SW ver:OXY10v3_33
Header Ch-1
Description: Q1035C-R-B26
IDENTIFICATION
PHIboard number   : v1231473
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 98479
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 005400
100.00%a.s.phase 2: 27.68 at 020.0°C amp 007300
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;12:33:31 PM;0.00;99.120;25.230;19823.000;35.000
24.03.17;12:33:46 PM;0.25;99.010;25.240;19856.000;35.000
24.03.17;12:34:01 PM;0.50;99.760;25.170;19854.000;35.000
24.03.17;12:34:16 PM;0.75;98.920;25.250;19857.000;35.000
24.03.17;12:34:31 PM;1.00;99.010;25.240;19873.000;35.000
24.03.17;12:34:46 PM;1.25;99.300;25.210;19869.000;35.000
24.03.17;12:35:01 PM;1.50;98.510;25.300;19896.000;35.000
24.03.17;12:35:16 PM;1.75;99.050;25.240;19899.000;35.000
24.03.17;12:35:31 PM;2.00;98.570;25.290;19911.000;35.000
24.03.17;12:35:46 PM;2.25;98.910;25.250;19915.000;35.000
24.03.17;12:36:01 PM;2.50;98.460;25.300;19940.000;35.000
24.03.17;12:36:16 PM;2.75;98.080;25.340;19959.000;35.000
24.03.17;12:36:31 PM;3.00;97.510;25.400;19974.000;35.000
24.03.17;12:36:46 PM;3.25;97.610;25.390;19999.000;35.000
24.03.17;12:37:01 PM;3.50;97.980;25.350;20001.000;35.000
24.03.17;12:37:16 PM;3.75;97.730;25.380;20051.000;35.000
24.03.17;12:37:31 PM;4.00;96.780;25.470;20040.000;35.000
24.03.17;12:37:46 PM;4.25;97.790;25.370;20032.000;35.000
24.03.17;12:38:01 PM;4.50;98.130;25.330;20012.000;35.000
24.03.17;12:38:16 PM;4.75;98.460;25.300;20019.000;35.000
24.03.17;12:38:31 PM;5.00;97.840;25.360;20027.000;35.000
24.03.17;12:38:46 PM;5.25;97.530;25.400;20034.000;35.000
24.03.17;12:39:01 PM;5.50;97.540;25.400;20004.000;35.000
24.03.17;12:39:16 PM;5.75;98.130;25.330;20000.000;35.000
24.03.17;12:39:31 PM;6.00;98.290;25.320;19993.000;35.000
24.03.17;12:39:46 PM;6.25;97.720;25.380;19992.000;35.000
24.03.17;12:40:01 PM;6.50;97.960;25.350;20009.000;35.000
24.03.17;12:40:16 PM;6.75;98.140;25.330;19957.000;35.000
24.03.17;12:40:31 PM;7.00;98.140;25.330;19998.000;35.000
24.03.17;12:40:46 PM;7.25;97.630;25.390;20013.000;35.000
24.03.17;12:41:01 PM;7.50;97.860;25.360;20236.000;35.000
24.03.17;12:41:16 PM;7.75;97.970;25.350;20201.000;35.000
24.03.17;12:41:31 PM;8.00;97.730;25.380;20231.000;35.000
24.03.17;12:41:46 PM;8.25;97.020;25.450;20277.000;35.000
24.03.17;12:42:01 PM;8.50;96.190;25.540;20310.000;35.000
24.03.17;12:42:16 PM;8.75;96.550;25.500;20313.000;35.000
24.03.17;12:42:31 PM;9.00;96.140;25.540;20330.000;35.000
24.03.17;12:42:46 PM;9.25;95.880;25.570;20300.000;35.000
24.03.17;12:43:01 PM;9.50;96.260;25.530;20358.000;35.000
24.03.17;12:43:16 PM;9.75;96.280;25.530;20373.000;35.000
24.03.17;12:43:31 PM;10.00;95.570;25.600;20391.000;35.000
24.03.17;12:43:46 PM;10.25;95.310;25.630;20432.000;35.000
24.03.17;12:44:01 PM;10.50;95.520;25.610;20407.000;35.000
24.03.17;12:44:16 PM;10.75;95.400;25.620;20450.000;35.000
24.03.17;12:44:31 PM;11.00;95.150;25.650;20439.000;35.000
24.03.17;12:44:46 PM;11.25;95.170;25.640;20461.000;35.000
24.03.17;12:45:01 PM;11.50;96.620;25.490;20371.000;35.000
24.03.17;12:45:16 PM;11.75;96.920;25.460;20289.000;35.000
24.03.17;12:45:31 PM;12.00;97.910;25.360;20244.000;35.000
24.03.17;12:45:46 PM;12.25;97.780;25.370;20195.000;35.000
24.03.17;12:46:01 PM;12.50;98.350;25.310;20178.000;35.000
24.03.17;12:46:16 PM;12.75;97.060;25.440;20169.000;35.000
24.03.17;12:46:31 PM;13.00;97.920;25.360;20150.000;35.000
24.03.17;12:46:46 PM;13.25;98.510;25.290;20133.000;35.000
24.03.17;12:47:01 PM;13.50;98.100;25.340;20104.000;35.000
24.03.17;12:47:16 PM;13.75;98.240;25.320;20081.000;35.000
24.03.17;12:47:31 PM;14.00;98.790;25.270;20049.000;35.000
24.03.17;12:47:46 PM;14.25;97.630;25.390;20085.000;35.000
24.03.17;12:48:01 PM;14.50;97.960;25.350;20125.000;35.000
24.03.17;12:48:16 PM;14.75;97.740;25.370;20098.000;35.000
