24.03.17/12:33 PM SW ver:OXY10v3_33
Header Ch-2
Description: Q1035C-R-C5
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 95444
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;12:33:33 PM;0.00;99.270;25.220;25656.000;35.000
24.03.17;12:33:48 PM;0.25;98.990;25.250;25713.000;35.000
24.03.17;12:34:03 PM;0.50;98.850;25.260;25689.000;35.000
24.03.17;12:34:18 PM;0.75;98.750;25.270;25747.000;35.000
24.03.17;12:34:33 PM;1.00;99.260;25.220;25743.000;35.000
24.03.17;12:34:48 PM;1.25;98.180;25.330;25749.000;35.000
24.03.17;12:35:03 PM;1.50;98.680;25.280;25773.000;35.000
24.03.17;12:35:18 PM;1.75;98.630;25.280;25749.000;35.000
24.03.17;12:35:33 PM;2.00;97.930;25.350;25759.000;35.000
24.03.17;12:35:48 PM;2.25;98.630;25.280;25780.000;35.000
24.03.17;12:36:03 PM;2.50;98.380;25.310;25784.000;35.000
24.03.17;12:36:18 PM;2.75;98.350;25.310;25790.000;35.000
24.03.17;12:36:33 PM;3.00;98.090;25.340;25770.000;35.000
24.03.17;12:36:48 PM;3.25;98.790;25.270;25764.000;35.000
24.03.17;12:37:03 PM;3.50;98.160;25.330;25805.000;35.000
24.03.17;12:37:18 PM;3.75;98.070;25.340;25784.000;35.000
24.03.17;12:37:33 PM;4.00;98.410;25.310;25758.000;35.000
24.03.17;12:37:48 PM;4.25;98.250;25.320;25774.000;35.000
24.03.17;12:38:03 PM;4.50;98.320;25.310;25777.000;35.000
24.03.17;12:38:18 PM;4.75;98.420;25.300;25792.000;35.000
24.03.17;12:38:33 PM;5.00;98.120;25.340;25769.000;35.000
24.03.17;12:38:48 PM;5.25;98.270;25.320;25774.000;35.000
24.03.17;12:39:03 PM;5.50;98.070;25.340;25783.000;35.000
24.03.17;12:39:18 PM;5.75;98.380;25.310;25794.000;35.000
24.03.17;12:39:33 PM;6.00;97.360;25.410;25787.000;35.000
24.03.17;12:39:48 PM;6.25;97.820;25.370;25788.000;35.000
24.03.17;12:40:03 PM;6.50;97.680;25.380;25795.000;35.000
24.03.17;12:40:18 PM;6.75;97.750;25.370;25808.000;35.000
24.03.17;12:40:33 PM;7.00;98.010;25.350;25775.000;35.000
24.03.17;12:40:48 PM;7.25;98.080;25.340;25874.000;35.000
24.03.17;12:41:03 PM;7.50;97.910;25.360;25859.000;35.000
24.03.17;12:41:18 PM;7.75;98.250;25.320;25874.000;35.000
24.03.17;12:41:33 PM;8.00;98.140;25.330;25876.000;35.000
24.03.17;12:41:48 PM;8.25;97.530;25.400;25933.000;35.000
24.03.17;12:42:03 PM;8.50;97.980;25.350;25886.000;35.000
24.03.17;12:42:18 PM;8.75;97.750;25.370;25765.000;35.000
24.03.17;12:42:33 PM;9.00;98.270;25.320;25739.000;35.000
24.03.17;12:42:48 PM;9.25;98.030;25.340;25553.000;35.000
24.03.17;12:43:03 PM;9.50;97.500;25.400;25831.000;35.000
24.03.17;12:43:18 PM;9.75;97.960;25.350;25813.000;35.000
24.03.17;12:43:33 PM;10.00;96.900;25.460;25835.000;35.000
24.03.17;12:43:48 PM;10.25;97.580;25.390;25855.000;35.000
24.03.17;12:44:03 PM;10.50;97.090;25.440;25876.000;35.000
24.03.17;12:44:18 PM;10.75;97.080;25.440;25875.000;35.000
24.03.17;12:44:33 PM;11.00;97.430;25.410;25877.000;35.000
24.03.17;12:44:48 PM;11.25;96.620;25.490;25872.000;35.000
24.03.17;12:45:03 PM;11.50;96.830;25.470;25936.000;35.000
24.03.17;12:45:18 PM;11.75;97.450;25.400;25903.000;35.000
24.03.17;12:45:33 PM;12.00;96.830;25.470;25930.000;35.000
24.03.17;12:45:48 PM;12.25;96.750;25.480;25941.000;35.000
24.03.17;12:46:03 PM;12.50;97.060;25.440;25953.000;35.000
24.03.17;12:46:18 PM;12.75;96.040;25.550;25957.000;35.000
24.03.17;12:46:33 PM;13.00;96.570;25.500;25982.000;35.000
24.03.17;12:46:48 PM;13.25;96.260;25.530;25984.000;35.000
24.03.17;12:47:03 PM;13.50;96.640;25.490;26027.000;35.000
24.03.17;12:47:18 PM;13.75;96.290;25.530;26030.000;35.000
24.03.17;12:47:33 PM;14.00;96.090;25.550;26072.000;35.000
24.03.17;12:47:48 PM;14.25;95.730;25.590;26113.000;35.000
24.03.17;12:48:03 PM;14.50;95.720;25.590;26019.000;35.000
24.03.17;12:48:18 PM;14.75;95.330;25.630;26222.000;35.000
