24.03.17/12:33 PM SW ver:OXY10v3_33
Header Ch-3
Description: Q1035C-R-E19
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 98816
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;12:33:36 PM;0.00;97.670;25.380;22492.000;35.000
24.03.17;12:33:51 PM;0.25;98.370;25.310;22523.000;35.000
24.03.17;12:34:06 PM;0.50;98.110;25.340;22497.000;35.000
24.03.17;12:34:21 PM;0.75;98.470;25.300;22527.000;35.000
24.03.17;12:34:36 PM;1.00;97.830;25.360;22527.000;35.000
24.03.17;12:34:51 PM;1.25;97.820;25.370;22515.000;35.000
24.03.17;12:35:06 PM;1.50;98.550;25.290;22551.000;35.000
24.03.17;12:35:21 PM;1.75;98.220;25.320;22580.000;35.000
24.03.17;12:35:36 PM;2.00;98.020;25.350;22572.000;35.000
24.03.17;12:35:51 PM;2.25;98.170;25.330;22524.000;35.000
24.03.17;12:36:06 PM;2.50;98.540;25.290;22558.000;35.000
24.03.17;12:36:21 PM;2.75;97.390;25.410;22535.000;35.000
24.03.17;12:36:36 PM;3.00;98.360;25.310;22540.000;35.000
24.03.17;12:36:51 PM;3.25;97.280;25.420;22560.000;35.000
24.03.17;12:37:06 PM;3.50;97.890;25.360;22569.000;35.000
24.03.17;12:37:20 PM;3.75;98.030;25.340;22479.000;35.000
24.03.17;12:37:36 PM;4.00;97.350;25.410;22482.000;35.000
24.03.17;12:37:51 PM;4.25;97.400;25.410;22566.000;35.000
24.03.17;12:38:06 PM;4.50;97.750;25.370;22562.000;35.000
24.03.17;12:38:21 PM;4.75;97.940;25.350;22588.000;35.000
24.03.17;12:38:36 PM;5.00;97.800;25.370;22605.000;35.000
24.03.17;12:38:51 PM;5.25;97.530;25.400;22595.000;35.000
24.03.17;12:39:06 PM;5.50;97.190;25.430;22598.000;35.000
24.03.17;12:39:21 PM;5.75;97.400;25.410;22628.000;35.000
24.03.17;12:39:35 PM;6.00;96.810;25.470;22590.000;35.000
24.03.17;12:39:51 PM;6.25;97.470;25.400;22643.000;35.000
24.03.17;12:40:06 PM;6.50;97.220;25.430;22654.000;35.000
24.03.17;12:40:20 PM;6.75;96.970;25.450;22629.000;35.000
24.03.17;12:40:36 PM;7.00;96.680;25.480;22645.000;35.000
24.03.17;12:40:51 PM;7.25;97.280;25.420;22574.000;35.000
24.03.17;12:41:06 PM;7.50;96.900;25.460;22564.000;35.000
24.03.17;12:41:21 PM;7.75;97.440;25.410;22574.000;35.000
24.03.17;12:41:36 PM;8.00;97.520;25.400;22576.000;35.000
24.03.17;12:41:51 PM;8.25;96.470;25.510;22607.000;35.000
24.03.17;12:42:06 PM;8.50;96.820;25.470;22607.000;35.000
24.03.17;12:42:21 PM;8.75;97.260;25.420;22590.000;35.000
24.03.17;12:42:36 PM;9.00;97.010;25.450;22644.000;35.000
24.03.17;12:42:51 PM;9.25;96.430;25.510;22395.000;35.000
24.03.17;12:43:06 PM;9.50;96.410;25.510;22635.000;35.000
24.03.17;12:43:21 PM;9.75;96.700;25.480;22617.000;35.000
24.03.17;12:43:36 PM;10.00;96.590;25.490;22671.000;35.000
24.03.17;12:43:51 PM;10.25;97.230;25.430;22649.000;35.000
24.03.17;12:44:06 PM;10.50;96.160;25.540;22665.000;35.000
24.03.17;12:44:21 PM;10.75;96.160;25.540;22687.000;35.000
24.03.17;12:44:36 PM;11.00;95.990;25.560;22682.000;35.000
24.03.17;12:44:51 PM;11.25;96.470;25.510;22672.000;35.000
24.03.17;12:45:06 PM;11.50;97.040;25.450;22692.000;35.000
24.03.17;12:45:21 PM;11.75;96.040;25.550;22725.000;35.000
24.03.17;12:45:36 PM;12.00;95.850;25.570;22728.000;35.000
24.03.17;12:45:51 PM;12.25;95.700;25.590;22700.000;35.000
24.03.17;12:46:06 PM;12.50;95.720;25.590;22723.000;35.000
24.03.17;12:46:21 PM;12.75;95.770;25.580;22717.000;35.000
24.03.17;12:46:36 PM;13.00;95.440;25.620;22702.000;35.000
24.03.17;12:46:51 PM;13.25;95.440;25.620;22764.000;35.000
24.03.17;12:47:06 PM;13.50;95.750;25.580;22810.000;35.000
24.03.17;12:47:21 PM;13.75;95.650;25.590;22837.000;35.000
24.03.17;12:47:36 PM;14.00;96.010;25.560;22827.000;35.000
24.03.17;12:47:51 PM;14.25;95.570;25.600;22992.000;35.000
24.03.17;12:48:06 PM;14.50;95.650;25.590;22888.000;35.000
24.03.17;12:48:21 PM;14.75;94.920;25.670;22897.000;35.000
