24.03.17/12:33 PM SW ver:OXY10v3_33
Header Ch-4
Description: Q1035C-R-DRIFT
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 94969
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;12:33:38 PM;0.00;98.010;25.350;27639.000;35.000
24.03.17;12:33:52 PM;0.25;97.760;25.370;27651.000;35.000
24.03.17;12:34:07 PM;0.50;97.540;25.400;27670.000;35.000
24.03.17;12:34:22 PM;0.75;98.140;25.330;27628.000;35.000
24.03.17;12:34:37 PM;1.00;97.690;25.380;27680.000;35.000
24.03.17;12:34:53 PM;1.25;98.350;25.310;27660.000;35.000
24.03.17;12:35:08 PM;1.50;97.600;25.390;27639.000;35.000
24.03.17;12:35:22 PM;1.75;97.560;25.390;27679.000;35.000
24.03.17;12:35:38 PM;2.00;97.890;25.360;27677.000;35.000
24.03.17;12:35:53 PM;2.25;98.040;25.340;27683.000;35.000
24.03.17;12:36:07 PM;2.50;97.740;25.370;27684.000;35.000
24.03.17;12:36:22 PM;2.75;97.640;25.380;27671.000;35.000
24.03.17;12:36:38 PM;3.00;97.280;25.420;27669.000;35.000
24.03.17;12:36:52 PM;3.25;97.340;25.420;27680.000;35.000
24.03.17;12:37:08 PM;3.50;97.730;25.380;27684.000;35.000
24.03.17;12:37:22 PM;3.75;97.590;25.390;27688.000;35.000
24.03.17;12:37:37 PM;4.00;97.290;25.420;27674.000;35.000
24.03.17;12:37:53 PM;4.25;97.560;25.390;27694.000;35.000
24.03.17;12:38:08 PM;4.50;96.930;25.460;27680.000;35.000
24.03.17;12:38:22 PM;4.75;97.590;25.390;27651.000;35.000
24.03.17;12:38:38 PM;5.00;96.960;25.460;27697.000;35.000
24.03.17;12:38:53 PM;5.25;97.520;25.400;27694.000;35.000
24.03.17;12:39:08 PM;5.50;97.550;25.390;27702.000;35.000
24.03.17;12:39:22 PM;5.75;97.600;25.390;27687.000;35.000
24.03.17;12:39:37 PM;6.00;97.710;25.380;27688.000;35.000
24.03.17;12:39:52 PM;6.25;97.360;25.410;27681.000;35.000
24.03.17;12:40:08 PM;6.50;97.210;25.430;27692.000;35.000
24.03.17;12:40:22 PM;6.75;97.930;25.350;27697.000;35.000
24.03.17;12:40:37 PM;7.00;97.970;25.350;27703.000;35.000
24.03.17;12:40:52 PM;7.25;97.350;25.410;27688.000;35.000
24.03.17;12:41:07 PM;7.50;97.720;25.380;27681.000;35.000
24.03.17;12:41:22 PM;7.75;97.370;25.410;27693.000;35.000
24.03.17;12:41:38 PM;8.00;97.730;25.380;27705.000;35.000
24.03.17;12:41:52 PM;8.25;97.550;25.390;27657.000;35.000
24.03.17;12:42:08 PM;8.50;96.980;25.450;27648.000;35.000
24.03.17;12:42:23 PM;8.75;97.370;25.410;27648.000;35.000
24.03.17;12:42:38 PM;9.00;97.050;25.450;27701.000;35.000
24.03.17;12:42:52 PM;9.25;97.660;25.380;27675.000;35.000
24.03.17;12:43:08 PM;9.50;97.930;25.350;27693.000;35.000
24.03.17;12:43:22 PM;9.75;97.400;25.410;27709.000;35.000
24.03.17;12:43:37 PM;10.00;97.760;25.370;27719.000;35.000
24.03.17;12:43:53 PM;10.25;97.190;25.430;27724.000;35.000
24.03.17;12:44:07 PM;10.50;97.540;25.390;27729.000;35.000
24.03.17;12:44:23 PM;10.75;97.210;25.430;27724.000;35.000
24.03.17;12:44:38 PM;11.00;97.900;25.360;27714.000;35.000
24.03.17;12:44:52 PM;11.25;97.290;25.420;27718.000;35.000
24.03.17;12:45:08 PM;11.50;96.840;25.470;27731.000;35.000
24.03.17;12:45:22 PM;11.75;97.210;25.430;27686.000;35.000
24.03.17;12:45:38 PM;12.00;97.820;25.370;27680.000;35.000
24.03.17;12:45:52 PM;12.25;97.090;25.440;27717.000;35.000
24.03.17;12:46:08 PM;12.50;97.400;25.410;27733.000;35.000
24.03.17;12:46:22 PM;12.75;97.930;25.350;27713.000;35.000
24.03.17;12:46:38 PM;13.00;97.490;25.400;27695.000;35.000
24.03.17;12:46:52 PM;13.25;97.720;25.380;27722.000;35.000
24.03.17;12:47:08 PM;13.50;97.360;25.410;27721.000;35.000
24.03.17;12:47:22 PM;13.75;97.530;25.400;27717.000;35.000
24.03.17;12:47:38 PM;14.00;97.880;25.360;27674.000;35.000
24.03.17;12:47:52 PM;14.25;97.850;25.360;27688.000;35.000
24.03.17;12:48:08 PM;14.50;97.760;25.370;27699.000;35.000
24.03.17;12:48:22 PM;14.75;97.590;25.390;27703.000;35.000
