24.03.17/12:33 PM SW ver:OXY10v3_33
Header Ch-5
Description: Q1035C-R-F27
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 98921
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 240313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.03.17;12:33:28 PM;0.00;97.870;25.360;37884.000;35.000
24.03.17;12:33:39 PM;0.19;97.710;25.380;37883.000;35.000
24.03.17;12:33:54 PM;0.44;97.670;25.380;37909.000;35.000
24.03.17;12:34:09 PM;0.69;97.460;25.400;37923.000;35.000
24.03.17;12:34:24 PM;0.94;97.590;25.390;37916.000;35.000
24.03.17;12:34:39 PM;1.19;97.280;25.420;37935.000;35.000
24.03.17;12:34:54 PM;1.44;97.940;25.350;37947.000;35.000
24.03.17;12:35:09 PM;1.69;97.490;25.400;37955.000;35.000
24.03.17;12:35:24 PM;1.94;97.620;25.390;37980.000;35.000
24.03.17;12:35:39 PM;2.19;97.390;25.410;37994.000;35.000
24.03.17;12:35:54 PM;2.44;97.130;25.440;37976.000;35.000
24.03.17;12:36:09 PM;2.69;96.850;25.470;37979.000;35.000
24.03.17;12:36:24 PM;2.94;96.990;25.450;37978.000;35.000
24.03.17;12:36:39 PM;3.19;97.480;25.400;37981.000;35.000
24.03.17;12:36:54 PM;3.44;97.260;25.420;37986.000;35.000
24.03.17;12:37:09 PM;3.69;97.140;25.440;38019.000;35.000
24.03.17;12:37:24 PM;3.94;97.100;25.440;38012.000;35.000
24.03.17;12:37:39 PM;4.19;96.860;25.470;38003.000;35.000
24.03.17;12:37:54 PM;4.44;97.260;25.420;37981.000;35.000
24.03.17;12:38:09 PM;4.69;96.830;25.470;38005.000;35.000
24.03.17;12:38:24 PM;4.94;96.780;25.470;38003.000;35.000
24.03.17;12:38:39 PM;5.19;96.710;25.480;38030.000;35.000
24.03.17;12:38:54 PM;5.44;96.610;25.490;38039.000;35.000
24.03.17;12:39:09 PM;5.69;96.600;25.490;37999.000;35.000
24.03.17;12:39:24 PM;5.94;96.330;25.520;38021.000;35.000
24.03.17;12:39:39 PM;6.19;96.480;25.510;38051.000;35.000
24.03.17;12:39:54 PM;6.44;96.490;25.500;38042.000;35.000
24.03.17;12:40:09 PM;6.69;96.510;25.500;38074.000;35.000
24.03.17;12:40:24 PM;6.94;96.370;25.520;38089.000;35.000
24.03.17;12:40:39 PM;7.19;96.160;25.540;38111.000;35.000
24.03.17;12:40:54 PM;7.44;96.540;25.500;38107.000;35.000
24.03.17;12:41:09 PM;7.69;95.980;25.560;38117.000;35.000
24.03.17;12:41:24 PM;7.94;95.890;25.570;38131.000;35.000
24.03.17;12:41:39 PM;8.19;96.240;25.530;38143.000;35.000
24.03.17;12:41:54 PM;8.44;95.680;25.590;38163.000;35.000
24.03.17;12:42:09 PM;8.69;95.520;25.610;38175.000;35.000
24.03.17;12:42:24 PM;8.94;95.490;25.610;38173.000;35.000
24.03.17;12:42:39 PM;9.19;95.620;25.600;38234.000;35.000
24.03.17;12:42:54 PM;9.44;95.550;25.600;38230.000;35.000
24.03.17;12:43:09 PM;9.69;95.310;25.630;38233.000;35.000
24.03.17;12:43:24 PM;9.94;95.250;25.640;38256.000;35.000
24.03.17;12:43:39 PM;10.19;95.420;25.620;38263.000;35.000
24.03.17;12:43:54 PM;10.44;95.220;25.640;38288.000;35.000
24.03.17;12:44:09 PM;10.69;95.280;25.630;38291.000;35.000
24.03.17;12:44:24 PM;10.94;94.850;25.680;38302.000;35.000
24.03.17;12:44:39 PM;11.19;94.700;25.700;38326.000;35.000
24.03.17;12:44:54 PM;11.44;94.700;25.700;38600.000;35.000
24.03.17;12:45:09 PM;11.69;95.200;25.640;38592.000;35.000
24.03.17;12:45:24 PM;11.94;94.730;25.690;38592.000;35.000
24.03.17;12:45:39 PM;12.19;94.500;25.720;38607.000;35.000
24.03.17;12:45:54 PM;12.44;94.540;25.710;38591.000;35.000
24.03.17;12:46:09 PM;12.69;94.710;25.690;38617.000;35.000
24.03.17;12:46:24 PM;12.94;94.590;25.710;38624.000;35.000
24.03.17;12:46:39 PM;13.19;94.460;25.720;38636.000;35.000
24.03.17;12:46:54 PM;13.44;94.720;25.690;38665.000;35.000
24.03.17;12:47:09 PM;13.69;94.530;25.710;38492.000;35.000
24.03.17;12:47:24 PM;13.94;95.910;25.570;38271.000;35.000
24.03.17;12:47:39 PM;14.19;96.170;25.540;38164.000;35.000
24.03.17;12:47:54 PM;14.44;96.160;25.540;38099.000;35.000
24.03.17;12:48:09 PM;14.69;96.780;25.470;38056.000;35.000
24.03.17;12:48:24 PM;14.95;96.780;25.470;38022.000;35.000
