Treatment,Sample ID,Genet,Chamber,Salinity,R temperature (ºC),P temperature (ºC),R temperature (K),P temperature (K),R (nmol O₂ cm⁻² min⁻¹ ),Pnet nmol O₂ min⁻¹ cm⁻²,Pgross nmol O₂ min⁻¹ cm⁻²,instantaneous PGROSS:R,daily PGROSS:R
acute,B1W,B,1,38,25.4,25.4,298.6,298.6,7.95,16.47,24.42,2.32,1.16
acute,C2B,C,2,38,25.4,25.4,298.6,298.6,6.38,20.17,26.55,2.96,1.48
acute,E23,E,3,38,25.4,25.4,298.6,298.6,6.39,21.29,27.68,3.09,1.54
acute,F34,F,4,38,25.4,25.4,298.6,298.6,5.12,16.24,21.36,2.77,1.39
acute,H36,H,5,38,25.4,25.4,298.6,298.6,7.51,13.68,21.19,2.1,1.05
acute,J35,J,6,38,25.4,25.4,298.6,298.6,5.38,22.2,27.58,3.46,1.73
acute,B5,B,1,39,27.8,27.9,301,301.1,11.56,16.78,28.34,2.45,1.23
acute,C17,C,2,39,27.8,27.9,301,301.1,8.47,11.03,19.49,2.3,1.15
acute,E07,E,3,39,27.8,27.9,301,301.1,8.57,9.09,17.66,2.06,1.03
acute,F1O,F,5,39,27.8,27.9,301,301.1,10.45,14.43,24.88,2.38,1.19
acute,H5,H,6,39,27.8,27.9,301,301.1,,11.19,,2.15,1.07
acute,B13,B,1,39,30.6,30.6,303.8,303.8,17.07,19.73,36.8,2.16,1.08
acute,C4,C,2,39,30.6,30.6,303.8,303.8,13.24,17.21,30.45,2.3,1.15
acute,E13,E,3,39,30.6,30.6,303.8,303.8,10.69,15.48,26.17,2.45,1.22
acute,F33,F,5,39,30.6,30.6,303.8,303.8,15.82,11.8,27.62,1.75,0.87
acute,H12,H,6,39,30.6,30.6,303.8,303.8,10.48,14.51,24.99,2.38,1.19
acute,J36,J,8,39,30.6,30.6,303.8,303.8,11.72,14.2,25.92,2.21,1.11
acute,B33,B,1,39,32.9,33.1,306.1,306.3,11.08,,,1.62,0.81
acute,C2B,C,2,39,32.9,33.1,306.1,306.3,11.66,12.31,23.96,2.06,1.03
acute,E14,E,3,39,32.9,33.1,306.1,306.3,12.79,11.01,23.8,1.86,0.93
